YEAR,FONAG,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3048631.19,2374307.1,2374307.1,2374307.1,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,2398158.57,2398158.57,2398158.57,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2412645.36,2412645.36,2412645.36,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2146679.51,2146679.51,2146679.51,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2156773.34,2156773.34,2156773.34,0,0,0,0,0,0,0,0,0,0,0
2021,306137.2,263277.992,265910.7719,257017.9508,-90644.61183,-32554.08765,-58090.52418,-91551.05795,-32879.62853,-58671.42942,-88489.32723,-31780.03917,-56709.28805,-324582.2013,-313727.2389
2022,306137.2,263277.992,268569.8796,250906.7566,-287782.698,-105498.4696,-182284.2284,-293567.1302,-107618.9888,-185948.1414,-274260.0048,-100541.1756,-173718.8292,-454518.0211,-424625.5858
2023,306137.2,263277.992,271255.5784,244940.87,-428052.6264,-160074.8498,-267977.7767,-441023.0491,-164925.2778,-276097.7713,-398239.0702,-148925.7521,-249313.3181,-547353.3497,-494254.1881
2024,306137.2,263277.992,273968.1342,239116.8362,-644064.1296,-240602.4069,-403461.7227,-670215.7159,-250371.8294,-419843.8865,-584958.0354,-218522.2011,-366435.8343,-693812.0208,-605552.6705
2025,306137.2,263277.992,276707.8156,233431.2822,-691286.0655,-255907.5618,-435378.5037,-726548.6023,-268961.4193,-457587.183,-612917.8949,-226896.4064,-386021.4885,-734294.9986,-619452.7707
2026,306137.2,263277.992,279474.8937,227880.9153,-856564.9917,-316765.2045,-539799.7873,-909260.999,-336252.6476,-573008.3515,-741401.9413,-274176.904,-467225.0372,-852483.2452,-695105.9526
2027,306137.2,263277.992,282269.6427,222462.5213,-846091.2487,-313105.2398,-532986.0088,-907124.3388,-335691.1966,-571433.1423,-714923.3818,-264565.1486,-450358.2332,-853702.7849,-672820.7545
2028,306137.2,263277.992,285092.3391,217172.962,-1945233.284,-715933.6101,-1229299.674,-2106408.906,-775253.5105,-1331155.395,-1604585.597,-590559.8926,-1014025.705,-1616247.734,-1231198.667
2029,306137.2,263277.992,287943.2625,212009.1742,-1196592.892,-454043.7581,-742549.1335,-1308696.023,-496580.9714,-812115.0516,-963577.2016,-365626.6195,-597950.5821,-1100058.314,-809959.7563
2030,306137.2,263277.992,290822.6951,206968.1673,-1707429.732,-623516.8866,-1083912.845,-1886064.659,-688750.5485,-1197314.111,-1342245.129,-490159.266,-852085.8631,-1488136.806,-1059054.03
2031,306137.2,263277.992,293730.922,202047.022,-2165464.295,-789380.4918,-1376083.803,-2415939.97,-880686.8282,-1535253.142,-1661838.913,-605793.0494,-1056045.864,-1828984.064,-1258092.886
2032,306137.2,263277.992,296668.2313,197242.8883,-1726327.448,-652919.4569,-1073407.991,-1945268.979,-735725.9867,-1209542.992,-1293331.848,-489154.8987,-804176.9497,-1506211.223,-1001419.838
2033,306137.2,263277.992,299634.9136,192552.984,-1982883.237,-758969.8742,-1223913.363,-2256706.088,-863778.5139,-1392927.574,-1450216.485,-555085.9489,-895130.5362,-1692562.488,-1087683.52
2034,306137.2,263277.992,302631.2627,187974.5929,-2444948.288,-901604.635,-1543343.653,-2810405.01,-1036371.278,-1774033.731,-1745638.348,-643725.5272,-1101912.821,-2076664.994,-1289887.414
2035,306137.2,263277.992,305657.5753,183505.0636,-2429606.787,-911976.6859,-1517630.101,-2820698.053,-1058776.62,-1761921.433,-1693438.728,-635648.8003,-1057789.928,-2067579.008,-1241294.992
2036,306137.2,263277.992,308714.1511,179141.8077,-2190068.564,-808415.4487,-1381653.115,-2568027.629,-947930.6914,-1620096.937,-1490184.723,-550068.7838,-940115.9389,-1928811.088,-1119257.747
2037,306137.2,263277.992,311801.2926,174882.2983,-3841432.981,-1397790.803,-2443642.178,-4549426.102,-1655409.842,-2894016.26,-2551670.283,-928481.9678,-1623188.315,-3205817.553,-1798070.613
2038,306137.2,263277.992,314919.3055,170724.0685,-2539896.141,-939402.4352,-1600493.705,-3038090.357,-1123663.852,-1914426.506,-1647009.685,-609160.6991,-1037848.986,-2229345.811,-1208573.054
2039,306137.2,263277.992,318068.4986,166664.7102,-3325771.23,-1227874.209,-2097897.022,-4017893.99,-1483405.822,-2534488.169,-2105336.242,-777289.8053,-1328046.437,-2852556.667,-1494711.147
2040,306137.2,263277.992,321249.1836,162701.8725,-3314067.958,-1244498.66,-2069569.299,-4043792.715,-1518524.87,-2525267.845,-2048044.572,-769081.6112,-1278962.961,-2846517.029,-1441664.833
2041,306137.2,263277.992,324461.6754,158833.2604,-3581850.764,-1341706.818,-2240143.946,-4414244.013,-1653508.669,-2760735.345,-2160898.565,-809439.7363,-1351458.829,-3085197.02,-1510292.089
2042,306137.2,263277.992,327706.2922,155056.6335,-2980465.985,-1108299.183,-1872166.802,-3709833.281,-1379517.571,-2330315.711,-1755334.802,-652728.8473,-1102605.955,-2658022.003,-1257662.588
2043,306137.2,263277.992,330983.3551,151369.8046,-3077441.512,-1141075.107,-1936366.405,-3868845.66,-1434517.426,-2434328.234,-1769353.058,-656052.9983,-1113300.06,-2765311.589,-1264669.865
2044,306137.2,263277.992,334293.1886,147770.6385,-2557013.99,-947891.0224,-1609122.968,-3246729.26,-1203570.074,-2043159.186,-1435181.069,-532024.9543,-903156.1151,-2377452.375,-1050926.754
2045,306137.2,263277.992,337636.1205,144257.051,-5110964.449,-1884225.97,-3226738.479,-6554464.334,-2416391.67,-4138072.665,-2800434.071,-1032417.787,-1768016.284,-4475708.785,-1912273.335
2046,306137.2,263277.992,341012.4817,140827.007,-2836498.635,-1077566.242,-1758932.393,-3673992.769,-1395724.48,-2278268.289,-1517238.908,-576388.5831,-940850.3254,-2619280.771,-1081677.332
2047,306137.2,263277.992,344422.6065,137478.5203,-3535035.283,-1292547.142,-2242488.141,-4624564.542,-1690921.646,-2933642.895,-1845924.972,-674942.357,-1170982.615,-3278065.502,-1308461.135
2048,306137.2,263277.992,347866.8326,134209.6516,-4103910.527,-1498570.757,-2605339.77,-5422459.908,-1980048.005,-3442411.903,-2092025.99,-763917.476,-1328108.514,-3790278.736,-1462318.165
2049,306137.2,263277.992,351345.5009,131018.5077,-2975821.562,-1126260.893,-1849560.669,-3971245.41,-1502999.528,-2468245.883,-1480897.424,-560476.0975,-920421.327,-2819591.384,-1051439.835
2050,306137.2,263277.992,354858.9559,127903.2407,-3160514.911,-1211534.195,-1948980.715,-4259896.594,-1632965.051,-2626931.543,-1535411.662,-588576.1608,-946835.5011,-2981790.499,-1074738.742
2051,306137.2,263277.992,358407.5455,124862.0463,-3607916.179,-1331692.297,-2276223.883,-4911555.168,-1812869.218,-3098685.95,-1711087.94,-631567.5073,-1079520.432,-3457093.496,-1204382.479
2052,306137.2,263277.992,361991.621,121893.1633,-3354892.282,-1261041.066,-2093851.216,-4612777.871,-1733856.659,-2878921.211,-1553257.185,-583840.2345,-969416.9505,-3240912.832,-1091310.114
