,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2021-01-31,-1345.4662284,-120.07155599999993,-989.6862932999967,-1042.897536000001,-1362.3077983611574,-751.2643857424478,-623.0273598297014,-286.697530889548,-241.7802812434796,-805.123908831443,-1194.8340981591648,-362.01779593774506,-126.8308560274243,-307.8705038653318,-396.91629650943213
2021-02-28,-2515.308767999988,-266.69018879999976,-1954.6989335999901,-1729.7340479999993,-2492.1405698112058,-1496.6049934332027,-1056.4114601476797,-559.1047166762398,-452.00098560959646,-1472.8550767584084,-2224.980733387347,-673.311922829051,-232.01828704942113,-586.5546528033369,-735.5248714673993
2021-03-31,-2463.2407800000165,-319.029580800001,-971.155113300006,-484.45559999999244,-2139.9983321220266,-824.4204108232516,-333.21253771458,-350.1001631961932,-442.64436816600505,-1264.739014284115,-1016.6023329786026,-416.444152192006,-199.23384472055915,-415.86313296236335,-684.5633342362125
2021-04-30,-2052.316224000013,-247.87036800000158,48.694283999999364,1458.008639999999,-1320.378925017609,-73.04929288200412,767.5739154072013,-22.69047333239966,-368.80122545280415,-780.3439446854017,579.8836376389644,-0.21513756821320082,-122.92727791914173,-149.06061394877034,-515.3572049570969
2021-05-31,-321.40521000001655,-398.9850660000011,55.371316500008106,2498.947199999985,357.4682475210284,-133.84019100373067,1314.7906923459086,-29.609177980048116,-57.7565162369962,211.26373428491448,985.5087502739818,183.44794842045422,33.2802938442037,13.719440011831466,-13.619032197238994
2021-06-30,-923.2665120000253,-573.0795359999989,-1846.5555420000107,1292.9868000000017,-435.6789933888009,-1553.0214692790178,543.6986898564036,-495.94330256579565,-165.9109922064061,-257.48628509280974,-930.4906318295748,-275.9388687825529,-40.56171428450034,-360.4395745812741,-213.0179434409074
2021-07-31,-2567.911424399986,-764.0237555999987,-5662.611593099994,-1824.773832000016,-2558.886874117594,-4331.839388577733,-1367.8444883262555,-1396.2965324937304,-461.4536829646803,-1512.3021426034568,-5019.738602193589,-1260.3979134410765,-238.23236798034486,-1146.6678365975667,-752.6461930693661
2021-08-31,-7096.839523200069,-1079.2728864000005,-10904.16816000004,-6977.231999999983,-7552.540877071706,-8171.65960129442,-4457.657688344635,-2720.6073346291205,-1275.3020623190405,-4463.551658349391,-11047.221974850105,-2873.1558818623425,-703.1415556553751,-2470.6813608964285,-2137.2081242392305
2021-09-30,-10663.57580400001,-1443.1925520000023,-16431.37277399999,-10619.760960000005,-11382.076400259613,-12234.388836122991,-6766.0662975012065,-4010.623942602606,-1916.2445719788054,-6726.807152553415,-16617.08170924204,-4278.778270074521,-1059.6713128641677,-3684.8500380299024,-3215.343734582668
2021-10-31,-15088.549895999953,-1511.5628519999977,-18744.866099999905,-12739.597559999966,-15536.892053390387,-13898.510395991983,-8045.0302309812005,-4547.327046303592,-2711.412416311194,-9182.303203553718,-19178.777096918937,-5080.705945430585,-1446.484650170639,-4448.347783738436,-4482.015910077695
