,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
0,11488563.879999999,11488563.879999999,11488563.879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11488563.879999999,-11488563.879999999
2021,263277.992,265910.77192,257017.95082157358,-90644.61182873344,-32554.087649980967,-58090.524178752465,-91551.05794702077,-32879.628526480774,-58671.42942053999,-88489.32722503458,-31780.039171158685,-56709.28805387589,-324582.20134054,-313727.23887544946
2022,263277.992,268569.87963920005,250906.75655305368,-287782.69801815104,-105498.46958491506,-182284.228433236,-293567.13024831587,-107618.98882357185,-185948.14142474407,-274260.00480823015,-100541.1755983843,-173718.8292098459,-454518.0210639441,-424625.5857628996
2023,263277.992,271255.57843559206,244940.87001602963,-428052.6264278634,-160074.84976500666,-267977.7766628567,-441023.04906125413,-164925.27778773615,-276097.7712735179,-398239.07016841485,-148925.75209676457,-249313.31807165025,-547353.34970911,-494254.1880876799
2024,263277.992,273968.13421994797,239116.83618421605,-644064.1295753017,-240602.40685202082,-403461.72272328084,-670215.7159332185,-250371.82938586434,-419843.88654735417,-584958.0353977596,-218522.20106860567,-366435.834329154,-693812.0207673021,-605552.6705133701
2025,263277.992,276707.8155621475,233431.2821825423,-691286.0655060491,-255907.5617579506,-435378.50374809856,-726548.6023409446,-268961.41930419253,-457587.18303675216,-612917.8948842861,-226896.40637097583,-386021.4885133104,-734294.9985988997,-619452.7706958527
2026,263277.992,279474.89371776895,227880.9153338176,-856564.9917282922,-316765.20446741505,-539799.787260877,-909260.9990189612,-336252.64755140705,-573008.351467554,-741401.9412528302,-274176.90400775475,-467225.03724507533,-852483.245185323,-695105.9525788929
2027,263277.992,282269.6426549466,222462.52125184203,-846091.2486773678,-313105.23983515904,-532986.0088422088,-907124.3388153695,-335691.1965572181,-571433.1422581514,-714923.3817837933,-264565.14857835957,-450358.23320543376,-853702.784913098,-672820.7544572758
2028,263277.992,285092.3390814961,217172.9619798574,-1945233.2842168028,-715933.6100970823,-1229299.67411972,-2106408.905825098,-775253.5104781451,-1331155.3953469526,-1604585.597398391,-590559.8926237469,-1014025.7047746438,-1616247.7344284486,-1231198.6667545012
2029,263277.992,287943.26247231103,212009.17417326116,-1196592.8916439384,-454043.7581383429,-742549.1335055957,-1308696.0229897685,-496580.9714301655,-812115.0515596033,-963577.2016182267,-365626.6194913625,-597950.5821268645,-1100058.3140319143,-809959.7563001256
2030,263277.992,290822.69509703416,206968.1673255304,-1707429.7315551399,-623516.8866097787,-1083912.8449453611,-1886064.659060721,-688750.5485166708,-1197314.11054405,-1342245.1291602438,-490159.26602078625,-852085.8631394573,-1488136.8056410842,-1059054.0304649877
