,Papallacta_BAU,Mica_BAU,Orientales_BAU,Occidentales_BAU,Bellavista_BAU,Puengasi_BAU,El Placer_BAU,El Troje_BAU,Paluguillo_BAU,Norte_BAU,Centro_BAU,Sur_BAU,Parroquias Norte_BAU,Parroquias Sur_BAU,Parroquiales Orientales_BAU,Papallacta_BASE,Mica_BASE,Orientales_BASE,Occidentales_BASE,Bellavista_BASE,Puengasi_BASE,El Placer_BASE,El Troje_BASE,Paluguillo_BASE,Norte_BASE,Centro_BASE,Sur_BASE,Parroquias Norte_BASE,Parroquias Sur_BASE,Parroquiales Orientales_BASE
2021-01-31,5772730.021632,333298.48896000005,4817136.429072001,1732112.1734399998,5163491.2198359165,3547791.7821035283,1246403.91261096,1033674.8936730481,1037359.5848872702,3051623.3109230264,4217199.666680804,1186747.2007534902,480721.0325667237,1213178.229843883,1621941.414673451,6095641.916448,362115.66240000003,5054661.139464,1982407.58208,5490445.091442594,3728095.2346817157,1395930.4789700883,1102482.3010865396,1095386.8523857053,3244853.0490425727,4503959.850239004,1273631.471778549,511160.43801330554,1287067.1507715627,1717201.3258357148
2021-02-28,5720461.318655999,305422.838784,4418403.292800001,1747891.59552,5124557.296652773,3254002.726976064,1227748.8962479103,958896.3866896512,1027966.8989624833,3028613.3623217894,3939048.9835767844,1133311.9187434409,477096.2843183732,1156045.7273398396,1608185.2982938595,6022298.370815998,337425.66144,4652967.164832,1955459.68128,5423614.165030118,3433595.3261880483,1354518.271465632,1025988.9526908,1082207.0172356348,3205355.9715327984,4206046.671583266,1214109.349482927,504938.4787643037,1226432.28567624,1696448.2828699474
2021-03-31,6291431.885087998,328738.084416,5783120.017344,2114202.539520001,5683724.333654368,4228282.251847872,1511938.167051514,1205805.1219132605,1130570.309750313,3359081.0811897316,5048331.393207686,1369170.323390135,529154.7354632218,1388916.5996625728,1774369.993255884,6488491.147487999,354260.4508800001,5860812.426408,2152958.9875200004,5854924.20022413,4294235.884713732,1538595.1700686803,1233813.134968956,1165981.8592035933,3460260.202332461,5129659.579845974,1402485.8555654956,545093.4430408665,1422185.650299562,1829135.059994781
2021-04-30,7467710.423039999,381798.87840000005,6627939.6959999995,2518836.912,6748706.748482495,4848149.2090104,1783880.4992270402,1391182.68945312,1341947.5630202878,3988485.688353154,5830688.062930218,1598000.6916901916,628304.5982837202,1619118.9098377645,2106391.6793813817,7590849.39648,396671.10048000014,6625018.03896,2431356.3936,6827929.483983551,4852532.16658332,1737826.0643026081,1392544.117853064,1364075.636547456,4035306.325034278,5795895.04467188,1598013.5999442844,635680.2349588687,1628062.5466746907,2137313.1116788075
2021-05-31,7325003.169791999,357327.433152,6376111.931736,2556395.1302399994,6641034.288777101,4659624.522042877,1786477.5593026993,1342240.2913202855,1316303.0696116225,3924851.264667266,5664442.9365870245,1559454.4692675236,618280.2922851479,1573706.2178137295,2068670.669677211,7340430.619872,376478.71632000007,6373454.1085439995,2436445.66464,6623875.8128960915,4666048.851211056,1723367.6060700957,1343661.5318633278,1319075.3823909983,3914710.60542159,5617138.516573873,1550648.9677433418,616682.8381806262,1573047.6846931616,2069324.3832226784
2021-06-30,7082632.14624,314047.80864,5610214.8719999995,2367422.6400000006,6395354.622742175,4099756.5321134403,1634595.4479104644,1188936.256002912,1272748.9966793277,3779654.582040625,5036599.959758892,1423235.1812451317,595407.5153772965,1443614.4212514483,1997137.8647173478,7119562.806720001,336970.99007999996,5684077.09368,2315703.1680000005,6412781.782477727,4161877.390884601,1612847.5003162082,1208773.988105544,1279385.436367584,3789954.0334443375,5073819.585032075,1434272.7359964338,597029.9839486765,1458032.0042346993,2005658.582454984
2021-07-31,6551632.606176,256870.74672000002,4912510.295736,2130433.3756799996,5901096.267660182,3582041.992640604,1461086.85198996,1035493.7419300679,1177328.3793298271,3487547.894187168,4428239.815322677,1267115.4747456308,549392.062519163,1292064.102359462,1845650.3324195887,6639675.283584,283065.846912,5106656.978928,2192997.04992,5988829.531915642,3730562.200248983,1507984.377304003,1083366.7659012815,1193149.6484600448,3539398.253362144,4600345.138826457,1310329.117492182,557560.0294213463,1331378.4281856644,1871455.3447533955
2021-08-31,6232419.099647999,219005.93808,4305838.634136,1920688.40736,5587251.489030355,3137014.0691747637,1308739.262484744,908050.8461679721,1119965.7122067455,3302065.630016939,3902603.7195191616,1142895.4362149015,520173.113628726,1174643.9960414926,1752594.8845970042,6445324.285344001,251384.124672,4632963.678936001,2130005.3673599996,5813827.715342506,3382163.8572135963,1442468.993135083,989669.0662068457,1158224.7740763167,3435972.1797674205,4234020.378764665,1229090.1126707718,541267.3602983872,1248764.4368683854,1816711.128324181
2021-09-30,5942403.1296,190846.18656,3811177.0080000004,1736199.3599999999,5303621.86691904,2775328.37802576,1177474.917697056,804639.491653248,1067849.8423891198,3134440.5233491524,3469146.04125259,1039095.8515165297,493767.1958101626,1076363.5912772685,1668230.3318261818,6226765.15104,229331.32128000006,4249346.94864,2019392.9856,5607143.904259296,3101578.7469890397,1357903.3522970881,911589.4634559841,1118949.697641888,3313822.0474172435,3912268.220165711,1153196.6053851836,522025.0974865404,1174626.2589580659,1753972.831415053
2021-10-31,6908462.392608001,296265.16281600005,5368648.752792001,2031456.8534400002,6169065.343779137,3921381.2919282843,1439749.1368223857,1119424.8919935527,1241450.6919516576,3645917.618173471,4713471.195707944,1336586.345088358,574339.983505838,1379906.3457846462,1939819.506744766,7270587.590112,332542.671264,5818525.539191999,2337207.1948799994,6541950.753060507,4254945.541432092,1632829.8623659345,1228560.741104839,1306524.5899431263,3866292.8950587604,5173761.846033999,1458523.287778692,609055.6151099333,1486666.6925943687,2047387.8885866306
2021-11-30,7145173.60704,325132.52256,6057593.307360001,2079927.0720000002,6375189.717804096,4420634.6201796,1511430.6470722563,1243686.2428882082,1283987.697185088,3767737.1232222207,5219752.428532686,1440500.4787419455,593530.1627275613,1490263.7647021483,2005660.902801657,7479900.469439998,354626.73504000006,6433174.165680001,2360929.1616,6719461.291551455,4698768.237692761,1686266.3305700643,1336150.805117832,1344138.1143583679,3971201.623306908,5615186.394398851,1547260.8657446932,625581.8462434403,1583187.8248237544,2105042.953287494
2021-12-31,7880070.768191999,389475.4648320001,6942430.879199999,2345201.6832,7043652.64111582,5073665.030159472,1712412.587235283,1431564.6950017055,1416048.7170441025,4162798.7108994494,5972095.117515728,1634399.0153149692,655764.0608878828,1684035.001512919,2213464.837380426,8167135.7073599985,403942.896,7171018.378128,2523034.0512,7323208.528187663,5241433.729563433,1822297.6893002405,1486476.9350768882,1467634.286612592,4328016.240158909,6214338.101848822,1703721.6396316784,681790.7139742714,1747105.0781879225,2296829.730302969
2022-01-31,7369705.558655998,322442.5855680001,6086392.992792,2209516.88544,6591486.533573892,4439815.510251277,1582019.9100699406,1255595.4459149544,1324336.0888904831,3895568.5413421704,5296218.911272275,1472445.1362286627,613667.3962757294,1518199.4974434443,2070585.1264168185,7637078.258207998,341832.1392,6329955.975192001,2440348.89696,6868067.164799298,4620298.128816349,1721223.9063448564,1319035.5502044843,1372382.9629999776,4059027.694396386,5574463.041567377,1551045.266292209,639417.0530428147,1585109.15595036,2150157.711041715
2022-02-28,7442931.452543999,319275.00864,6079172.710464001,2231628.7795200003,6657019.249651543,4433341.236188256,1593167.1988296963,1254340.70775216,1337494.7820221568,3934298.376544062,5299804.091026947,1477596.5719958907,619768.4921425588,1523835.8561360736,2091163.2684744983,7749613.944576,342870.60326400003,6372517.590432001,2470166.01216,6967744.727179622,4650818.084155152,1739867.9236271426,1328163.2183629153,1392605.6258403072,4117937.133763157,5617399.866192827,1566232.4985507624,648697.0341004228,1601252.804193116,2181659.734690684
2022-03-31,7756365.060864,346458.37881599995,6295111.089336001,2207017.6703999997,6907887.604496792,4597685.691832621,1595222.2865468017,1300089.4817510091,1393818.8014372606,4082561.574257604,5448356.72892585,1524435.4619231794,643124.3359786514,1580480.2557124584,2175721.565531255,8022993.8080319995,365917.22265600006,6487058.016000001,2353730.51232,7162954.655516956,4741731.604325376,1686398.3267616576,1349863.967324909,1441731.9873033504,4233306.201410521,5653680.808947464,1586242.4387299782,666871.0784286286,1637077.4448003587,2252606.2806036314
2022-04-30,8000974.195199999,360534.34368,6398887.721039999,2462250.1824,7171867.912970878,4677105.81290004,1738086.2009218081,1340954.8106174641,1437775.06287744,4238573.936565788,5639387.785119675,1588106.5549082314,667700.9026975887,1628913.0047472767,2249821.1234502457,8110471.602239999,369515.93472,6500335.4776800005,2451552.9984,7258986.586778976,4752672.17268204,1739359.1924817122,1360514.6652897361,1457451.7469225281,4290061.072786375,5707968.720355013,1606818.4607208082,675811.6512291225,1651570.8468107479,2279299.367652641
2022-05-31,8123450.628384001,404038.43452800007,6030527.963472,2305145.1398400003,7233245.737462282,4435718.667560856,1632448.8426192773,1296492.9223747824,1459784.0779206047,4274848.230840208,5334944.309820372,1549253.9807335476,673415.1781577383,1597384.3579427076,2278505.1066997168,8198976.606911999,408506.13964800007,6133754.108808,2288394.42624,7291006.934927789,4510584.68941026,1630441.393048469,1313536.4810116345,1473356.0962620862,4308985.098542323,5400142.352376365,1563903.668623878,678792.745641777,1616113.2266692058,2298560.8433007835
2022-06-30,7998946.240320001,401071.824,5934135.75768,2326126.6367999995,7136378.491683168,4366331.548504921,1637207.6611960798,1281578.3038112398,1437410.639385504,4217599.688584751,5276953.644669601,1533696.0957232497,664396.8375757029,1575921.6152615123,2245247.320952023,8072889.209279999,408549.2256,6078961.871999998,2351193.0912,7203233.345851871,4471892.651865599,1660233.9963628799,1309462.79553792,1450698.1909076157,4257110.907398456,5390615.569119727,1559354.5623303223,670621.024498809,1602185.0884872975,2266107.876926718
2022-07-31,8045215.635744001,429943.19616000005,5206881.796272,2079707.42592,7113079.595087625,3865042.3646015287,1460220.6528298082,1168196.3884293842,1445725.2497431966,4203830.040696787,4680344.30723846,1434937.9741224963,662227.7103026579,1487773.7604425275,2250556.3890313837,8227914.254784001,443326.89312,5467547.762136002,2239096.3315199995,7302482.335880121,4055004.702116606,1562352.0746232243,1226195.7798657964,1478556.191584685,4315767.060505151,4935898.119591795,1499080.2482505543,679861.1054704392,1544791.2676614677,2304978.201098985
