,Papallacta_sigmoid,Mica_sigmoid,Orientales_sigmoid,Occidentales_sigmoid,Bellavista_sigmoid,Puengasi_sigmoid,El Placer_sigmoid,El Troje_sigmoid,Paluguillo_sigmoid,Norte_sigmoid,Centro_sigmoid,Sur_sigmoid,Parroquias Norte_sigmoid,Parroquias Sur_sigmoid,Parroquiales Orientales_sigmoid
2021-01-31,7009.195615163005,296.1094445986741,2154.2032287824863,2163.2658437076025,6284.411047033528,1650.3080253683738,1300.8076881923591,634.9809050508322,1259.5524520448118,3714.08692879686,2567.7140517897815,1012.9177087322558,585.0786684788163,1013.2148610897196,1971.1235911442088
2021-02-28,7202.104922649517,363.1161675623678,2239.099183178476,2118.5382085942983,6431.462570915999,1739.3344315538689,1285.2580478102882,680.1717804526268,1294.2182546001277,3800.9943794114083,2634.180770334741,1049.9601669523925,598.7691653522944,1052.137170792339,2022.2927776768588
2021-03-31,5705.8355797081995,339.69196340709027,1091.468547472495,1614.6909358573935,5079.465289363259,918.3789949263941,942.1294593521986,457.07972368987896,1025.3386536735657,3001.96398601372,1612.3396046526302,767.6477015053852,472.89821843972004,761.0115294324577,1600.2699926798825
2021-04-30,5027.248528979003,218.36346816824297,458.44366262402974,1102.9819235797231,4395.932076919376,418.5510110947697,624.3489127573132,260.96147192556646,903.3965606575088,2597.9958574593898,898.6987344845572,551.5700345734816,409.26127636119367,576.9945910856377,1400.5067619366093
2021-05-31,4016.931351370325,316.3408742254016,485.0654210850217,742.3534658291787,3477.9568512471997,479.83248897335415,438.47844712887905,291.78925690676346,721.8425638412564,2055.472499087119,797.2234804604641,483.93173403795123,323.7977828511157,499.9351908416509,1114.9434888978458
2021-06-30,5580.235647879437,400.91225208681954,1372.7384609090664,1019.6458915580948,4828.617211748667,1143.635183911784,646.8385142742972,491.5646886468321,1002.7683459239385,2853.7127721433776,1565.3914445543287,732.8302612659813,449.54426241378616,768.2896347985194,1548.5125882111686
2021-07-31,7015.665865316746,460.27980496934157,2635.3282525671057,1413.9588642607832,6103.513220741827,2061.3907058929617,940.707109405031,743.676982196669,1260.7151559973695,3607.1763134584203,2632.310782099642,1021.9575560333998,568.2370808510701,1070.6097369004522,1950.7446390288585
2021-08-31,10698.845710088324,602.1996910369029,4572.261094170725,2616.5728596256686,9422.20195331848,3491.3560290961636,1711.0070244788662,1198.2372309586983,1922.5825741028793,5568.521354411173,4557.278880468904,1645.1223740103728,877.2070018539362,1698.7680123099688,2988.473299505328
2021-09-30,13498.145452263612,790.2795332288116,6638.647542041267,4060.1968712114744,12076.088378806971,5032.790666106896,2619.572857815602,1713.496901327281,2425.616737771784,7136.9682318749965,6698.046168093913,2281.071380557405,1124.2838280669334,2290.672576172722,3792.818692332978
2021-10-31,19046.3425190789,824.0406947429011,8106.721710523581,5571.66690612053,17000.655457564048,6084.6205296559365,3519.093236883776,2060.435896311656,3422.627750678464,10047.387375420096,8393.797846795236,2961.3388759695736,1582.761023099166,3009.9173544366786,5347.14531923857
2021-11-30,21441.51676784255,727.0110150436624,7864.8855320569,6135.057559548815,19104.461401502038,5871.700903419411,3798.6997711633558,2011.0007752216886,3853.0405631813196,11290.736688287885,8438.584744777916,3110.196518459846,1778.625356479853,3187.2076039260883,6015.519975881865
2021-12-31,21409.939711442017,377.88224921143143,5930.077527853018,5787.988901002236,18992.324811309994,4353.411728461221,3474.6090228259995,1506.592224659627,3847.3661661460815,11224.463963484406,6809.746921892581,2733.0904599785486,1768.1854399329832,2859.9680036826953,5996.673123708944
2022-01-31,23104.56509163787,560.5902829296494,6442.54762608943,6286.389100412834,20505.600610086174,4794.675785482066,3779.9465172705136,1715.5643625674916,4151.8903469672805,12118.809960560953,7460.608394515663,3012.116268767726,1909.0714167990182,3127.5145828587656,6472.507762687401
2022-02-28,26988.103589965816,743.3401581799184,7807.67148412137,6902.505283124796,23842.81869626959,5838.357862103015,4203.227142678441,2063.5279409343043,4849.762215116838,14091.1058494952,8748.801327423804,3520.685923102846,2219.766420622704,3684.7709331837045,7547.425087415494
2022-03-31,27265.21553233227,702.8584741969665,5865.134557516371,5975.779957541349,23839.73153440828,4448.406713449777,3583.1551065041253,1680.397223394631,4899.559231160058,14089.281336835324,6985.848424812686,3189.1219716072496,2219.4790058534104,3422.6956842669115,7595.445784359542
2022-04-30,20791.05296117575,365.1216988656776,4112.833671538262,3779.5043767428365,17985.7911604884,3063.9972454003064,2289.2703432626276,1082.9529085269592,3736.1522171232677,10629.602575848752,4661.5068625529075,2230.5980855068406,1674.4771570414878,2490.9344977801825,5768.929678360639
2022-05-31,21669.6900254127,217.00028765072867,4790.922369772379,3663.765628480056,18677.424610512877,3478.856278940748,2265.937590855712,1101.2060336833888,3894.0432975666117,11038.35794481292,5012.530744719665,2286.1766425130913,1738.8682312387798,2606.027845246086,6004.587658435489
2022-06-30,24124.777052094494,366.83007157969917,6886.123123991669,5180.97977445987,21067.37817896544,5024.066823129517,3213.926247145461,1605.8324616746725,4335.222436261427,12450.820503768586,7189.806310509491,2902.687648229372,1961.372908461725,3167.7125697387564,6717.446906794228
2022-07-31,33580.96741340294,739.2719638239488,10991.267395206542,7428.439076231105,29379.00229269264,8085.804811031067,4689.321179824024,2586.202508279908,6034.499844188474,17362.990354981594,11165.232469817474,4299.84130650184,2735.1851134497006,4637.909270816881,9356.886871199016
2022-08-31,41431.757854633855,1623.2121195884006,16355.038768323595,9916.820322165053,36434.22811507287,12258.497343662106,6394.991599038434,4045.2689395499647,7445.286886477717,21532.62881600735,16326.731965819543,5951.861523428499,3392.026637513187,6249.443167632119,11566.614990472466
2022-09-30,54774.26166859663,2274.9881726658155,22796.312694269287,13822.3392867766,48344.268454845726,17091.80229135192,8914.031746058588,5645.017488759643,9842.934821846726,28571.46265681426,22762.059849656114,8134.612820095073,4500.851393146152,8465.195146512611,15312.513285669582
2022-10-31,57113.10155661316,2019.6980588445617,22201.495288875365,14876.951018081616,50523.95429426031,16560.89553009966,9425.235771639756,5491.9333011251665,10263.224349723378,29859.656987908224,22717.414732654248,8253.13221976082,4703.780144795658,8584.75808292842,15980.073266213782
2022-11-30,55578.35587001048,2085.165907747765,19188.777001062837,16009.708520675671,49547.10654521027,14460.790372259204,9833.641853300684,5141.724479327283,9987.43054984091,29282.33996821875,21184.446096276046,8016.159348685185,4612.83561935899,8169.392595505004,15595.937233505703
2022-12-31,49799.55302680793,1733.5408783368914,15710.325726140289,14133.99186259642,44342.95050453543,11850.835096277186,8597.249239645389,4294.036033752518,8948.979678917327,26206.68374818033,17813.524060936295,6948.044192337782,4128.328691972223,7103.454064003511,13968.100368993248
2023-01-31,54656.415060892694,2294.3734198176576,19248.285791326456,15615.329848983241,48693.204175898754,14593.524789063018,9636.444633365914,5233.766573733763,9821.75778644234,28777.683667956007,21137.2867608923,7990.843402515715,4533.33730877603,8126.760643275205,15333.424017600448
2023-02-28,56567.11779019889,2859.060629242403,20633.975383850106,16407.252162923167,50456.58203867038,15817.30639146698,10169.748354911266,5797.787523869606,10165.111066898724,29819.839984854036,22678.85502243988,8546.911865257158,4697.507787800233,8615.629220414792,15876.726028103642
2023-03-31,64398.09872836577,3168.5210192183526,19847.204716146196,16963.72532319066,57015.486890199565,15395.603993788465,10426.56051856677,5877.962205536768,11572.338341487222,33696.15275210823,22517.956723905583,9078.829973615604,5308.141829477676,9272.26122197511,18023.98255766816
2023-04-30,53317.10776216602,2643.9090608064494,16492.69384645252,11501.329376740458,46572.77700432107,12798.22278037851,7286.401885344589,4711.937217784523,9581.084264861278,27524.511209553148,17558.153016620858,7191.41193460429,4335.925539102226,7563.418635735803,14847.44276597935
2023-05-31,53209.40552912094,2083.6387403687067,14691.227585583616,11826.752320309763,46565.33954492405,11282.609683164417,7319.671863868293,4163.178568478111,9561.73017358312,27520.1156710495,16232.067692520724,6841.249507936691,4335.233111632402,7231.650842227992,14827.752081561795
2023-06-30,54786.08016000083,2049.8832000000402,14647.009679999668,10250.064000000246,47466.24802718451,11236.736706119264,6478.064935919829,4030.3239692398347,9845.058604752063,28052.552584065823,15483.714151887689,6702.554936103988,4419.107691330952,7272.891262108227,15210.180336669786
