,Papallacta_SEM,Mica_SEM,Orientales_SEM,Occidentales_SEM,Bellavista_SEM,Puengasi_SEM,El Placer_SEM,El Troje_SEM,Paluguillo_SEM,Norte_SEM,Centro_SEM,Sur_SEM,Parroquias Norte_SEM,Parroquias Sur_SEM,Parroquiales Orientales_SEM,Papallacta_BASE,Mica_BASE,Orientales_BASE,Occidentales_BASE,Bellavista_BASE,Puengasi_BASE,El Placer_BASE,El Troje_BASE,Paluguillo_BASE,Norte_BASE,Centro_BASE,Sur_BASE,Parroquias Norte_BASE,Parroquias Sur_BASE,Parroquiales Orientales_BASE
2021-01-31,6230037.252095998,367793.30793600006,5095966.145327999,2023886.3558400006,5610943.302419749,3759738.4806644875,1420872.3546811778,1114657.5172668048,1119537.694201651,3316067.491730072,4553193.572735183,1293053.3031730645,522378.82145527855,1306494.679808577,1754995.9361134525,6095641.916448,362115.66240000003,5054661.139464,1982407.58208,5490445.091442594,3728095.2346817157,1395930.4789700883,1102482.3010865396,1095386.8523857053,3244853.0490425727,4503959.850239004,1273631.471778549,511160.43801330554,1287067.1507715627,1717201.3258357148
2021-02-28,6147936.547199998,343760.09472,4692027.459168,1992416.8320000002,5535808.757801279,3463937.4009633125,1376939.1441193921,1037854.3091444642,1104784.1975318398,3271662.9758605557,4251999.024652972,1232425.5337191336,515383.7953512991,1244786.4469754538,1731726.466044261,6022298.370815998,337425.66144,4652967.164832,1955459.68128,5423614.165030118,3433595.3261880483,1354518.271465632,1025988.9526908,1082207.0172356348,3205355.9715327984,4206046.671583266,1214109.349482927,504938.4787643037,1226432.28567624,1696448.2828699474
2021-03-31,6579098.285759999,359654.668128,5878144.654128,2178599.8463999997,5935584.746325023,4308819.496774921,1553555.9331332927,1241071.4383580303,1182263.9619510719,3507930.5850780886,5155263.1002172455,1414675.8951246163,552602.9398828596,1434270.3092264845,1854546.9181659017,6488491.147487999,354260.4508800001,5860812.426408,2152958.9875200004,5854924.20022413,4294235.884713732,1538595.1700686803,1233813.134968956,1165981.8592035933,3460260.202332461,5129659.579845974,1402485.8555654956,545093.4430408665,1422185.650299562,1829135.059994781
2021-04-30,7663562.20224,399829.45248000004,6631648.848,2447309.6351999994,6891511.093963774,4858585.97876208,1746856.483419168,1396318.596220224,1377142.1277425278,4072883.05653259,5808893.587739852,1605991.364432312,641599.6828480274,1636408.0452877663,2157569.674599707,7590849.39648,396671.10048000014,6625018.03896,2431356.3936,6827929.483983551,4852532.16658332,1737826.0643026081,1392544.117853064,1364075.636547456,4035306.325034278,5795895.04467188,1598013.5999442844,635680.2349588687,1628062.5466746907,2137313.1116788075
2021-05-31,7393383.793152,380648.8779840001,6379848.480527999,2446231.7347200005,6669723.958083245,4672374.240099097,1729147.8455512708,1347508.0419802994,1328591.0676294144,3941806.859227198,5627647.910290374,1557028.3949046899,620951.3004975502,1579638.0773271748,2084022.1190316,7340430.619872,376478.71632000007,6373454.1085439995,2436445.66464,6623875.8128960915,4666048.851211056,1723367.6060700957,1343661.5318633278,1319075.3823909983,3914710.60542159,5617138.516573873,1550648.9677433418,616682.8381806262,1573047.6846931616,2069324.3832226784
2021-06-30,7186654.964159999,341791.22880000004,5700581.77032,2327962.5504,6470837.098889183,4175627.51841588,1620624.5538631203,1214684.15705964,1291441.8970595517,3824264.725443507,5092640.562474699,1443083.6834847063,602434.9339065829,1467269.2860253006,2024276.6224306908,7119562.806720001,336970.99007999996,5684077.09368,2315703.1680000005,6412781.782477727,4161877.390884601,1612847.5003162082,1208773.988105544,1279385.436367584,3789954.0334443375,5073819.585032075,1434272.7359964338,597029.9839486765,1458032.0042346993,2005658.582454984
2021-07-31,6716666.480832001,288117.04147200007,5135577.551999999,2208514.0924800006,6055810.599615437,3753184.277966112,1518307.8687591553,1091528.0127913537,1206984.96660551,3578984.0643727225,4629232.597626994,1321544.266173169,563795.9668241972,1343127.494776311,1892863.17234485,6639675.283584,283065.846912,5106656.978928,2192997.04992,5988829.531915642,3730562.200248983,1507984.377304003,1083366.7659012815,1193149.6484600448,3539398.253362144,4600345.138826457,1310329.117492182,557560.0294213463,1331378.4281856644,1871455.3447533955
2021-08-31,6552580.358015999,257421.184704,4678800.658128,2156236.5456,5908285.417118918,3417164.748536616,1459621.8616531102,1001681.4106227312,1177498.690335475,3491796.6815172797,4279707.161062052,1245582.4866784469,550061.3723337711,1265794.6091241997,1846670.6134944204,6445324.285344001,251384.124672,4632963.678936001,2130005.3673599996,5813827.715342506,3382163.8572135963,1442468.993135083,989669.0662068457,1158224.7740763167,3435972.1797674205,4234020.378764665,1229090.1126707718,541267.3602983872,1248764.4368683854,1816711.128324181
2021-09-30,6350491.4457600005,236575.15776,4310197.92,2056609.44,5717835.382218624,3147710.16136896,1381914.8022101764,927295.6671982082,1141183.3128030722,3379240.710891207,3973663.6494246824,1174105.293242068,532330.4740845539,1195622.9530053241,1788738.4519965397,6226765.15104,229331.32128000006,4249346.94864,2019392.9856,5607143.904259296,3101578.7469890397,1357903.3522970881,911589.4634559841,1118949.697641888,3313822.0474172435,3912268.220165711,1153196.6053851836,522025.0974865404,1174626.2589580659,1753972.831415053
2021-10-31,7430368.425984001,339455.59488,5886533.2824,2383948.22112,6684570.205412603,4305989.764396081,1662351.73294752,1245845.8534272478,1335237.2061493248,3950580.991398847,5244177.887053847,1483366.125737145,622333.4861239131,1511917.058133883,2092245.3906388574,7270587.590112,332542.671264,5818525.539191999,2337207.1948799994,6541950.753060507,4254945.541432092,1632829.8623659345,1228560.741104839,1306524.5899431263,3866292.8950587604,5173761.846033999,1458523.287778692,609055.6151099333,1486666.6925943687,2047387.8885866306
