,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2021-01-31,-2690.9324568,-240.14311199999986,-1979.3725865999934,-2085.795072000002,-2724.615596722315,-1502.5287714848955,-1246.0547196594027,-573.395061779096,-483.5605624869592,-1610.247817662886,-2389.6681963183296,-724.0355918754901,-253.6617120548486,-615.7410077306636,-793.8325930188643
2021-02-28,-5030.617535999976,-533.3803775999995,-3909.3978671999803,-3459.4680959999987,-4984.2811396224115,-2993.2099868664054,-2112.8229202953594,-1118.2094333524797,-904.0019712191929,-2945.7101535168167,-4449.961466774694,-1346.623845658102,-464.03657409884227,-1173.1093056066738,-1471.0497429347986
2021-03-31,-4926.481560000033,-638.059161600002,-1942.310226600012,-968.9111999999849,-4279.996664244053,-1648.8408216465032,-666.42507542916,-700.2003263923864,-885.2887363320101,-2529.47802856823,-2033.2046659572052,-832.888304384012,-398.4676894411183,-831.7262659247267,-1369.126668472425
2021-04-30,-4104.632448000026,-495.74073600000315,97.38856799999873,2916.017279999998,-2640.757850035218,-146.09858576400825,1535.1478308144026,-45.38094666479932,-737.6024509056083,-1560.6878893708033,1159.7672752779288,-0.43027513642640164,-245.85455583828346,-298.1212278975407,-1030.7144099141938
2021-05-31,-642.8104200000331,-797.9701320000022,110.74263300001621,4997.89439999997,714.9364950420568,-267.68038200746133,2629.581384691817,-59.21835596009623,-115.5130324739924,422.52746856982895,1971.0175005479637,366.89589684090845,66.5605876884074,27.438880023662932,-27.238064394477988
2021-06-30,-1846.5330240000505,-1146.1590719999979,-3693.1110840000215,2585.9736000000034,-871.3579867776018,-3106.0429385580355,1087.3973797128072,-991.8866051315913,-331.8219844128122,-514.9725701856195,-1860.9812636591496,-551.8777375651058,-81.12342856900068,-720.8791491625482,-426.0358868818148
2021-07-31,-5135.822848799972,-1528.0475111999974,-11325.223186199988,-3649.547664000032,-5117.773748235188,-8663.678777155466,-2735.688976652511,-2792.593064987461,-922.9073659293606,-3024.6042852069136,-10039.477204387178,-2520.795826882153,-476.4647359606897,-2293.3356731951335,-1505.2923861387321
2021-08-31,-14193.679046400139,-2158.545772800001,-21808.33632000008,-13954.463999999965,-15105.081754143412,-16343.31920258884,-8915.31537668927,-5441.214669258241,-2550.604124638081,-8927.103316698782,-22094.44394970021,-5746.311763724685,-1406.2831113107502,-4941.362721792857,-4274.416248478461
2021-09-30,-21327.15160800002,-2886.3851040000045,-32862.74554799998,-21239.52192000001,-22764.152800519227,-24468.777672245982,-13532.132595002413,-8021.247885205212,-3832.489143957611,-13453.61430510683,-33234.16341848408,-8557.556540149042,-2119.3426257283354,-7369.700076059805,-6430.687469165336
2021-10-31,-30177.099791999906,-3023.1257039999955,-37489.73219999981,-25479.19511999993,-31073.784106780775,-27797.020791983967,-16090.060461962401,-9094.654092607185,-5422.824832622388,-18364.606407107436,-38357.554193837874,-10161.41189086117,-2892.969300341278,-8896.695567476872,-8964.03182015539
2021-11-30,-30683.295719999827,-2703.636144000004,-34428.24534599997,-25758.524880000004,-31558.227593507927,-25495.581605373103,-16026.604320632394,-8475.91820438218,-5513.788240883991,-18650.91250776302,-36248.11353773181,-9786.368808585208,-2938.070988955573,-8518.03884448056,-9110.02129453504
2021-12-31,-28706.49391679997,-1446.7431167999923,-22858.749892800024,-17783.236800000024,-27955.588707184328,-16776.86994039612,-10988.51020649574,-5491.2240075182635,-5158.5569568489445,-16521.75292594596,-24224.29843330942,-6932.262431670912,-2602.66530863886,-6307.00766750034,-8336.489292254299
2022-01-31,-28965.375784800057,-2100.534976799987,-26385.989760000113,-25006.80124800002,-29962.90171608567,-19552.283677882835,-15080.43292978254,-6872.677964699067,-5205.078028528571,-17708.074914206678,-30143.11411530267,-8515.014090217523,-2789.5461497675756,-7248.546338249198,-8620.36333436379
2022-02-28,-35779.624070400096,-2752.8193728000024,-34223.56932960007,-27829.343807999954,-36251.30571160927,-25372.298929471133,-17115.084559702067,-8612.626237921451,-6429.598445450887,-21424.52167556106,-37052.840436019345,-10340.858098068367,-3374.996561750795,-9031.977273321618,-10557.921058554986
2022-03-31,-33328.59339599998,-2432.355480000013,-23993.36583299993,-18339.105240000063,-31883.381377520505,-18005.739061594475,-11397.00502685699,-6221.8106967374915,-5989.148233261221,-18843.078394114622,-25665.510002701776,-7725.87210084984,-2968.3428062471503,-7074.648635987542,-9610.589384047023
2022-04-30,-14599.654271999994,-1197.5454720000039,-13526.36755200016,1426.2911999999856,-11615.823174413044,-10075.51463760001,-169.73220798720916,-2607.9806229695987,-2623.5578726784324,-6864.951496078198,-9144.124698045105,-2494.9207750102505,-1081.4331375378495,-3021.0456084628277,-3930.4325603193915
2022-05-31,-10699.513624799794,-632.9248919999998,-14623.703922599903,2373.017760000052,-8182.836307613404,-10606.019761998912,284.3886891978463,-2414.5041402207103,-1922.702598376539,-4836.056257799672,-9236.389362099068,-2075.37245113013,-761.8220602388086,-2653.2564029205805,-2841.229351817793
2022-06-30,-11091.44534399975,-1121.6102399999975,-21723.917147999677,-3759.968160000094,-10028.228125305426,-15834.16550410171,-3453.9502750200104,-4182.673759002028,-1993.132728316763,-5926.682822055649,-17049.28866751897,-3848.7699910608935,-933.6280384659126,-3939.520983867778,-3129.0833962042348
2022-07-31,-28927.281348000037,-2119.0853519999955,-41272.11126180028,-25236.576719999917,-29988.767292145218,-30077.37010655387,-16170.808450624221,-9183.236977431936,-5198.232458235638,-17723.361469657648,-40462.68695594476,-10155.860070275849,-2791.9542348987015,-9027.771976332195,-8616.78691070355
2022-08-31,-46946.65147199978,-4882.142879999989,-67573.02884400015,-49596.15600000015,-50816.20430789251,-49856.75381676604,-30928.53925594804,-16346.746571058,-8436.313269518354,-30032.376745964553,-70537.46110452323,-18194.520432573354,-4730.988621064811,-15468.521457940882,-14239.612296199542
2022-09-30,-74349.65764799988,-6964.279560000006,-89114.71980599989,-68564.63376000013,-77997.59579495527,-65978.56473219885,-42486.40138768198,-22051.31802218098,-13360.633479345648,-46096.57911481835,-94655.0700980931,-25289.11343416278,-7261.576168510326,-21710.433304900587,-22256.441691900363
