,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
0,11488563.879999999,11488563.879999999,11488563.879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11488563.879999999,-11488563.879999999
2021,263277.992,265910.77192,257017.95082157358,-181289.22365746688,-65108.175299961935,-116181.04835750493,-183102.11589404155,-65759.25705296155,-117342.85884107999,-176978.65445006915,-63560.07834231737,-113418.57610775178,-383253.63076108,-370436.52692932537
2022,263277.992,268569.87963920005,250906.75655305368,-575565.3960363021,-210996.93916983012,-364568.456866472,-587134.2604966317,-215237.9776471437,-371896.28284948814,-548520.0096164603,-201082.3511967686,-347437.6584196918,-640466.1624886882,-598344.4149727455
2023,263277.992,271255.57843559206,244940.87001602963,-856105.2528557268,-320149.6995300133,-535955.5533257134,-882046.0981225083,-329850.5555754723,-552195.5425470358,-796478.1403368297,-297851.50419352914,-498626.6361433005,-823451.1209826279,-743567.5061593301
2024,263277.992,273968.13421994797,239116.83618421605,-1288128.2591506033,-481204.81370404165,-806923.4454465617,-1340431.431866437,-500743.6587717287,-839687.7730947083,-1169916.0707955193,-437044.40213721135,-732871.668658308,-1113655.9073146563,-971988.5048425241
2025,263277.992,276707.8155621475,233431.2821825423,-1382572.1310120982,-511815.1235159012,-870757.0074961971,-1453097.2046818892,-537922.8386083851,-915174.3660735043,-1225835.7897685722,-453792.81274195167,-772042.9770266208,-1191882.1816356517,-1005474.259209163
2026,263277.992,279474.89371776895,227880.9153338176,-1713129.9834565844,-633530.4089348301,-1079599.574521754,-1818521.9980379224,-672505.2951028141,-1146016.702935108,-1482803.8825056604,-548353.8080155095,-934450.0744901507,-1425491.596652877,-1162330.9898239681
2027,263277.992,282269.6426549466,222462.52125184203,-1692182.4973547356,-626210.4796703181,-1065972.0176844175,-1814248.677630739,-671382.3931144362,-1142866.2845163029,-1429846.7635675867,-529130.2971567191,-900716.4664108675,-1425135.9271712494,-1123178.9876627096
2028,263277.992,285092.3390814961,217172.9619798574,-3890466.5684336056,-1431867.2201941647,-2458599.34823944,-4212817.811650196,-1550507.0209562902,-2662310.790693905,-3209171.194796782,-1181119.7852474938,-2028051.4095492875,-2947403.129775401,-2245224.371529145
2029,263277.992,287943.26247231103,212009.17417326116,-2393185.7832878768,-908087.5162766858,-1485098.2670111915,-2617392.045979537,-993161.942860331,-1624230.1031192066,-1927154.4032364534,-731253.238982725,-1195901.164253729,-1912173.3655915176,-1407910.33842699
