,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_sigmoid,Costs_sigmoid,Utility_sigmoid,Incomes_sigmoid_INF_0.01,Costs_sigmoid_INF_0.01,Utility_sigmoid_INF_0.01,Incomes_sigmoid_INF_0.01_DIS_0.0346,Costs_sigmoid_INF_0.01_DIS_0.0346,Utility_sigmoid_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_sigmoid_INF_0.01,FNeto-Presente_EPMAPS-FONAG_sigmoid_INF_0.01_DIS_0.0346
0,11488563.879999999,11488563.879999999,11488563.879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11488563.879999999,-11488563.879999999
2021,263277.992,265910.77192,257017.95082157358,9908.68086442709,3898.71423831014,6009.96662611695,10007.767673071361,3937.7013806932414,6070.066292378119,9673.07913500035,3806.0133198272197,5867.0658151731295,-259840.7056276219,-251150.88500640047
2022,263277.992,268569.87963920005,250906.75655305368,19988.521321816093,7884.366131116059,12104.155190700036,20390.290600384596,8042.841890351491,12347.448710033106,19049.27569163636,7513.885678051959,11535.390013584403,-256222.43092916693,-239371.36653946928
2023,263277.992,271255.57843559206,244940.87001602963,29368.6078760959,11634.019958429615,17734.587917666282,30258.506063349483,11986.542397189993,18271.96366615949,27323.105549705608,10823.718871274294,16499.386678431314,-252983.61476943258,-228441.48333759833
2024,263277.992,273968.13421994797,239116.83618421605,51057.00220842322,20189.290103253163,30867.71210517006,53130.12123666406,21009.056240498554,32121.064996165507,46371.47503437618,18336.5086372096,28034.96639716658,-241847.06922378246,-211081.86978704948
2025,263277.992,276707.8155621475,233431.2821825423,70787.0792162959,27976.506764113718,42810.57245218218,74397.93167355184,29403.58977577415,44994.34189777768,62762.248138906885,24804.92879532305,37957.31934358383,-231713.47366436978,-195473.96283895845
2026,263277.992,279474.89371776895,227880.9153338176,115705.03603174072,45815.7766017118,69889.25943002893,122823.22727370755,48634.37007815089,74188.85719555669,100148.77931629552,39655.95843927504,60492.820877020495,-205286.03652221226,-167388.09445679712
2027,263277.992,282269.6426549466,222462.52125184203,168626.9420952156,66659.28559908704,101967.65649612853,180790.90593798237,71467.77663697893,109323.12930100341,142485.03798027307,56325.22728758698,86159.81069268608,-172946.51335394318,-136302.71055915597
2028,263277.992,285092.3390814961,217172.9619798574,348915.2052949105,137116.00222320796,211799.20307170256,377825.16974919214,148476.9824563155,229348.1872928766,287813.45542055694,113104.35829232086,174709.09712823603,-55744.15178861952,-42463.86485162139
2029,263277.992,287943.26247231103,212009.17417326116,308207.39230906556,122631.16656608411,185576.22574298148,337081.88590087614,134119.900845429,202961.9850554472,248189.3538505083,98750.87603820347,149438.4778123049,-84981.27741686383,-62570.696360956266
2030,263277.992,290822.69509703416,206968.1673255304,577360.3717206295,227366.01320415063,349994.35851647885,637765.0409382449,251153.52875184087,386611.51218640397,453874.6938688505,178737.03269878856,275137.66117006185,95788.81708936981,68169.49384453145
2031,263277.992,293730.92204800446,202047.02203632874,615923.5090698195,239368.22698390897,376555.28208591056,687166.3630362255,267055.5540433459,420110.8089928797,472677.2255605881,183697.9880650821,288979.23749550607,126379.88694487524,86932.21545917733
2032,263277.992,296668.23126848455,197242.88832079264,615935.1318927264,244966.62116835616,370968.5107243702,694051.1235543602,276034.5202793598,418016.6032750004,461446.9424879604,183524.35588855442,277922.5865994059,121348.37200651586,80679.69827861327
2033,263277.992,299634.9135811694,192552.98395901851,771383.6225211904,308446.22083505813,462937.4016861323,877906.5174276559,351040.5713074222,526865.9461202337,564164.9617776345,225587.5615029487,338577.4002746858,227231.03253906436,146024.4163156673
2034,263277.992,302631.2627169811,187974.59288479484,921974.7397883922,365160.35922952223,556814.3805588699,1059786.1886432238,419742.4166309227,640043.7720123011,658269.3260657642,260716.3224787694,397553.0035869948,337412.50929532,209578.41070219994
2035,263277.992,305657.5753441509,183505.06361264523,825576.0129103306,325769.2207645794,499806.7921457511,958468.1212870349,378207.95192275225,580260.1693642827,575427.4317246547,227061.52202591248,348365.9096987423,274602.59402013186,164860.8460860971
2036,263277.992,308714.15109759243,179141.80770227307,904150.0997011438,357235.47357424843,546914.6261268953,1060187.0987151943,418886.68752236804,641300.4111928262,615209.3536730305,243073.14115138215,372136.2125216484,332586.2600952338,192994.4048193753
2037,263277.992,311801.2926085683,174882.2982595165,1252539.6120996962,492555.3763159772,759984.235783719,1483388.213079808,583335.5148675757,900052.6982122323,831998.9238792058,327179.7068029109,504819.217076295,588251.405603664,329936.91881677846
2038,263277.992,314919.305534654,170724.0684729477,880232.6120900006,348673.0281230828,531559.5839669179,1052888.0169685336,417064.3624294511,635823.6545390828,570791.7004265775,226098.95143820153,344692.7489883761,320904.3490044288,173968.68051542842
2039,263277.992,318068.49859000056,166664.71018526694,1130054.7843299687,448438.5324696677,681616.251860301,1365229.29944057,541762.6048003678,823466.6946402022,715366.4903514934,283878.18321693817,431488.3071345553,505398.19605020166,264823.5969492884
2040,263277.992,321249.18357590056,162701.8724986658,1065350.6605335048,424208.05760441517,641142.6029290893,1299930.2650349704,517614.44675458083,782315.8182803891,658370.8194511437,262154.25291324855,396216.566537895,461066.6347044885,233514.69403922922
2041,263277.992,324461.6754116596,158833.26041335054,1141277.6862630197,453455.59523788095,687822.0910251386,1406501.4222489274,558835.0208766186,847666.4013723087,688522.631797345,273565.70937501383,414956.9224223312,523204.72596064914,256123.66200898064
2042,263277.992,327706.2921657762,155056.63349843808,1001939.6227280605,398887.42747832334,603052.1952497371,1247130.1389224713,496501.5072375144,750628.631684957,590088.7639286923,234923.3264041347,355165.4375245577,422922.33951918076,200108.80402611961
2043,263277.992,330983.35508743394,151369.80459445433,1069707.6411050404,425595.2673637828,644112.3737412577,1344796.8868419921,535042.6309138604,809754.2559281318,615020.782319187,244692.964906768,370327.81741241895,478770.9008406978,218958.01281796463
2044,263277.992,334293.1886383083,147770.63854668365,1014217.2195901856,402798.4906918935,611418.7288982919,1287786.74485136,511447.2000078571,776339.5448435028,569252.0101106049,226079.62679684028,343172.3833137646,442046.3562051945,195401.74476708093
2045,263277.992,337636.12052469136,144257.05096863568,1458400.0994090363,576130.5726061341,882269.5268029021,1870298.9490184626,738848.2796177058,1131450.6694007565,799096.407090163,315677.3444892893,483419.06260087364,793814.5488760651,339162.01163223793
2046,263277.992,341012.4817299383,140827.00703491404,932596.993148398,372290.8981865204,560306.0949618777,1207952.1446950776,482212.13688097824,725740.0078140993,498844.7470187676,199137.84870384293,299706.8983149247,384727.526084161,158879.89128001063
2047,263277.992,344422.6065472377,137478.52030278675,1265389.2889268377,500044.3143786164,765344.9745482212,1655393.5020483485,654162.4115220744,1001231.0905262739,660761.0675208172,261113.17510577827,399647.8924150388,656808.4839790362,262169.37211225205
2048,263277.992,347866.8326127101,134209.65156177717,1093242.9661810556,426528.5799866735,666714.3861943823,1444492.055840079,563568.3598603299,880923.6959797494,557295.9458135156,217428.9300305475,339867.0157829682,533056.8633670394,205657.36422119103
2049,263277.992,351345.5009388372,131018.50771060791,902572.4786194861,359505.701701223,543066.7769182629,1204486.4716006008,479761.7525683056,724724.719032295,449159.0746004687,178905.57502561467,270253.499574854,373379.21809345786,139234.99186424608
2050,263277.992,354858.9559482256,127903.24066084862,997573.4349758038,399589.52911685547,597983.9058589484,1344578.2722970585,538586.3133985404,805991.9588985181,484631.7542963471,194124.8310196332,290506.92327671393,451133.00295029255,162603.6826158653
2051,263277.992,358407.5455077078,124862.04626663166,1091595.0245757923,432780.3759707096,658814.6486050826,1486018.2215558514,589155.7859327832,896862.4356230682,517699.13401271874,205250.1347235472,312448.99928917154,538454.8901153605,187586.95302253988
2052,263277.992,361991.62096278486,121893.16327981632,921904.4782506169,364097.58058367745,557806.8976669395,1267563.9688667606,500612.57449925237,766951.3943675082,426825.8514209434,168570.89156116123,258254.95985978216,404959.7734047234,136361.79657996586
2053,263277.992,365611.53717241273,118994.87232999661,961701.054893,380085.1139466309,581615.9409463691,1335504.7199682402,527820.4293140437,807684.2906541964,434664.1106508272,171788.68338000527,262875.4272708219,442072.7534817837,143880.55494082527
2054,263277.992,369267.65254413686,116165.49492876143,1307280.5800100032,514244.9060296243,793035.6739803788,1833561.6559884408,721268.0704520855,1112293.5855363554,576808.1655211815,226899.00348193827,349909.16203924327,743025.9329922185,233743.66711048182
