years,norate_BAU_yearly_losses,norate_NBS_yearly_benefits,norate_GROSS_yearly_benefits,norate_NBS_yearly_investments,norate_NET_yearly_cashflow,norate_BAU_cumul_losses,norate_NBS_cumul_benefits,norate_GROSS_cumul_benefits,norate_NBS_cumul_investments,norate_NET_cumul_cashflow
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977
2021,-0.0408961338016187,0.137173633397704,0.178069767199323,0.9375463976,-0.759476630400677,-0.0408961338016187,0.137173633397704,0.178069767199323,11.9884661676,-11.8103964004007
2022,-0.0645699060527173,0.421808806846258,0.486378712898975,0.946921861576,-0.460543148677025,-0.105466039854336,0.558982440243962,0.664448480098297,12.935388029176,-12.2709395490777
2023,-0.174609607718402,0.833278174146246,1.00788778186465,0.95639108019176,0.0514967016728882,-0.280075647572738,1.39226061439021,1.67233626196295,13.8917791093678,-12.2194428474048
2024,-0.25418831519665,0.975961850555529,1.23015016575218,0.965954990993678,0.264195174758501,-0.534263962769388,2.36822246494574,2.90248642771512,14.8577341003614,-11.9552476726463
2025,-0.297331468282997,1.29082617537077,1.58815764365377,0.975614540903614,0.612543102750154,-0.831595431052385,3.65904864031651,4.49064407136889,15.8333486412651,-11.3427045698962
2026,-0.343571946730597,2.16913757900974,2.51270952574034,0.985370686312651,1.52733883942769,-1.17516737778298,5.82818621932625,7.00335359710923,16.8187193275777,-9.81536573046847
2027,-0.429419570524986,2.85795424391179,3.28737381443678,0.995224393175777,2.292149421261,-1.60458694830797,8.68614046323804,10.290727411546,17.8139437207535,-7.52321630920747
2028,-0.361255191522079,3.88918021881432,4.2504354103364,1.00517663710754,3.24525877322887,-1.96584213983005,12.5753206820524,14.5411628218824,18.819120357861,-4.27795753597861
2029,-0.986296745812967,3.54247447485672,4.52877122066969,1.01522840347861,3.51354281719107,-2.95213888564301,16.1177951569091,19.0699340425521,19.8343487613396,-0.764414718787531
2030,-0.370897532119126,2.46780579051991,2.83870332263903,1.0253806875134,1.81332263512564,-3.32303641776214,18.585600947429,21.9086373651911,20.859729448853,1.0489079163381
2031,-0.925588146946079,4.1026479153863,5.02823606233238,1.03563449438853,3.99260156794385,-4.24862456470822,22.6882488628153,26.9368734275235,21.8953639432416,5.04150948428195
2032,-1.04574873411611,3.56448382441121,4.61023255852732,1.04599083933242,3.5642417191949,-5.29437329882433,26.2527326872265,31.5471059860508,22.941354782574,8.60575120347685
2033,-0.849731861443037,2.59703197861126,3.4467638400543,1.05645074772574,2.39031309232856,-6.14410516026736,28.8497646658378,34.9938698261051,23.9978055302997,10.9960642958054
2034,-0.772862234686112,2.56852167982851,3.34138391451462,1.067015255203,2.27436865931162,-6.91696739495347,31.4182863456663,38.3352537406197,25.0648207855027,13.270432955117
2035,-1.12310511155341,2.33996846521033,3.46307357676374,1.07768540775503,2.38538816900871,-8.04007250650688,33.7582548108766,41.7983273173835,26.1425061932577,15.6558211241257
2036,-1.20129259160416,2.54053859826547,3.74183118986963,1.08846226183258,2.65336892803705,-9.24136509811104,36.2987934091421,45.5401585072531,27.2309684550903,18.3091900521628
2037,-1.0731093179646,3.47082932845775,4.54393864642235,1.0993468844509,3.44459176197145,-10.3144744160756,39.7696227375998,50.0840971536755,28.3303153395412,21.7537818141342
2038,-1.7611909770247,3.02332808179996,4.78451905882466,1.11034035329541,3.67417870552924,-12.0756653931003,42.7929508193998,54.8686162125001,29.4406556928366,25.4279605196635
2039,-1.08859718100626,2.60939514440428,3.69799232541054,1.12144375682837,2.57654856858217,-13.1642625741066,45.402345963804,58.5666085379107,30.562099449665,28.0045090882457
2040,-1.65876082177386,3.0463492353683,4.70511005714215,1.13265819439665,3.5724518627455,-14.8230233958805,48.4486951991723,63.2717185950528,31.6947576440616,31.5769609509912
2041,-1.86147667739881,2.00460800499202,3.86608468239083,1.14398477634062,2.72209990605021,-16.6845000732793,50.4533032041644,67.1378032774436,32.8387424204023,34.2990608570414
2042,-0.879743846995975,2.00838773476249,2.88813158175847,1.15542462410402,1.73270695765445,-17.5642439202752,52.4616909389268,70.0259348592021,33.9941670445063,36.0317678146958
2043,-1.78142318779941,2.42898379225578,4.21040698005519,1.16697887034506,3.04342810971013,-19.3456671080747,54.8906747311826,74.2363418392573,35.1611459148513,39.0751959244059
2044,-2.06189575388774,1.95293886996682,4.01483462385456,1.17864865904851,2.83618596480605,-21.4075628619624,56.8436136011494,78.2511764631118,36.3397945738999,41.911381889212
2045,-1.91591002474867,1.80597286775125,3.72188289249992,1.190435145639,2.53144774686092,-23.3234728867111,58.6495864689007,81.9730593556118,37.5302297195389,44.4428296360729
2046,-1.87341530846766,2.71046888339404,4.58388419186169,1.20233949709539,3.3815446947663,-25.1968881951787,61.3600553522947,86.5569435474735,38.7325692166342,47.8243743308392
2047,-2.09929276605652,2.8805235428659,4.97981630892242,1.21436289206634,3.76545341685608,-27.2961809612352,64.2405788951606,91.5367598563959,39.9469321087006,51.5898277476953
2048,-1.56420450112163,3.47098129383225,5.03518579495388,1.22650652098701,3.80867927396687,-28.8603854623569,67.7115601889929,96.5719456513498,41.1734386296876,55.3985070216622
2049,-3.97545399020974,2.27093488443823,6.24638887464796,1.23877158619688,5.00761728845109,-32.8358394525666,69.9824950734311,102.818334525998,42.4122102158845,60.4061243101133
2050,-1.39845668886595,1.52041086122158,2.91886755008752,1.25115930205884,1.66770824802868,-34.2342961414326,71.5029059346527,105.737202076085,43.6633695179433,62.0738325581419
2051,-3.22602769494321,2.43112114526407,5.65714884020728,1.26367089507943,4.39347794512785,-37.4603238363758,73.9340270799168,111.394350916293,44.9270404130228,66.4673105032698
2052,-3.4458910495665,2.18904801792716,5.63493906749365,1.27630760403023,4.35863146346343,-40.9062148859423,76.1230750978439,117.029289983786,46.203348017053,70.8259419667332
2053,-2.66538920548244,1.44792893656001,4.11331814204245,1.28907068007053,2.82424746197192,-43.5716040914247,77.571004034404,121.142608125829,47.4924186971235,73.6501894287051
2054,-2.31543998098111,1.36281465094445,3.67825463192557,1.30196138687124,2.37629324505433,-45.8870440724058,78.9338186853484,124.820862757754,48.7943800839947,76.0264826737595
2055,-3.23290934425564,1.1611530746441,4.39406241889974,1.31498100073995,3.07908141815979,-49.1199534166615,80.0949717599925,129.214925176654,50.1093610847347,79.1055640919193
2056,-3.32318330973234,1.33731533063279,4.66049864036513,1.32813081074735,3.33236782961779,-52.4431367263938,81.4322870906253,133.875423817019,51.437491895482,82.4379319215371
2057,-2.86773945879143,1.84147328907176,4.70921274786319,1.34141211885482,3.36780062900837,-55.3108761851852,83.2737603796971,138.584636564882,52.7789040143369,85.8057325505455
2058,-4.5695303862517,1.35669945563771,5.92622984188941,1.35482624004337,4.57140360184604,-59.8804065714369,84.6304598353348,144.510866406772,54.1337302543802,90.3771361523915
2059,-2.7382834695086,1.17730797293154,3.91559144244015,1.3683745024438,2.54721693999634,-62.6186900409455,85.8077678082663,148.426457849212,55.502104756824,92.9243530923879
2060,-4.07090725584264,1.20375947705336,5.274666732896,1.38205824746824,3.89260848542776,-66.6895972967882,87.0115272853197,153.701124582108,56.8841630042923,96.8169615778156
2061,-4.45457428906592,0.467219260732977,4.9217935497989,1.39587882994292,3.52591471985598,-71.1441715858541,87.4787465460526,158.622918131907,58.2800418342352,100.342876297672
2062,-2.0388013425339,0.738642817520482,2.77744416005438,1.40983761824235,1.36760654181203,-73.182972928388,88.2173893635731,161.400362291961,59.6898794524775,101.710482839484
2063,-4.06418190447642,0.993048522149626,5.05723042662605,1.42393599442478,3.63329443220127,-77.2471548328644,89.2104378857227,166.457592718587,61.1138154469023,105.343777271685
2064,-4.62633428975467,0.629802328929337,5.25613661868401,1.43817535436902,3.81796126431498,-81.8734891226191,89.8402402146521,171.713729337271,62.5519908012713,109.161738536
2065,-4.20897448358871,0.166676328521493,4.3756508121102,1.45255710791271,2.92309370419748,-86.0824636062078,90.0069165431736,176.089380149381,64.0045479091841,112.084832240197
2066,-4.03853103956891,1.06005689475279,5.0985879343217,1.46708267899184,3.63150525532986,-90.1209946457767,91.0669734379264,181.187968083703,65.4716305881759,115.716337495527
2067,-4.45943676323899,0.88953593935475,5.34897270259374,1.48175350578176,3.86721919681198,-94.5804314090157,91.9565093772811,186.536940786297,66.9533840939577,119.583556692339
2068,-3.26193857816545,1.41467269472507,4.67661127289052,1.49657104083958,3.18004023205094,-97.8423699871811,93.3711820720062,191.213552059187,68.4499551347972,122.76359692439
2069,-8.19122204722966,-0.0729411887459138,8.11828085848374,1.51153675124797,6.60674410723577,-106.033592034411,93.2982408832602,199.331832917671,69.9614918860452,129.370341031626
2070,-2.8451366152891,0.061020788754491,2.90615740404359,1.52665211876045,1.37950528528314,-108.8787286497,93.3592616720147,202.237990321715,71.4881440048057,130.749846316909
2071,-6.46329247036412,-0.135101416518838,6.32819105384529,1.54191863994806,4.78627241389723,-115.342021120064,93.2241602554959,208.56618137556,73.0300626447537,135.536118730806
2072,-6.81958248206452,0.0690800620246349,6.88866254408916,1.55733782634754,5.33132471774162,-122.161603602129,93.2932403175205,215.454843919649,74.5874004711012,140.867443448548
