years,BAU_yearly_losses,sennbs_NBS_yearly_benefits,sennbs_GROSS_yearly_benefits,NBS_yearly_investments,sennbs_NET_yearly_cashflow,BAU_cumul_losses,sennbs_NBS_cumul_benefits,sennbs_GROSS_cumul_benefits,NBS_cumul_investments,sennbs_NET_cumul_cashflow,sennbs_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.039528449450627,0.044351104753329,0.083879554203956,0.90619214923642,-0.822312595032464,-0.039528449450627,0.044351104753329,0.083879554203956,11.9571119192364,-11.8732323650325,-0.992984965368685
2022,-0.0603233159294978,0.138395211875541,0.198718527805039,0.884645341899076,-0.685926814094037,-0.0998517653801248,0.18274631662887,0.282598082008995,12.8417572611355,-12.5591591791265,-0.977993815311846
2023,-0.157670597870702,0.276186874826163,0.433857472696866,0.863610859576713,-0.429753386879847,-0.257522363250827,0.458933191455033,0.716455554705861,13.7053681207122,-12.9889125660063,-0.947724457424597
2024,-0.221853194342752,0.307648817641644,0.529502011984396,0.843076520561067,-0.313574508576671,-0.479375557593579,0.766582009096678,1.24595756669026,14.5484446412733,-13.302487074583,-0.914358022633187
2025,-0.25082943802478,0.374872444367095,0.625701882391875,0.823030432792072,-0.197328550400197,-0.730204995618359,1.14145445346377,1.87165944908213,15.3714750740653,-13.4998156249832,-0.878238136544229
2026,-0.280144984268447,0.654439670296976,0.934584654565423,0.803460986970803,0.13112366759462,-1.01034997988681,1.79589412376075,2.80624410364755,16.1749360610361,-13.3686919573886,-0.826506633902095
2027,-0.338434411279039,0.824751452763999,1.16318586404304,0.784356849836179,0.378829014206859,-1.34878439116584,2.62064557652475,3.96942996769059,16.9592929108723,-12.9898629431817,-0.765943663538834
2028,-0.275191049420039,1.11241746154967,1.38760851096971,0.765706957601528,0.621901553368182,-1.62397544058588,3.73306303807442,5.3570384786603,17.7249998684739,-12.3679613898136,-0.697769336055767
2029,-0.72619847665194,0.916399663009162,1.6425981396611,0.74750050954721,0.895097630113892,-2.35017391723782,4.64946270108358,6.9996366183214,18.4725003780211,-11.4728637596997,-0.621078009198489
2030,-0.263954580513893,0.68008823763401,0.944042818147903,0.729726961765592,0.214315856382311,-2.61412849775172,5.32955093871759,7.94367943646931,19.2022273397867,-11.2585479033173,-0.586314686525445
2031,-0.636679064698594,1.2262258878456,1.8629049525442,0.712376021054754,1.15052893148944,-3.25080756245031,6.55577682656319,9.80658438901351,19.9146033608414,-10.1080189718279,-0.507568179424731
2032,-0.695276672844025,1.17200834469965,1.86728501754367,0.695437638957376,1.1718473785863,-3.94608423529434,7.72778517126284,11.6738694065572,20.6100409997988,-8.93617159324161,-0.433583397205704
