years,BAU_yearly_losses,NBS_yearly_benefits,GROSS_yearly_benefits,senman_NBS_yearly_investments,senman_NET_yearly_cashflow,BAU_cumul_losses,NBS_cumul_benefits,GROSS_cumul_benefits,senman_NBS_cumul_investments,senman_NET_cumul_cashflow,senman_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.039528449,0.132586153,0.172114602,1.359288224,-1.187173622,-0.039528449,0.132586153,0.172114602,12.41020799,-12.23809339,-0.986131207
2022,-0.060323316,0.394067569,0.454390885,1.326968013,-0.872577128,-0.099851765,0.526653722,0.626505487,13.73717601,-13.11067052,-0.954393429
2023,-0.157670598,0.752441229,0.910111827,1.295416289,-0.385304462,-0.257522363,1.279094951,1.536617314,15.0325923,-13.49597498,-0.897780949
2024,-0.221853194,0.851810414,1.073663609,1.264614781,-0.190951172,-0.479375558,2.130905366,2.610280923,16.29720708,-13.68692615,-0.839832622
2025,-0.250829438,1.088943616,1.339773054,1.234545649,0.105227405,-0.730204996,3.219848981,3.950053977,17.53175273,-13.58169875,-0.774691439
2026,-0.280144984,1.768692173,2.048837157,1.20519148,0.843645677,-1.01034998,4.988541154,5.998891134,18.73694421,-12.73805307,-0.679836207
2027,-0.338434411,2.252412625,2.590847036,1.176535275,1.414311761,-1.348784391,7.240953779,8.58973817,19.91347948,-11.32374131,-0.568647047
2028,-0.275191049,2.962635862,3.237826912,1.148560436,2.089266475,-1.623975441,10.20358964,11.82756508,21.06203992,-9.234474836,-0.438441617
2029,-0.726198477,2.608281512,3.334479988,1.121250764,2.213229224,-2.350173917,12.81187115,15.16204507,22.18329068,-7.021245612,-0.316510553
2030,-0.263954581,1.756249599,2.02020418,1.094590443,0.925613737,-2.614128498,14.56812075,17.18224925,23.27788112,-6.095631875,-0.261863691
2031,-0.636679065,2.822065134,3.458744198,1.068564032,2.390180167,-3.250807562,17.39018589,20.64099345,24.34644516,-3.705451708,-0.152196827
2032,-0.695276673,2.369883293,3.065159966,1.043156458,2.022003508,-3.946084235,19.76006918,23.70615341,25.38960161,-1.6834482,-0.066304632
2033,-0.546059214,1.668918521,2.214977736,1.018353009,1.196624727,-4.49214345,21.4289877,25.92113115,26.40795462,-0.486823474,-0.018434728
2034,-0.480051078,1.595396367,2.075447445,0.994139319,1.081308126,-4.972194528,23.02438407,27.9965786,27.40209394,0.594484653,0.021694862
2035,-0.674269155,1.404827155,2.07909631,0.970501365,1.108594945,-5.646463682,24.42921122,30.0756749,28.37259531,1.703079598,0.060025513
2036,-0.697090579,1.474233285,2.171323864,0.947425457,1.223898407,-6.343554262,25.90344451,32.24699877,29.32002076,2.926978005,0.099828647
