years,senwat_BAU_yearly_losses,senwat_NBS_yearly_benefits,senwat_GROSS_yearly_benefits,NBS_yearly_investments,senwat_NET_yearly_cashflow,senwat_BAU_cumul_losses,senwat_NBS_cumul_benefits,senwat_GROSS_cumul_benefits,NBS_cumul_investments,senwat_NET_cumul_cashflow,senwat_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.0401486747009345,0.134861474954359,0.175010149655293,0.90619214923642,-0.731181999581127,-0.0401486747009345,0.134861474954359,0.175010149655293,11.9571119192364,-11.7821017695811,-0.985363509948106
2022,-0.0622315109155709,0.407858793861268,0.470090304776839,0.884645341899076,-0.414555037122237,-0.102380185616505,0.542720268815627,0.645100454432132,12.8417572611355,-12.1966568067034,-0.94976540660954
2023,-0.165195643582428,0.792155575550685,0.957351219133112,0.863610859576713,0.0937403595563997,-0.267575829198933,1.33487584436631,1.60245167356524,13.7053681207122,-12.102916447147,-0.883078538317877
2024,-0.23659860214312,0.912639502205039,1.14923810434816,0.843076520561067,0.306161583787091,-0.504174431342053,2.24751534657135,2.7516897779134,14.5484446412733,-11.7967548633599,-0.810860209062694
2025,-0.271700607922972,1.18841170702478,1.46011231494775,0.823030432792072,0.63708188215568,-0.775875039265024,3.43592705359613,4.21180209286115,15.3714750740653,-11.1596729812042,-0.725998834037256
2026,-0.285025918000065,1.80211766215801,2.08714358015808,0.803460986970803,1.28368259318728,-1.06090095726509,5.23804471575414,6.29894567301923,16.1749360610361,-9.87599038801692,-0.61057368948785
2027,-0.350102977639265,2.33558058691538,2.68568356455464,0.784356849836179,1.90132671471847,-1.41100393490435,7.57362530266952,8.98462923757388,16.9592929108723,-7.97466367329845,-0.470223830392482
2028,-0.289364725070679,3.12651929691165,3.41588402198233,0.765706957601528,2.6501770643808,-1.70036865997503,10.7001445995812,12.4005132595562,17.7249998684739,-5.32448660891765,-0.300394169163743
2029,-0.774721200948254,2.80198574478697,3.57670694573522,0.74750050954721,2.82920643618801,-2.47508986092329,13.5021303443681,15.9772202052914,18.4725003780211,-2.49528017272964,-0.135080802363852
2030,-0.287678254698722,1.92011421938173,2.20779247408045,0.729726961765592,1.47806551231486,-2.76276811562201,15.4222445637499,18.1850126793719,19.2022273397867,-1.01721466041478,-0.0529737848852114
2031,-0.64875133757868,2.88101729507448,3.52976863265316,0.712376021054754,2.81739261159841,-3.41151945320069,18.3032618588243,21.714781312025,19.9146033608414,1.80017795118362,0.0903948684573531
2032,-0.719825207140634,2.46173946306946,3.18156467021009,0.695437638957376,2.48612703125271,-4.13134466034133,20.7650013218938,24.8963459822351,20.6100409997988,4.28630498243633,0.207971686348328
