years,senddr_BAU_yearly_losses,senddr_NBS_yearly_benefits,senddr_GROSS_yearly_benefits,senddr_NBS_yearly_investments,senddr_NET_yearly_cashflow,senddr_BAU_cumul_losses,senddr_NBS_cumul_benefits,senddr_GROSS_cumul_benefits,senddr_NBS_cumul_investments,senddr_NET_cumul_cashflow,senddr_ROI
2015,0,0,0,0,0,0,0,0,0,0,-1
2016,0,0,0,1.60970955,-1.60970955,0,0,0,1.60970955,-1.60970955,-1
2017,0,0,0,1.95686969,-1.95686969,0,0,0,3.56657924,-3.56657924,-1
2018,0,0,0,2.56695809,-2.56695809,0,0,0,6.13353733,-6.13353733,-1
2019,0,0,0,2.53120622,-2.53120622,0,0,0,8.66474355,-8.66474355,-1
2020,0,0,0,2.38617622,-2.38617622,0,0,0,11.05091977,-11.05091977,-1
2021,-0.039528449450627,0.132586152520495,0.172114601971122,0.90619214923642,-0.734077547265298,-0.039528449450627,0.132586152520495,0.172114601971122,11.9571119192364,-11.7849973172653,-0.985605671073947
2022,-0.0603525819100379,0.394258751821319,0.454611333731357,0.885074529402481,-0.430463195671124,-0.0998810313606649,0.526844904341814,0.626725935702478,12.8421864486389,-12.2154605129364,-0.951197879098781
2023,-0.157900229030609,0.753537083458172,0.911437312488781,0.864868620795803,0.0465686916929775,-0.257781260391274,1.28038198779999,1.53816324819126,13.7070550694347,-12.1688918212434,-0.887783098528494
2024,-0.222499982849678,0.854293773663626,1.0767937565133,0.845534417124485,0.231259339388819,-0.480281243240952,2.13467576146361,2.61495700470456,14.5525894865592,-11.9376324818546,-0.82030984883345
2025,-0.252049595900744,1.09424077363597,1.34629036953672,0.827034058015004,0.519256311521714,-0.732330839141697,3.22891653509958,3.96124737424128,15.3796235445742,-11.4183761703329,-0.74243534877427
2026,-0.282191945461772,1.78161563893623,2.063807584398,0.809331709464639,1.25447587493336,-1.01452278460347,5.01053217403581,6.02505495863928,16.1889552540388,-10.1639002953996,-0.627829290766855
2027,-0.34190204546739,2.27549107892556,2.61739312439295,0.792393451723321,1.82499967266962,-1.35642483007086,7.28602325296137,8.64244808303223,16.9813487057622,-8.33890062272993,-0.491062327687809
2028,-0.278957584064634,3.00318540271027,3.2821429867749,0.776187174125618,2.50595581264928,-1.63538241413549,10.2892086556716,11.9245910698071,17.7575358798878,-5.83294481008064,-0.328477151871451
2029,-0.7390047880123,2.65427784228633,3.39328263029863,0.760682476426875,2.63260015387176,-2.37438720214779,12.943486497958,15.3178737001058,18.5182183563146,-3.20034465620889,-0.172821412655909
2030,-0.269786764488,1.79505464974428,2.06484141423228,0.745850576228342,1.31899083800394,-2.64417396663579,14.7385411477023,17.382715114338,19.264068932543,-1.88135381820495,-0.0976612897717967
2031,-0.653917704744479,2.89847500430493,3.55239270904941,0.731664222104833,2.82072848694458,-3.29809167138027,17.6370161520072,20.9351078233875,19.9957331546478,0.939374668739632,0.0469787559913142
2032,-0.717931401080505,2.44710300161282,3.16503440269333,0.718097612075061,2.44693679061827,-4.01602307246078,20.08411915362,24.1001422260808,20.7138307667229,3.3863114593579,0.163480695458711
