Year,FONAG_PROM,FONAG_CICLICO
2016,1609709.55,1609709.55
2017,1956869.69,1956869.69
2018,2566958.09,2566958.09
2019,2531206.22,2531206.22
2020,2386176.22,2386176.22
2021,928263.76,511072.13
2022,928263.76,877977.77
2023,928263.76,1155280.15
2024,928263.76,1122434.37
2025,928263.76,974554.37
2026,928263.76,511072.13
2027,928263.76,877977.77
2028,928263.76,1155280.15
2029,928263.76,1122434.37
2030,928263.76,974554.37
2031,928263.76,511072.13
2032,928263.76,877977.77
2033,928263.76,1155280.15
2034,928263.76,1122434.37
2035,928263.76,974554.37
2036,928263.76,511072.13
2037,928263.76,877977.77
2038,928263.76,1155280.15
2039,928263.76,1122434.37
2040,928263.76,974554.37
2041,928263.76,511072.13
2042,928263.76,877977.77
2043,928263.76,1155280.15
2044,928263.76,1122434.37
2045,928263.76,974554.37
2046,928263.76,511072.13
2047,928263.76,877977.77
2048,928263.76,1155280.15
2049,928263.76,1122434.37
2050,928263.76,974554.37
2051,928263.76,511072.13
2052,928263.76,877977.77
2053,928263.76,1155280.15
2054,928263.76,1122434.37
2055,928263.76,974554.37
2056,928263.76,511072.13
2057,928263.76,877977.77
2058,928263.76,1155280.15
2059,928263.76,1122434.37
2060,928263.76,974554.37
2061,928263.76,511072.13
2062,928263.76,877977.77
2063,928263.76,1155280.15
2064,928263.76,1122434.37
2065,928263.76,974554.37
2066,928263.76,511072.13
2067,928263.76,877977.77
2068,928263.76,1155280.15
2069,928263.76,1122434.37
2070,928263.76,974554.37
2071,928263.76,511072.13
2072,928263.76,877977.77
2073,928263.76,1155280.15
2074,928263.76,1122434.37
2075,928263.76,974554.37
2076,928263.76,511072.13
2077,928263.76,877977.77
2078,928263.76,1155280.15
2079,928263.76,1122434.37
2080,928263.76,974554.37
