,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2021-01-31,-937.9707867498445,-819.0021064698865,-1088.6540023910295,-454.66490505214347,-882.026476961655,-1124.1714658439587,-345.0770256980529,-628.9751759259716,-168.5533503789471,-521.2776478843396,-1294.3720276842075,-512.6226210129752,-82.11666500512996,-412.54710002091633,-268.656238673964
2021-02-28,-1690.2171558533691,-1219.0593689158131,-1754.8203103702774,-619.568155675745,-1539.7717327696014,-1768.242785701606,-492.0002483469803,-952.9106661126949,-303.73202290685083,-910.0050940668353,-1993.2743134814548,-786.2742782400404,-143.35274832084994,-651.7473076019915,-478.2152656848924
2021-03-31,-2175.3574569004277,-581.3904086100151,-56.544952140395374,-29.025572877161903,-1790.788433772632,-291.9817508196303,-42.40465902944949,-316.368783857361,-390.91173500500884,-1058.3559643596313,-296.497612096509,-331.52901951909297,-166.72240318423306,-319.3777131161478,-592.7736776799322
2021-04-30,-2151.5731688960404,-805.6755172976164,-488.29790424391524,-19.14829187921714,-1768.833191709844,-694.2428060968458,-74.21660983654179,-499.8934029486315,-386.63769845061796,-1045.3804163005152,-682.6155835345285,-452.7987482739781,-164.678370148187,-418.1781584255333,-586.0101180787677
2021-05-31,-2374.8297271973247,-763.3326745260921,-183.1676494557113,-36.69493156422202,-1956.24158382279,-460.31265874752233,-62.00421561687512,-431.9974962557349,-426.75690197735906,-1156.1387760392715,-463.3578725510225,-420.0477592626639,-182.12609145390203,-392.01341159842724,-647.2768059679285
2021-06-30,-2205.52413013853,-2605.744028618598,-3735.2520604362167,-1062.337281202323,-2072.300048679354,-3768.545617104349,-911.4890495225146,-2016.4439727432211,-396.3326861858935,-1224.7293287695018,-4132.925200444701,-1565.7200284290534,-192.9311345320481,-1260.8962624906426,-631.5129469548081
2021-07-31,-2824.2096393748157,-4783.6481531637355,-7448.179881610656,-2597.997814386882,-2961.1719401985524,-7335.850560754404,-2055.752622467432,-3837.020260609105,-507.5104721956539,-1750.052616657343,-8281.708970161857,-2956.2365065431804,-275.685107632485,-2314.562946017887,-845.2312695221246
2021-08-31,-3765.370399688994,-6943.89011208988,-11394.576165910361,-4110.194387109665,-4108.610495901762,-11060.444424806628,-3202.021683272919,-5682.5352167985275,-676.637060824113,-2428.188803077939,-12572.70027391313,-4380.677021845311,-382.51163716845394,-3417.7638687808185,-1146.0020199655103
2021-09-30,-4730.068993836287,-6477.481969668825,-12502.061013563623,-4286.421697795525,-4943.359359948553,-11640.694539934148,-3348.8995565645587,-5619.403555872443,-849.9933981923801,-2921.5253817296007,-13214.546579269676,-4416.527935370729,-460.22675641121026,-3534.3865957762887,-1413.7040129214176
2021-10-31,-4155.793820654314,-7385.953064547668,-14034.095808502643,-4886.166468242313,-4621.547720912692,-13116.899342188539,-3803.435956724527,-6373.447464312566,-746.7961495715815,-2731.3347030594014,-14915.425793938204,-4942.971999449145,-430.26609281697085,-3900.434774787908,-1275.1638425552237
2021-11-30,-5811.0956396137535,-4207.502432395066,-6460.02239212564,-3484.5455249970573,-5630.426877881079,-6387.958124480047,-2439.2644313531478,-3443.306493711917,-1044.253886438595,-3327.582284827721,-7757.203542962782,-2935.380252941281,-524.192742330729,-2361.695446681994,-1684.159257232443
2021-12-31,-6278.259218780495,1023.3897397940513,1841.2773080891154,-1018.1843825541708,-5400.563552542853,1744.5018703656892,-380.03677198298584,750.7851248939211,-1128.2031816148528,-3191.7330595528165,1239.117064133007,66.32546810798813,-502.7924667417392,-127.31217336399325,-1738.4020379724989
2022-01-31,-4921.027353646551,2191.699749769576,10593.474643016854,-1480.029337437758,-4402.53761760809,8434.391676816507,-9.580569351338717,2676.8160706499543,-884.3086154502868,-2601.8997320063854,7527.233055528078,1427.3856625578546,-409.87625219931317,1262.6914540515265,-1382.7444043666476
2022-02-28,-4553.656559715185,317.76938743062783,8486.74093270216,-1613.6632526532942,-4134.538331594808,6133.635498405253,-292.63584042256116,1358.9392116235208,-818.2920837808181,-2443.512153972541,5233.8295304000685,556.6427945052442,-384.9255186714764,618.762763541276,-1286.731025436443
2022-03-31,-5915.033490195017,5478.9564713434675,17265.165268874243,3249.2478590418373,-4042.297865638995,14572.966892787024,3067.6174349148064,5754.261509320767,-1062.9315181880472,-2388.9980385926515,15597.821076061811,3855.2972772131716,-376.33793129099166,2937.519223415104,-1513.4797724478026
2022-04-30,-5212.312826136355,9264.321315060526,17884.55945485698,7034.753836769591,-2525.43895771193,16651.524544935197,5270.15341200796,8099.74761236545,-936.6526148567028,-1492.5344240077566,19306.03597123776,5770.732606460299,-235.1183669629843,4100.223351160116,-1210.4200379282133
2022-05-31,-1915.4330757299592,5470.223872525445,11517.993669531415,5208.789207374607,-276.07946075839635,10508.804576263667,3734.4135138444535,5002.099558993599,-344.20332370867834,-163.16296130821314,12527.340566820303,3715.9957324662705,-25.702997796607814,2683.6393002713185,-367.28821753189874
2022-06-30,-2210.8678826397286,-2031.665416956693,-3729.98645276872,107.6589321437641,-1785.9373323385837,-3515.9623871318067,-266.74124378837877,-1633.4064280975495,-397.2929585103557,-1055.4889634121093,-3365.356812067726,-1211.6357662176597,-166.27076564072343,-1075.108781980991,-598.397516599577
2022-07-31,-3718.818570834848,-10307.786627595957,-19918.095276740867,-5429.2789325471795,-4398.235160965474,-18540.559816080335,-4591.50847783057,-8850.253296435658,-668.2716971790264,-2599.356980130612,-20423.299015302684,-6633.202194542969,-409.475693485884,-5240.776213551715,-1172.3097687876561
2022-08-31,-8139.787002321139,-18657.3812905397,-35134.38211944873,-11134.865759272834,-9440.825504382401,-32910.415756839495,-8945.623032264602,-15968.144015563194,-1462.719724317104,-5579.527873089996,-36920.9615957788,-12159.898682567136,-878.9408544580018,-9558.912569694092,-2543.838908590001
2022-09-30,-10965.635272948031,-23214.87587704108,-44601.888104433456,-14379.50868359801,-12564.03226816421,-41574.8826384795,-11466.996311316425,-20040.643806741915,-1970.5246585487616,-7425.343070485032,-46781.01054887904,-15342.254003694095,-1169.711404166088,-12094.68168544081,-3408.622247396553
2022-10-31,-17090.228908028814,-15381.928971811089,-32139.621260810774,-9242.947735262822,-16309.151193905638,-29374.708630042885,-7614.820275920421,-13656.240626325272,-3071.114134772777,-9638.708355598219,-32643.621131991396,-10953.698695711326,-1518.3819761526147,-9126.86640691675,-4923.35968171408
2022-11-30,-15169.758836432782,-5304.962944624128,-12156.837472937605,-5987.636292170273,-13925.612888595542,-10888.507111125033,-4182.957084591994,-5066.774681651388,-2726.00566290697,-8230.037217159985,-13243.567682678606,-4782.854475344134,-1296.4745599282467,-4186.963038341669,-4304.6150751007235
2022-12-31,-12769.17741390923,9015.085992466706,8171.878636534264,1719.4130005046104,-10042.174431038771,9681.47203444584,1805.8573042406235,6112.6392586816255,-2294.621181279491,-5934.9250887439275,10167.25017978816,3508.107984140624,-934.9264395297117,1999.4731209242561,-3423.697941699787
2023-01-31,-7864.48894925076,2414.853070407084,1465.2467150785055,-2923.0547061392767,-7174.473583966352,2082.0356102244114,-1360.357709827149,1293.8312568728159,-1413.2486641803675,-4240.113888124098,716.7099590648044,163.42743138184434,-667.9434906672639,-87.72804307129668,-2226.2986361176527
2023-02-28,-12486.949644934406,-3679.0015264351505,-8483.172256463708,-5321.981569167387,-11560.562433819732,-7588.208360901279,-3525.438569265003,-3602.2060777685865,-2243.904851194707,-6832.292398387485,-9742.436467096417,-3587.8754618405496,-1076.288362588623,-3131.5834233736155,-3554.9532172870736
2023-03-31,-16679.031312182942,3603.2837509695496,-7871.147944013157,-6088.649715496361,-15188.16722715972,-3998.9425163998967,-3600.814801847088,268.09515139918074,-2997.2219267992914,-8976.206831251317,-6599.140085104143,-1346.5184311415535,-1414.0183688485631,-1822.3605995533055,-4718.273629580147
2023-04-30,-5758.043335192837,10409.373985463464,-12016.645931938172,2693.0297514371186,-4051.8018372925308,-3977.296728215853,1066.6020122293512,3813.704834927921,-1034.7203873341643,-2394.6148858398924,-2656.8379057092384,2330.878988568609,-377.2227510519287,547.1936378314005,-1487.1970388266852
2023-05-31,-6651.802826088341,13946.589713380265,-18405.451710286034,-2549.501822140527,-6087.3643399116745,-6957.604992566696,-1991.136531400894,4332.729258585369,-1195.3289678480755,-3597.632324887802,-7889.474555001553,2113.013311153094,-566.7336200457746,245.21339087154874,-1885.2887780734713
2023-06-30,-1419.4977205661903,6519.410836893775,-18761.55097584357,-4668.201690218712,-2323.8943011115775,-10428.87116664008,-3437.354356545548,227.30268712871478,-255.08374038573436,-1373.4215319569535,-12206.249836952737,-477.1965195202114,-216.35455943348646,-1121.0988005299394,-524.1759029349779
2023-07-31,-8773.08974942777,-4846.817130073672,-32538.339099254656,-11771.017592469976,-10118.154157284582,-25089.43179951033,-8560.936851728307,-8351.760407331054,-1576.52422797216,-5979.82910695529,-29610.36579356013,-7238.111871265411,-942.0001520431825,-6254.704213237532,-2734.957121621697
2023-08-31,-9657.465719928592,-26213.115693803982,-48407.08396738532,-18147.069615067543,-12427.702943113736,-45562.990476221756,-13835.515069763964,-22460.04730335091,-1735.4465898711649,-7344.772439380239,-52334.72610759309,-17215.651402880107,-1157.01914400389,-13291.256941177986,-3163.987331314054
