,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,928263.76,897219.9497390296,937546.3976,906192.1492364199,-64168.50439681884,-62022.52503075473,-64168.50439681884,-62022.52503075473,-23041.951084356595,-22271.361960522518,-23272.370595200162,-22494.075580127745,-41126.553312462245,-40896.13380161868,-41126.553312462245,-40896.13380161868,-39751.163070232215,-39528.449450626984,-39751.163070232215,-39528.449450626984
2022,928263.76,867214.3337898991,946921.861576,884645.3418990761,-101618.23352332466,-94935.07393398228,-101618.23352332466,-94935.07393398228,-36318.329056570336,-33929.76963482446,-37048.3274706074,-34611.75800448443,-65299.90446675432,-64569.906052717255,-65299.90446675432,-64569.906052717255,-61005.30429915782,-60323.31592949785,-61005.30429915782,-60323.31592949785
2023,928263.76,838212.1919484817,956391.0801917601,863610.8595767127,-275023.3724376027,-248343.1474778102,-275023.3724376027,-248343.1474778102,-97460.61075278079,-88005.88333613945,-100413.76471920082,-90672.54960710782,-177562.76168482192,-174609.6077184019,-177562.76168482192,-174609.6077184019,-160337.26414167078,-157670.5978707024,-160337.26414167078,-157670.5978707024
2024,928263.76,810179.9651541483,965954.9909936776,843076.5205610669,-416080.8789306826,-363151.5163248082,-416080.8789306826,-363151.5163248082,-155575.57166633685,-135784.9101331603,-161892.5637340325,-141298.32198205625,-260505.30726434576,-254188.3151966501,-260505.30726434576,-254188.3151966501,-227366.60619164788,-221853.19434275193,-227366.60619164788,-221853.19434275193
2025,928263.76,783085.2166577888,975614.5409036145,823030.4327920721,-485013.0383614722,-409157.99645905156,-485013.0383614722,-409157.99645905156,-178572.57412583067,-150644.19071844962,-187681.57007847528,-158328.55843427172,-306440.4642356415,-297331.4682829969,-306440.4642356415,-297331.4682829969,-258513.80574060194,-250829.43802477984,-258513.80574060194,-250829.43802477984
2026,928263.76,756896.5944884871,985370.6863126507,803460.9869708029,-519612.510836329,-423686.6253462588,-545593.1363781455,-444870.9566135718,-190313.09912785923,-155179.31737034148,-202021.1896475482,-164725.97234512528,-329299.4117084698,-317591.3211887808,-355280.0372502863,-343571.94673059735,-268507.30797591736,-258960.65300113353,-289691.63924323034,-280144.9842684465
2027,928263.76,731583.7951754177,995224.393175777,784356.8498361792,-668864.8663495613,-527146.1824422732,-702308.1096670394,-553503.491564387,-254528.0673804478,-200598.81419140229,-272888.5391420532,-215069.0802853478,-414336.79896911344,-395976.32720750803,-447780.04228659155,-429419.57052498613,-326547.36825087096,-312077.1021569255,-352904.6773729847,-338434.4112790392
2028,928263.76,707117.5286829863,1005176.6371075349,765706.9576015281,-566289.1829100297,-431378.4775344971,-594603.6420555311,-452947.40141122194,-215493.37905988723,-164155.0087535179,-233348.45053345262,-177756.3519911831,-350795.8038501424,-332940.73237657704,-379110.2629956439,-361255.19152207853,-267223.46878097916,-253622.125543314,-288792.39265770407,-275191.0494200388
