,FONAG_CICLICO,FONAG_PROM,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_FONAG_PROM_linear_INF_0.01,FNeto-Presente_FONAG_PROM_linear_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0,0,0,0,0,0,0,0,0,0,0
2021,511072.13,928263.76,937546.3976,906192.1492,-64168.5044,-23041.95108,-41126.55331,-64810.18944,-23272.3706,-41537.81885,-62642.75028,-22494.07558,-40148.6747,-979084.2164,-946340.8239
2022,877977.77,928263.76,946921.8616,884645.3419,-101618.2335,-36318.32906,-65299.90447,-103660.76,-37048.32747,-66612.43255,-96843.26892,-34611.758,-62231.51092,-1013534.294,-946876.8528
2023,1155280.15,928263.76,956391.0802,863610.8596,-275023.3724,-97460.61075,-177562.7617,-283356.8556,-100413.7647,-182943.0909,-255868.1932,-90672.54961,-165195.6436,-1139334.171,-1028806.503
2024,1122434.37,928263.76,965954.991,843076.5206,-416080.8789,-155575.5717,-260505.3073,-432975.4311,-161892.5637,-271082.8674,-377896.9241,-141298.322,-236598.6021,-1237037.858,-1079675.123
2025,974554.37,928263.76,975614.5409,823030.4328,-485013.0384,-178572.5741,-306440.4642,-509753.5777,-187681.5701,-322072.0077,-430029.1664,-158328.5584,-271700.6079,-1297686.549,-1094731.041
2026,511072.13,928263.76,985370.6863,803460.987,-519612.5108,-190313.0991,-329299.4117,-551579.1508,-202021.1896,-349557.9611,-449751.8903,-164725.9723,-285025.918,-1334928.647,-1088486.905
2027,877977.77,928263.76,995224.3932,784356.8498,-668864.8663,-254528.0674,-414336.799,-717113.669,-272888.5391,-444225.1299,-565172.0579,-215069.0803,-350102.9776,-1439449.523,-1134459.827
2028,1155280.15,928263.76,1005176.637,765706.9576,-566289.1829,-215493.3791,-350795.8039,-613210.039,-233348.4505,-379861.5885,-467121.0771,-177756.352,-289364.7251,-1385038.226,-1055071.683
2029,1122434.37,928263.76,1015228.403,747500.5095,-1508559.319,-546492.2623,-962067.0565,-1649889.11,-597690.539,-1052198.571,-1214793.584,-440072.3826,-774721.2009,-2067426.974,-1522221.71
2030,974554.37,928263.76,1025380.688,729726.9618,-610292.5896,-244345.7185,-365946.871,-674142.6974,-269909.6869,-404233.0105,-479763.378,-192085.1233,-287678.2547,-1429613.698,-1017405.216
2031,511072.13,928263.76,1035634.494,712376.0211,-1332769.383,-487411.9619,-845357.421,-1486928.614,-543790.0976,-943138.5162,-1022805.145,-374053.8077,-648751.3376,-1978773.011,-1361127.359
2032,877977.77,928263.76,1045990.839,695437.639,-1517895.485,-557079.4231,-960816.0616,-1710402.625,-627731.0377,-1082671.588,-1137178.567,-417353.3595,-719825.2071,-2128662.427,-1415262.846
2033,1155280.15,928263.76,1056450.748,678902.0059,-1261200.449,-475129.4492,-786070.9997,-1435363.756,-540741.6334,-894622.1227,-922401.1014,-347494.2684,-574906.8331,-1951072.87,-1253808.839
2034,1122434.37,928263.76,1067015.255,662759.5457,-1157373.251,-437714.7118,-719658.5387,-1330370.707,-503141.774,-827228.9326,-826338.5934,-312518.5061,-513820.0873,-1894244.188,-1176579.633
2035,974554.37,928263.76,1077685.408,647000.9097,-1675747.873,-623967.5186,-1051780.354,-1945491.257,-724406.9183,-1221084.339,-1167998.197,-434906.079,-733092.1181,-2298769.747,-1380093.028
2036,511072.13,928263.76,1088462.262,631616.9716,-1672980.492,-627157.4652,-1045823.027,-1961701.199,-735391.4507,-1226309.748,-1138343.343,-426735.7145,-711607.6288,-2314772.01,-1343224.6
2037,877977.77,928263.76,1099346.884,616598.8221,-1522067.789,-581670.0401,-940397.7487,-1802591.627,-688874.4061,-1113717.221,-1011032.905,-386374.0857,-624658.8191,-2213064.106,-1241257.641
2038,1155280.15,928263.76,1110340.353,601937.7637,-2455171.222,-903715.161,-1551456.061,-2936746.859,-1080976.609,-1855770.251,-1592069.343,-586019.089,-1006050.254,-2966110.604,-1607988.018
