,Papallacta_BAU-superficial,Mica_BAU-superficial,Orientales_BAU-superficial,Occidentales_BAU-superficial,Bellavista_BAU-superficial,Puengasi_BAU-superficial,El Placer_BAU-superficial,El Troje_BAU-superficial,Paluguillo_BAU-superficial,Norte_BAU-superficial,Centro_BAU-superficial,Sur_BAU-superficial,Parroquias Norte_BAU-superficial,Parroquias Sur_BAU-superficial,Parroquiales Orientales_BAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2021-01-31,5510459.195335774,2573636.440662923,6840501.040085842,1697355.1426298812,4939818.247199326,5948485.381848024,1449300.705126893,2519843.2484524143,990229.5174018384,2919432.584094801,6532514.082802178,2158245.667151229,459897.0788142573,1929418.997309089,1549550.4116513664,6185798.161795662,3163317.957321241,7624331.921807383,2024713.8742674245,5574877.310611717,6757888.837255674,1697756.163629491,2972705.375119114,1111587.9296746803,3294752.4905715254,7464461.942734808,2527333.954280571,519021.07761795085,2226452.9093241487,1742982.9034966205
2021-02-28,4938754.920317677,2570678.791579179,5832010.601700487,1810631.8675246513,4499227.178248338,5234704.746250968,1443791.4934951991,2371266.9452723013,887494.2591810864,2659043.262344768,5890191.970583329,2031691.338399754,418878.0502949203,1766908.9422540308,1397336.2831399895,5547233.09642489,3009540.1643888718,6463745.9134337865,2033676.4035679195,5053545.002045395,5871272.1491035465,1620911.582900112,2714314.7850728715,996837.7874275527,2986645.0962088285,6607770.723436653,2314750.0785661684,470485.03969042626,2001537.9729907478,1569493.7787865507
2021-03-31,5762356.473745468,3100264.724809956,7761550.55597693,2319103.589409298,5300853.31479212,6827500.226002817,1860497.3179386572,2980839.619239952,1035495.4583320605,3132804.3090421422,7663436.697638358,2536045.2666443326,493509.4436071462,2207820.0758240013,1636462.3959900464,6284442.263401571,3239798.4228763594,7775121.344490625,2326069.7268998167,5730642.538897552,6897575.846199528,1870674.4361057251,3056768.1273657186,1129314.2747332626,3386809.740488454,7734596.12454152,2615612.231328915,533522.8203713621,2284470.726971877,1778728.0786332302
2021-04-30,4234563.992889637,2545826.8428111277,5783700.570056688,2081339.2003431367,3989131.8090554834,5189800.389103674,1583427.442752651,2369381.794517366,760951.1495222679,2357576.899151791,5967438.433258825,2014773.821253635,371388.1714230655,1710176.038607071,1213724.0040874847,4621847.163290924,2690848.4359246986,5871594.192820593,2084785.8928813958,4307521.783563255,5314764.094201107,1596786.4325232285,2459362.60704812,830545.9352433791,2545745.3740858836,6090309.23829504,2096277.595942951,401030.27804973914,1785448.107123667,1319205.8253416629
2021-05-31,3491813.975855752,2322942.9991601924,5725525.952143349,1905871.6772947353,3336547.390611873,5052079.875325219,1477517.6489668754,2231205.0468425816,627478.9714612786,1971899.5078516165,5755381.744572209,1866922.6982546567,310632.5620659654,1582932.0611455573,1006436.8013126764,3833789.4565721666,2432862.9042919497,5751902.093664971,1911155.7474399833,3618246.1786823547,5118364.898184862,1486446.2560157054,2293412.6863034074,688931.9653460183,2138383.4916012716,5822105.278219556,1927409.5755884803,336858.71923532727,1639381.9924157308,1099644.661372058
2021-06-30,2573619.873080732,1660217.0245307097,4098621.512667143,1467328.1217012443,2474741.9721816513,3615380.1788334,1112283.0664425767,1602885.9556535291,462479.4911926075,1462572.5055593555,4164854.5691147447,1353363.1594995353,230398.4776101117,1143794.173859726,743638.142084255,2838282.7686973554,1972906.3079649415,4546851.759919489,1594808.595445523,2723417.9780231738,4067605.6528859218,1221661.7523852785,1844859.2323827157,510039.4135349147,1609540.0250116957,4660805.593168109,1541249.5629110218,253550.21375395748,1295101.725358603,819419.695718832
2021-07-31,2168051.6482876535,1290737.3943328997,3388392.739871625,1156111.2411987784,2064879.1898689428,2953434.1311626155,886014.7778050761,1278212.8497808892,389598.8811972913,1220343.6012125453,3383293.4735258473,1085307.4741110555,192240.2525767986,927920.0869718334,624087.3685348254,2458541.7826233488,1782769.7758011697,4154491.2419801494,1423333.8735357148,2369456.875146508,3707978.7602687827,1097463.6189731548,1672877.7908721115,441799.9583374157,1400349.0132115863,4235126.396171067,1389377.5147840683,220596.43507613993,1165989.4185622446,711025.4419713868
2021-08-31,1928410.8040567057,1030317.4017131362,2877568.865372347,902798.1521546679,1805449.359056528,2479644.9970282083,707833.8026672435,1045469.9437084482,346535.42148899,1067020.571202408,2810249.1514868187,893318.5767910487,168087.33532816274,776737.482887901,551396.3978526728,2267294.140028715,1655267.5118012254,3903080.7203042796,1272715.6469945377,2175224.3036876866,3475084.995260805,996015.7541618062,1556898.1132203157,407432.7569631602,1285557.5634794226,3941792.1761390003,1287579.5087571268,202513.3826733236,1084336.2310781747,654536.5796495688
2021-09-30,2393610.6909999703,1146865.3032039825,2488092.285070677,885354.1579421116,2182531.9137994903,2255003.3083413593,677926.8904711292,1045767.772833626,430131.8411726946,1289876.3610554985,2584417.5071131545,915059.3238816928,203193.72117473255,794471.2394616314,677462.154618267,2772016.210506873,1665063.8607774884,3488257.1661557667,1228267.8937657536,2578000.6625953745,3186258.871536091,945838.8549962939,1495320.0573034214,498131.313028085,1523598.3915938665,3641581.2334547285,1268381.5587113511,240011.86168762937,1077222.1671237345,790558.4756519804
2021-10-31,1828377.1099525606,894868.0095932451,2195227.8719501304,744782.7394549975,1684164.9032046713,1938853.7736914388,574128.1317859968,858655.6519890316,328559.3666584752,995341.4577939608,2214726.656182062,746382.9293914994,156795.75248835492,649410.2427275074,519508.3435730758,2127594.265039671,1426656.6302406772,3205682.7701623207,1096586.725168444,2016916.3391103852,2883270.5263290135,847975.5206701627,1317543.8694195363,382328.68942762905,1191997.5564142377,3288637.3133456125,1102276.9133518378,187774.91117117682,930241.5465122367,611320.1402370519
2021-11-30,3450320.8649490774,1836690.8448673068,5066412.836660668,1218192.3226055973,3131638.8693392402,4375626.150350739,1049950.0797979552,1827116.229221647,620022.6594313491,1850798.5717794904,4791667.444793532,1534232.3243883878,291555.57873548317,1358945.140960276,974827.8797338776,3830683.4886328867,2112091.00407862,5489250.665963437,1446271.6660599501,3500175.901346002,4793747.045771251,1209611.0243956158,2052496.290628245,688373.8229073299,2068603.9576954867,5299411.67669655,1726366.304580908,325866.3764153127,1513528.8429249155,1085063.758389092
2021-12-31,4351833.231836374,2816187.754160462,6824197.89262482,1720898.80985004,3995711.421030377,6042113.202567995,1470471.3498738038,2646491.6458921786,782024.4317609965,2361465.449828953,6633955.104743179,2178750.4287896627,372000.7332979281,1886033.775348653,1234983.228302672,4728528.784963204,2754784.369772819,6713721.254139473,1781989.8728032901,4319745.234182948,5937443.090346053,1493273.556192783,2601444.5383985434,849716.6226578876,2552969.433402122,6559608.0808951985,2174770.9007031834,402168.2813024325,1893672.5057504927,1339287.350581022
2022-01-31,3494122.7075523147,2625552.805985727,7449854.013744359,1525930.516525752,3244024.941278792,6401499.0021052025,1399946.875740238,2628899.6829823735,627893.8505471509,1917218.740295766,6895754.557540459,2106793.94526003,302018.72203305556,1836597.3364945676,995839.020094715,3766671.9148312006,2504166.358306181,6863138.495054195,1607901.3721376893,3487857.793946317,5934363.463081519,1400477.4918889275,2480645.2544540684,676870.9430951668,2061323.9562222734,6478861.649849673,2027738.739333749,324719.56061640213,1766663.655962483,1072421.7871057908
2022-02-28,2843558.0041374844,2230739.327842177,6372872.666678905,1435877.580977194,2688248.7864651564,5469460.03762823,1266283.9536375876,2249803.482727762,510987.373343506,1588755.0328009073,5950727.260649452,1806263.3644667387,250275.96201990603,1561973.445928262,816159.211388592,3077746.0557799796,2214396.9022028875,5936411.704425651,1518865.9768279349,2900882.1863757465,5154015.926281674,1281333.7968593193,2179915.180415695,553070.9662236624,1714421.3721480665,5681558.884800306,1777636.020749326,270072.13155158196,1530151.3609461393,882333.9498396091
2022-03-31,4700488.8506432455,3156065.2955934107,8696284.732489817,2160743.0119285234,4390875.447106635,7512079.469143798,1839387.3396003721,3142781.8837796925,844677.8464605913,2595007.3892400214,8257296.8566671815,2575912.793899764,408790.5041256277,2234795.3590196753,1342848.5540667356,4984410.458172606,2893075.3849689243,7867556.799583853,2004779.1146945152,4584905.744657307,6812577.058290021,1692141.7027244614,2866577.3313322957,895698.5593336176,2709679.2950924686,7508601.445016215,2390858.5245935316,426854.7248275953,2093794.4362957503,1415495.58314423
2022-04-30,7496371.313081769,3931590.1986165526,9229183.668135818,2893000.493573828,6865185.462248838,8224762.61263823,2294026.267530412,3682658.9533999534,1347097.924960794,4057324.608189063,9276131.995990306,3154004.1432881504,639148.7665353668,2740409.261247888,2125245.6051457906,7730925.390257905,3514695.739438829,8424378.492667254,2576436.5709191966,6978830.215345874,7475444.008116147,2056869.3639900538,3318170.310843508,1389247.2926293456,4124488.657269412,8407360.377284607,2894321.175997437,649729.0930487011,2555899.210445683,2179714.50685256
2022-05-31,5515502.723602232,3287673.543092502,8027857.744517562,2703982.1038913527,5194100.2358984705,7096887.977432256,2089731.3578483479,3146698.4832788203,991135.8394313209,3069713.239415996,8096778.925309515,2666926.179249892,483570.7319621476,2279562.9253102336,1580665.2132237428,5596626.947986089,3055993.4731973065,7540036.836160937,2483374.560990781,5205793.013060003,6651809.195378736,1931567.9619678769,2934844.854897915,1005713.8625531002,3076623.6707184613,7566209.207185361,2509542.8305807323,484659.32951588626,2165902.907886978,1596220.949495682
2022-06-30,4363072.205212804,2646611.8000507485,6282815.230450017,2187774.930909056,4120944.9713848787,5586115.175634937,1676439.388967086,2506300.7600942138,784044.075276741,2435478.4780884627,6399682.604339088,2124703.8552657757,383659.9768359321,1807861.904828435,1251835.9850440712,4451506.920518393,2727878.416729016,6432014.688560766,2183468.5736233057,4192382.464678422,5726753.67112021,1687109.0387186212,2571637.0172181157,799935.7936171552,2477698.036624947,6534296.876821797,2173169.285914482,390310.80746156105,1850866.2561076747,1275771.8857080543
2022-07-31,3466142.4201805647,2033638.8937598711,5140594.201154606,1659160.5532344007,3254191.5677847937,4513412.263560632,1296867.7125376102,1972352.870223376,622865.7929064474,1923227.2165608124,5122299.828652931,1669771.411714854,302965.23496076424,1434694.7935912292,992162.0683768068,3607066.0712858853,2424249.7554371916,5895385.180062681,1864901.6496256622,3420861.531779275,5216001.898696308,1470861.718013295,2307730.88987778,648189.7730100737,2021729.1652815514,5896235.370285454,1921134.8632975349,318482.20860865037,1633292.6290521363,1036586.4385624443
2022-08-31,2900734.9133271105,1547734.0992288152,4258428.122979991,1216814.158636213,2680690.873857997,3679522.2009010552,985111.9650244679,1551062.4389502474,521262.06392488175,1584288.306450076,4115271.7408880675,1316655.7908907654,249572.32035617947,1152651.9110766873,825244.4924175234,3193767.2454106715,2219399.8256882443,5523265.879280145,1617669.325970035,3020560.5920157633,4864297.168147277,1307154.3941859936,2125915.6235105223,573919.9740002975,1785151.3098813158,5444426.358336104,1754412.1434631823,281214.1911166675,1496772.7635856746,916822.6931267634
2022-09-30,2432573.3070628075,1193806.3332156283,3646961.1613578703,923859.930960206,2224046.0473044068,3094093.1059483103,775586.1187831736,1250981.0855301765,437133.42327918654,1314411.2139569046,3416142.913691478,1063565.3969201434,207058.68700404026,947643.5083697139,689201.6224248796,2808537.9449924543,1989744.9347141795,5176168.753509874,1416871.6572549948,2654812.8679271797,4519517.653553322,1168740.2780283082,1938088.8731898994,504694.2687151441,1568994.4049449628,5020063.275367331,1589585.5341896552,247163.0780040204,1362318.3090133988,806068.6709070471
2022-10-31,5001255.332542487,2481457.993903308,6641259.035405052,1732653.8856285347,4531093.737730276,5767761.548870754,1451400.7815141657,2443217.1970717153,898725.5832578848,2677876.398998593,6372820.524623788,2081323.589755292,421844.8269826886,1844446.0941975566,1412038.6946678169,5560571.914987067,2984866.5784353074,7693101.185758859,2035150.356964409,5064847.776803551,6729115.64949034,1700613.0814533795,2890148.708478724,999234.7731231757,2993325.0360908983,7441157.216216234,2439808.274342208,471537.32802041055,2143143.540242105,1573166.8297057322
2022-11-30,5557536.264290844,3144117.708186895,7978360.962369762,1932176.0295899815,5036769.726445174,6999687.046413256,1670851.2719675684,3010595.9919212596,998689.2666930647,2976730.908329097,7657870.901354345,2511602.7500904105,468923.26153204567,2207201.6464293017,1569298.2809199824,6032415.671344392,3310186.1134099113,8358922.831087809,2119615.0787361814,5472701.956001208,7340544.660326735,1801796.0154852308,3169208.0689120856,1084025.0961405872,3234366.855996714,8072452.15055124,2661326.89018814,509508.5521037125,2338271.793716519,1704051.4484883528
2022-12-31,6992448.2308399035,4158235.2289616936,9447291.750392005,2661904.9731819667,6394591.690301355,8477106.593406847,2194556.9277137867,3819432.2387308315,1256542.9470819307,3779203.6889681006,9417972.128293112,3196836.2620463306,595336.4863670563,2763416.5023817997,1981299.7336563433,7375523.55325718,3887782.6491876924,9202135.391295977,2610322.5831668284,6695856.923232518,8186662.432373472,2140381.208586568,3636053.0609703828,1325381.5825203154,3957251.4416304184,9112954.622899467,3091593.022522112,623384.2795529476,2703432.308754072,2084010.671907337
2023-01-31,4944266.354781403,3195556.793982697,6866751.304909652,2194827.5103802998,4599218.620614777,6236633.667110167,1740153.5530208107,2885054.73754286,888484.6639542182,2718138.2047833325,7034407.579510216,2410266.0937395273,428187.2535792357,2048464.455084479,1410187.6419554108,5170763.636519825,3126009.025554973,6824552.199515391,2279011.485917111,4805843.459833008,6176671.041535704,1779331.8550638326,2847792.397344923,929186.2254826127,2840253.4847613066,7013766.332689149,2405559.38371573,447424.0261104529,2050991.0227249323,1474305.0426755992
2023-02-28,5618889.771268692,3122599.343651638,6743254.067988047,2099648.5228295987,5128690.381386356,6117755.81450654,1678651.0785744535,2821198.08784659,1009714.491896984,3031056.015399337,6876509.276221972,2396664.4090470187,477481.07450706966,2069158.2526561483,1590940.8581231371,5964682.222974568,3224479.3859221498,6978172.6843208885,2247026.4739757725,5448829.033399826,6327890.81526996,1776278.608184869,2920951.4869232588,1071853.3954685298,3220257.958739298,7146299.824541565,2496020.960297988,507285.9830095238,2155879.0243803407,1689385.71644801
2023-03-31,9753575.88733726,3988823.781878554,7026846.685535762,1911489.8179159183,8471962.089779925,6693622.29277537,1631889.1105082987,3307263.8612323073,1752717.5869545056,5006929.595059937,7351684.953747741,2931038.4853203134,788739.6705585112,2631864.2643008833,2710431.971718527,10198350.055662138,3892736.2151860325,7236743.96404278,2073853.8103291546,8876979.882504184,6800260.759879367,1727910.8385575544,3300114.657194996,1832643.5050024868,5246295.110559972,7527662.022683851,2966945.643484088,826446.8270611395,2680460.546955638,2836252.601840664
2023-04-30,10144249.416571809,4223306.900766738,6225901.083392048,2621266.848682652,8968654.908544865,6229402.656898864,1966193.0004765862,3356371.617228329,1822921.6201579538,5300475.050950015,7217933.550574016,3041789.6809139843,834981.7719855268,2656623.1979827806,2837706.0069334684,10292313.388048196,3955637.2839976773,6534900.5502133155,2552017.5122171263,9072844.098646672,6331676.0013387,1938766.0915906886,3258304.92147304,1849528.715832261,5362050.862300184,7286252.239577968,2981852.792636506,844681.785584005,2642552.5044385446,2875948.2165032974
2023-05-31,13180800.861222506,4740638.384712134,5637538.483361088,2131709.9911262104,11336668.558911197,6037987.678267319,1688690.7769325573,3504438.2962679374,2368589.914761684,6699971.118316517,6813682.789775835,3260510.7409134526,1055443.8428346324,2931527.447870302,3649488.7118284698,13345949.069318492,4394378.226310968,6094501.422375086,2195007.967400044,11487803.121833142,6210728.216013802,1738125.890815614,3396867.087089266,2398267.0477565327,6789291.645003387,7009559.399417253,3208049.720774479,1069514.4706426654,2925439.391269353,3696295.8814909835
