,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2021-01-31,-1940.6292139651955,-1694.4871168342477,-2252.3875911538544,-940.6860104527107,-1824.882366127562,-2325.8719982978455,-713.9524669614888,-1301.3279501916654,-348.73106974954567,-1078.505478381392,-2678.0110917604293,-1060.5985262337417,-169.89654828647576,-853.5457241812061,-555.8404938082014
2021-02-28,-3497.0010121104187,-2522.191797756855,-3630.6627111109187,-1281.8651496739549,-3185.734619523313,-3658.43334972746,-1017.9315483040971,-1971.5393091986791,-628.4110818762431,-1882.7691601382799,-4124.015820996113,-1626.7743687724974,-296.59189307762057,-1348.4427053834306,-989.410894520467
2021-03-31,-4500.739566000885,-1202.8767074689968,-116.98955615254215,-60.05290940102463,-3705.079518150273,-604.1001741095799,-87.73377730230929,-654.5561045324711,-808.782900010363,-2189.7019952268233,-613.4433353720875,-685.9221093498476,-344.9429031397926,-660.7814754127196,-1226.4282986481358
2021-04-30,-4451.53069426767,-1666.9148633743787,-1010.2715260218936,-39.61715561217339,-3659.654879399677,-1436.3644264072673,-153.55160655836232,-1034.2622129971685,-799.9400657598992,-2162.856033725204,-1412.3081038645414,-936.8249964289201,-340.713869272111,-865.1961898459309,-1212.4347270595192
2021-05-31,-4913.440814891016,-1579.3089817781215,-378.96755059802337,-75.92054806390762,-4047.3963803230135,-952.371018098322,-128.28458403491405,-893.7879232877274,-882.9453144359152,-2392.011260770906,-958.6714604503914,-869.0643295089596,-376.8126030080731,-811.0622308932976,-1339.193391657783
2021-06-30,-4563.153372700406,-5391.194541969513,-7728.107711247345,-2197.939202487565,-4287.517342095215,-7796.990931940032,-1885.8394128052028,-4171.95304705494,-819.9986610742625,-2533.9227491782794,-8550.879725058001,-3239.4207484739036,-399.1678645490651,-2608.7508879116745,-1306.5785109409821
2021-07-31,-5843.192357327204,-9897.203075511177,-15410.027341263425,-5375.167891834928,-6126.562634893557,-15177.621849836698,-4253.281287863652,-7938.662608156768,-1050.0216666116976,-3620.798517222089,-17134.570283093497,-6116.35139284796,-570.3829813085897,-4788.750922795629,-1748.7543507354303
2021-08-31,-7790.4215165979185,-14366.669197427336,-23574.98517084902,-8503.850456088961,-8500.57343979675,-22883.678120289576,-6624.872448150866,-11756.969414065918,-1399.9387465326474,-5023.838902919874,-26012.483325337507,-9063.46970036961,-791.4033872450772,-7071.235590581004,-2371.0386619976075
2021-09-30,-9786.349642419902,-13401.686833797567,-25866.333131510946,-8868.458685094189,-10227.640055065971,-24084.19559986375,-6928.757703237017,-11626.352184563675,-1758.6070307428554,-6044.535272544001,-27340.44119848898,-9137.6440042153,-952.1932891266418,-7312.523991261287,-2924.9048543201743
2021-10-31,-8598.19411169858,-15281.282202512415,-29036.060293453742,-10109.30993429444,-9561.822870853845,-27138.412432114215,-7869.17784149902,-13186.443029612205,-1545.0954818722373,-5651.037316674623,-30859.501642630763,-10226.838619549953,-890.2057092764913,-8069.8650512853255,-2638.2700190797727
2021-11-30,-12022.956495752594,-8705.17744633462,-13365.563569915119,-7209.40453447667,-11649.159057684992,-13216.465085131134,-5046.753995903065,-7124.082400783277,-2160.525282286748,-6884.653003091837,-16049.386640612653,-6073.200523326788,-1084.5367082704736,-4886.266441411022,-3484.4674287567786
2021-12-31,-12989.501831959644,2117.3580823325196,3809.539258115411,-2106.5883776982846,-11173.579763881766,3609.314214549702,-786.2829765165225,1553.348534263285,-2334.213479203144,-6603.585640454103,2563.6904775165663,137.22510643032027,-1040.2602760173913,-263.40449661515845,-3596.6938716672394
2022-01-31,-10181.43590409631,4534.551206419811,21917.533744172797,-3062.129663664326,-9108.698519189149,17450.465538241046,-19.82186762345941,5538.240146172318,-1829.6040319661101,-5383.240824840796,15573.585632127055,2953.21171563694,-848.0198321365098,2612.4650773479857,-2860.8504917930636
2022-02-28,-9421.358399410727,657.4539050288852,17558.77434352171,-3338.613626179229,-8554.217237782363,12690.28034152811,-605.45346294323,2811.59836887625,-1693.0181043741063,-5055.5423875293955,10828.612821517383,1151.6747472522293,-796.3976248375374,1280.1988211198811,-2662.2021215926407
2022-03-31,-12238.000324541415,11335.772009676139,35721.0315907743,6722.58177732794,-8363.374894425506,30150.9659850766,6346.794692927185,11905.368639974,-2199.1686583200976,-4942.754562605486,32271.353950472712,7976.4771252686305,-778.6302026710173,6077.625979479525,-3131.3374602368326
2022-04-30,-10784.095502351078,19167.561341504534,37002.53680315237,14554.663110557773,-5225.0461194039935,34451.43009296937,10903.765680016468,16758.098508342307,-1937.9019617724884,-3088.002256567772,39943.522699112604,11939.446771986824,-486.45179371651926,8483.220726538171,-2504.3173198514755
2022-05-31,-3962.964984268881,11317.704563845748,23830.331730064994,10776.805256637117,-571.1988843277165,21742.354295717927,7726.372787264387,10349.171501366067,-712.1448076731276,-337.57854063768235,25918.63565549028,7688.267032688835,-53.178616130912715,5552.357172975141,-759.906656962549
2022-06-30,-4574.209412358059,-4203.4456902552265,-7717.213350555971,222.74261822847745,-3695.042756562587,-7274.404938893393,-551.878435424232,-3379.46157537424,-821.9854314007358,-2183.770269128502,-6962.807197381501,-2506.8326197606752,-344.0084806359794,-2224.36299720205,-1238.0638274474004
2022-07-31,-7694.107387934168,-21326.45509157784,-41209.85229670525,-11232.9908949252,-9099.796884756155,-38359.77892982138,-9499.672712752905,-18310.868889177225,-1382.6310976117788,-5377.979958890922,-42255.101410971074,-13723.866609399247,-847.1910899707946,-10842.98526941734,-2425.468487146875
2022-08-31,-16840.93862549201,-38601.4785321511,-72691.8250747215,-23037.65329504724,-19532.742422860138,-68090.51535897827,-18508.185583995728,-33037.539342544536,-3026.3166710009045,-11543.850771910336,-76388.19640505957,-25158.41106738028,-1818.4983195682794,-19777.060489022257,-5263.114983289658
2022-09-30,-22687.521254375235,-48030.77767663671,-92279.76849193127,-29750.70762123726,-25994.549520339744,-86016.99856237139,-23724.819954447772,-41463.40097946603,-4076.9475694112307,-15362.778766520754,-96788.29768733594,-31742.594490401574,-2420.09256034363,-25023.47934918788,-7052.321891165282
2022-10-31,-35359.09429247341,-31824.680631333285,-66495.76812581539,-19123.340141923083,-33743.07143566684,-60775.25923457149,-15754.800570869838,-28254.290951017803,-6354.029244357471,-19942.155218479074,-67538.5264799822,-22662.824887678606,-3141.479950660582,-18883.171876379485,-10186.261410442923
2022-11-30,-31385.707937447132,-10975.785402670608,-25152.07753021573,-12388.213018283323,-28811.61287295629,-22527.945747155238,-8654.393968121365,-10482.982099968389,-5640.011716359248,-17027.66320791721,-27400.48486071435,-9895.560983470621,-2682.3611584722344,-8662.682148293106,-8906.100155380807
2022-12-31,-26418.987752915647,18651.90205337939,16907.33511007089,3557.4062079405735,-20776.91261594229,20030.631795405185,3736.2564915323246,12646.839845548191,-4747.492099198947,-12279.155356021918,21035.690027147917,7258.154449946119,-1934.330564544231,4136.840939843289,-7083.512982827146
2023-01-31,-16271.35644672571,4996.247731876725,3031.544927748632,-6047.699392012296,-14843.738449585553,4307.65988322292,-2814.533192745825,2676.8922555989293,-2923.962753476622,-8772.64942370503,1482.8481911685606,338.1257201003676,-1381.9520496564078,-181.5062960095793,-4606.135109208936
2023-02-28,-25835.068230898763,-7611.727296072724,-17551.39087544215,-11010.996350001486,-23918.405035489097,-15699.74143634747,-7294.010832962073,-7452.840160900522,-4642.561761092496,-14135.777375974105,-20156.76510433741,-7423.190610704584,-2226.803508804047,-6479.138117324721,-7355.075621973254
2023-03-31,-34508.34064589574,7455.069829592172,-16285.133677268603,-12597.206307923507,-31423.794263089076,-8273.674171861856,-7449.961658993975,554.6796235845119,-6201.148814067499,-18571.462409485484,-13653.393279525813,-2785.900202361835,-2925.555245893579,-3770.4012404551154,-9761.94544051065
2023-04-30,-11913.193107295525,21536.63583199337,-24862.026066078975,5571.785692628521,-8383.038284053511,-8228.889782515558,2206.7627839227957,7890.423796402595,-2140.80080138103,-4954.375625875639,-5496.906011812218,4822.508252210915,-780.4608642453697,1132.1247679270355,-3076.9593906759005
2023-05-31,-13762.350674665533,28855.013200097095,-38080.244917833166,-5274.831356152814,-12594.546910162084,-14395.044812206954,-4119.5928235880565,8964.267431555936,-2473.094416237397,-7443.377223905796,-16323.050803451488,4371.751678247781,-1172.5523173360853,507.3380500790663,-3900.597471876147
