,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,928263.76,897219.9497390296,937546.3976,906192.1492364199,-132762.42288996998,-128322.46558087182,-132762.42288996998,-128322.46558087182,-47673.002243496405,-46078.67991832245,-48149.73226593137,-46539.466717505675,-85089.42064647358,-84612.6906240386,-85089.42064647358,-84612.6906240386,-82243.78566254937,-81782.99886336614,-82243.78566254937,-81782.99886336614
2022,928263.76,867214.3337898991,946921.861576,884645.3418990761,-210244.62108274066,-196417.39434617021,-210244.62108274066,-196417.39434617021,-75141.37046186966,-70199.52338239543,-76651.71200815325,-71610.53380238159,-135103.250620871,-133592.9090745874,-135103.250620871,-133592.9090745874,-126217.87096377478,-124806.86054378863,-126217.87096377478,-124806.86054378863
2023,928263.76,838212.1919484817,956391.0801917601,863610.8595767127,-569013.8740088333,-513813.40857477987,-569013.8740088333,-513813.40857477987,-201642.6429367879,-182081.1379368403,-207752.61666041552,-187598.3784974645,-367371.2310720454,-361261.25734841777,-367371.2310720454,-361261.25734841777,-331732.27063793957,-326215.0300773154,-331732.27063793957,-326215.0300773154
2024,928263.76,810179.9651541483,965954.9909936776,843076.5205610669,-860856.9908910674,-751347.9648099479,-860856.9908910674,-751347.9648099479,-321880.49310276593,-280934.2968272282,-334950.1318635156,-292341.355824944,-538976.4977883014,-525906.8590275518,-538976.4977883014,-525906.8590275518,-470413.66798271966,-459006.6089850039,-470413.66798271966,-459006.6089850039
2025,928263.76,783085.2166577888,975614.5409036145,823030.4327920721,-1003475.2517823561,-846533.7857773479,-1003475.2517823561,-846533.7857773479,-369460.4981913738,-311677.6359692061,-388306.69671408675,-327576.3277950449,-634014.7535909823,-615168.5550682694,-634014.7535909823,-615168.5550682694,-534856.1498081418,-518957.45798230293,-534856.1498081418,-518957.45798230293
2026,928263.76,756896.5944884871,985370.6863126507,803460.9869708029,-1075060.3672475773,-876593.0179577769,-1182566.4039723352,-964252.3197535546,-393751.23957488115,-321060.65662829275,-417974.87513285835,-340812.3565761213,-681309.1276726961,-657085.492114719,-788815.164397454,-764591.5288394769,-555532.3613294841,-535780.6613816556,-643191.6631252619,-623439.9631774334
2027,928263.76,731583.7951754177,995224.393175777,784356.8498361792,-1383858.344171506,-1090647.2740184963,-1522244.1785886567,-1199712.001420346,-526609.7945802368,-415032.0293615219,-564596.9775352824,-444970.51093520224,-857248.5495912691,-819261.3666362235,-995634.3840084199,-957647.2010533743,-675615.2446569744,-645676.763083294,-784679.9720588243,-754741.4904851438
2028,928263.76,707117.5286829863,1005176.6371075349,765706.9576015281,-1171632.7922276477,-892507.1948989596,-1288796.0714504125,-981757.9143888556,-445848.37046873214,-339631.0525934853,-482789.89765541913,-367771.76274037873,-725784.4217589155,-688842.8945722287,-842947.7009816803,-806006.1737949934,-552876.1423054743,-524735.4321585809,-642126.8617953702,-613986.1516484768
