,FONAG_PROM,FONAG_CICLICO_INF_0.01,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_FONAG_PROM_linear_INF_0.01,FNeto-Presente_FONAG_PROM_linear_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0,0,0,0,0,0,0,0,0,0,0
2021,928263.76,516182.8513,937546.3976,906192.1492,-132762.4229,-47673.00224,-85089.42065,-134090.0471,-48149.73227,-85940.31485,-129605.6902,-46539.46672,-83066.22352,-1023486.712,-989258.3728
2022,928263.76,895625.1232,946921.8616,884645.3419,-210244.6211,-75141.37046,-135103.2506,-214470.538,-76651.71201,-137818.826,-200365.384,-71610.5338,-128754.8502,-1084740.688,-1013400.192
2023,928263.76,1190286.294,956391.0802,863610.8596,-569013.874,-201642.6429,-367371.2311,-586255.5634,-207752.6167,-378502.9467,-529382.4687,-187598.3785,-341784.0902,-1334894.027,-1205394.95
2024,928263.76,1168009.706,965954.991,843076.5206,-860856.9909,-321880.4931,-538976.4978,-895811.2368,-334950.1319,-560861.1049,-781855.7051,-292341.3558,-489514.3493,-1526816.096,-1332590.87
2025,928263.76,1024266.437,975614.5409,823030.4328,-1003475.252,-369460.4982,-634014.7536,-1054662.575,-388306.6967,-666355.8779,-889715.5166,-327576.3278,-562139.1888,-1641970.419,-1385169.622
2026,928263.76,542513.3644,985370.6863,803460.987,-1075060.367,-393751.2396,-681309.1277,-1141198.243,-417974.8751,-723223.3678,-930521.1524,-340812.3566,-589708.7959,-1708594.054,-1393169.783
2027,928263.76,941311.0056,995224.3932,784356.8498,-1383858.344,-526609.7946,-857248.5496,-1483683.453,-564596.9775,-919086.4756,-1169321.499,-444970.5109,-724350.9882,-1914310.869,-1508707.838
2028,928263.76,1251002.857,1005176.637,765706.9576,-1171632.792,-445848.3705,-725784.4218,-1268710.426,-482789.8977,-785920.5279,-966457.4008,-367771.7627,-598685.6381,-1791097.165,-1364392.596
2029,928263.76,1227589.94,1015228.403,747500.5095,-3121157.211,-1130673.646,-1990483.565,-3413563.676,-1236601.115,-2176962.561,-2513366.035,-910494.5847,-1602871.45,-3192190.964,-2350371.96
2030,928263.76,1076514.32,1025380.688,729726.9618,-1262674.323,-505542.8659,-757131.4573,-1394777.995,-558433.835,-836344.1596,-992613.8855,-397417.4965,-595196.389,-1861724.847,-1324923.351
2031,928263.76,570186.9983,1035634.494,712376.0211,-2757453.896,-1008438.542,-1749015.354,-3076404.029,-1125082.961,-1951321.068,-2116148.577,-773904.4298,-1342244.147,-2986955.562,-2054620.168
2032,928263.76,989327.3271,1045990.839,695437.639,-3140473.417,-1152578.117,-1987895.3,-3538764.052,-1298753.871,-2240010.181,-2352783.241,-863489.7093,-1489293.532,-3286001.02,-2184731.171
2033,928263.76,1314816.576,1056450.748,678902.0059,-2609380.239,-983026.4465,-1626353.792,-2969718.116,-1118775.793,-1850942.323,-1908416.072,-718953.6587,-1189462.413,-2907393.071,-1868364.419
2034,928263.76,1290209.364,1067015.255,662759.5457,-2394565.346,-905616.6452,-1488948.701,-2752491.117,-1040982.981,-1711508.136,-1709666.055,-646590.0127,-1063076.043,-2778523.392,-1725835.588
2035,928263.76,1131427.369,1077685.408,647000.9097,-3467064.565,-1290967.28,-2176097.285,-4025154.326,-1498772.934,-2526381.391,-2416547.994,-899805.6808,-1516742.313,-3604066.799,-2163743.223
2036,928263.76,599272.2657,1088462.262,631616.9716,-3461338.949,-1297567.169,-2163771.78,-4058692.135,-1521499.553,-2537192.582,-2355193.124,-882901.4783,-1472291.646,-3625654.844,-2103908.617
2037,928263.76,1039792.964,1099346.884,616598.8221,-3149105.77,-1203455.255,-1945650.515,-3729499.918,-1425257.392,-2304242.526,-2091792.217,-799394.6601,-1292397.557,-3403589.411,-1908996.379
