,Papallacta_tri,Mica_tri,Orientales_tri,Occidentales_tri,Bellavista_tri,Puengasi_tri,El Placer_tri,El Troje_tri,Paluguillo_tri,Norte_tri,Centro_tri,Sur_tri,Parroquias Norte_tri,Parroquias Sur_tri,Parroquiales Orientales_tri
2021-01-31,33.507689797857566,1252.7355764888127,653.2737341178093,9830.776915752409,2470.421018429743,1004.5987655621392,5313.823109290965,1434.3402584170933,6.021331856675937,1460.0188218919702,5363.776860512255,1814.0192035536231,229.99619681580901,843.4641955432359,299.5839872564261
2021-02-28,62.3519890608723,2085.9937746777964,1313.5814085857244,18836.41149667986,4731.970652755958,1832.32356648863,10173.049287809317,2592.511742765391,11.2046524342378,2796.5946557787465,10187.445800704676,3373.9733695298632,440.5464677715779,1553.2153964764689,573.518871383024
2021-03-31,77.09539966198693,421.4384885723586,-280.13758107050995,28669.232436964034,7187.514778768447,-15.223616230216187,15224.920087893774,2148.1675070164497,13.854043319250275,4247.821234252126,12782.94455513462,3938.958726425173,669.1576259033397,1477.8446347806782,868.0574810888799
2021-04-30,96.28889369998058,2446.180625949822,823.3829039875142,34809.597928435935,8729.132349160967,1642.1393230163922,18638.989191652105,3804.0104265700343,17.303114197888902,5158.917218354133,17133.157686766503,5575.2633502043645,812.6822217068813,2364.1549750376835,1054.7072723813194
2021-05-31,97.33186084141359,2135.215774794071,318.64246135488736,39859.669932881414,9984.930371024926,1150.7369373205152,21275.804613910637,3909.967396593652,17.490535393197472,5901.093849275731,18910.382157793967,6086.468835600417,929.5970175424195,2483.4626587933235,1204.2037743564379
2021-06-30,110.34863256738883,6136.997629735303,3450.407672133623,43501.242320492594,10900.533560484431,5098.101492852637,23573.879900054668,6745.006278805157,19.829649272360903,6442.21533424629,24368.489929710537,8289.99139554517,1014.8396744810993,3928.001079421106,1315.3419105395565
2021-07-31,135.50039470887708,9495.980082647153,6046.743700752191,49234.88051332776,12345.964581183798,8388.531790408926,26922.472182491416,9303.597776786952,24.34942092919009,7296.465067479621,30122.652170935366,10493.520228146519,1149.409302508209,5269.571558120179,1491.595521019652
2021-08-31,170.7800450449792,12806.554614106984,8778.140904715143,54744.46640426302,13744.02246039172,11753.397974396605,30158.90810613627,11842.075886944114,30.689174094574774,8122.717274091497,35849.04801353353,12665.642841686396,1279.5684910624711,6606.197867958667,1663.984941008279
2021-09-30,169.10696320975742,11473.032998794399,9450.850205825624,58665.206660992524,14716.954654392368,11650.585475393103,32231.465144283437,11513.525954970499,30.388521288796134,8697.720200745862,37499.17951748648,12800.697545936042,1370.148478323927,6581.407114073198,1779.3744345435664
2021-10-31,184.83815850906234,13709.739654352345,10522.43573671084,59846.20095443196,15023.32974333789,13377.272988147868,33018.036209924525,12935.209001413054,33.215417084059105,8878.787878312665,39702.9151220529,13845.713689150394,1398.6719991047567,7266.887724468405,1818.549327263466
2021-11-30,184.16713783137834,3986.955861281011,3141.8916118431307,75625.94585550878,18944.04618140181,3948.09178963247,40529.039728667856,7774.124234552889,33.0948346682822,11195.931293208469,37591.88309680298,11799.458303905029,1763.690699488517,4998.702816253227,2284.6053418158676
2021-12-31,173.3330118866068,-6634.628053981306,-2986.1582045094783,89192.8362275371,22306.535538988777,-4985.8320328867785,46910.16645218718,2180.6851336562204,31.147942236014124,13183.162503542404,34973.65256488224,9283.046519275586,2076.738458679855,2568.992864542678,2682.5135310565133
2022-01-31,194.5461508414779,-2703.6725370080194,-7628.831595604848,90397.9445307782,22623.39760497334,-6561.811567087764,47406.05701784794,3617.7221193802648,34.9599433062203,13370.427984539194,33982.46846946487,10299.267884845964,2106.23831702301,2955.717784931731,2723.8925521419587
2022-02-28,220.5628984588724,3146.478536020252,-3823.258351639282,93046.66805722206,23302.93653266614,-1337.1335800684487,49294.74740162851,7459.854352793955,39.635152853056205,13772.03549080568,40237.64005063556,13081.227137522117,2169.503391191221,4844.71711099943,2809.232631761302
