,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_tri,Incomes_tri_DIS_0.0346,Incomes_tri_GRW_stepexp,Incomes_tri_GRW_stepexp_DIS_0.0346,Costs_tri,Costs_tri_DIS_0.0346,Costs_tri_INF_0.01,Costs_tri_INF_0.01_DIS_0.0346,Utility_I_tri_C_tri,Utility_I_tri_C_tri_INF_0.01,Utility_I_tri_GRW_stepexp_C_tri,Utility_I_tri_GRW_stepexp_C_tri_INF_0.01,Utility_I_tri_C_tri_DIS_0.0346,Utility_I_tri_C_tri_INF_0.01_DIS_0.0346,Utility_I_tri_GRW_stepexp_C_tri_DIS_0.0346,Utility_I_tri_GRW_stepexp_C_tri_INF_0.01_DIS_0.0346
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,928263.76,897219.9497390296,937546.3976,906192.1492364199,250400.16904091922,242026.06711861514,250400.16904091922,242026.06711861514,101950.57491362863,98541.0544303389,102970.08066276491,99526.4649746423,148449.5941272906,147430.08837815432,148449.5941272906,147430.08837815432,143485.01268827624,142499.60214397285,143485.01268827624,142499.60214397285
2022,928263.76,867214.3337898991,946921.861576,884645.3418990761,765776.3002304698,715413.2399141173,765776.3002304698,715413.2399141173,317417.59788127197,296541.8909381934,323797.6915986855,302502.3829460511,448358.7023491978,441978.6086317843,448358.7023491978,441978.6086317843,418871.34897592384,412910.8569680662,418871.34897592384,412910.8569680662
2023,928263.76,838212.1919484817,956391.0801917601,863610.8595767127,1478534.3322862256,1335100.6006490246,1478534.3322862256,1335100.6006490246,608318.7816564346,549305.317462431,626751.4490594063,565949.8178868602,870215.550629791,851782.8832268193,870215.550629791,851782.8832268193,785795.2831865936,769150.7827621644,785795.2831865936,769150.7827621644
2024,928263.76,810179.9651541483,965954.9909936776,843076.5205610669,1762721.499762475,1538486.909425431,1762721.499762475,1538486.909425431,726320.7576184376,633925.9932953112,755812.2929239842,659665.9306663339,1036400.7421440374,1006909.2068384908,1036400.7421440374,1006909.2068384908,904560.9161301197,878820.978759097,904560.9161301197,878820.978759097
2025,928263.76,783085.2166577888,975614.5409036145,823030.4327920721,2428224.2762238933,2048454.9924048418,2428224.2762238933,2048454.9924048418,1009694.8784718468,851780.6756415719,1061199.4648084093,895230.0505802605,1418529.3977520466,1367024.811415484,1418529.3977520466,1367024.811415484,1196674.31676327,1153224.9418245815,1196674.31676327,1153224.9418245815
2026,928263.76,756896.5944884871,985370.6863126507,803460.9869708029,3613309.2126123137,2946254.669965934,3974640.1338735456,3240880.136962528,1495056.2354512804,1219053.2712187879,1587032.3202132075,1294049.6120548095,2118252.977161033,2026276.8923991062,2479583.8984222654,2387607.813660338,1727201.3987471461,1652205.0579111245,2021826.86574374,1946830.5249077184
2027,928263.76,731583.7951754177,995224.393175777,784356.8498361792,4869272.534178223,3837574.010535032,5356199.787596046,4221331.411588536,2040043.927184334,1607800.6520195063,2187203.2141855434,1723779.9181708137,2829228.6069938894,2682069.31999268,3316155.860411712,3168996.5734105026,2229773.3585155257,2113794.092364218,2613530.7595690293,2497551.493417722
2028,928263.76,707117.5286829863,1005176.6371075349,765706.9576015281,6596956.6044068085,5025321.306238485,7256652.26484749,5527853.436862334,2774321.624012025,2113377.1833806722,3004192.774130407,2288484.654545146,3822634.9803947834,3592763.8302764017,4482330.640835465,4252459.490717083,2911944.1228578123,2736836.6516933385,3414476.2534816614,3239368.7823171876
