,FONAG_CICLICO,FONAG_PROM,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_tri,Costs_tri,Utility_tri,Incomes_tri_INF_0.01,Costs_tri_INF_0.01,Utility_tri_INF_0.01,Incomes_tri_INF_0.01_DIS_0.0346,Costs_tri_INF_0.01_DIS_0.0346,Utility_tri_INF_0.01_DIS_0.0346,FNeto_FONAG_PROM_tri_INF_0.01,FNeto-Presente_FONAG_PROM_tri_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0,0,0,0,0,0,0,0,0,0,0
2021,511072.13,928263.76,937546.3976,906192.1492,250400.169,101950.5749,148449.5941,252904.1707,102970.0807,149934.0901,244446.3278,99526.46497,144919.8628,-787612.3075,-761272.2864
2022,877977.77,928263.76,946921.8616,884645.3419,765776.3002,317417.5979,448358.7023,781168.4039,323797.6916,457370.7123,729793.046,302502.3829,427290.6631,-489551.1493,-457354.6788
2023,1155280.15,928263.76,956391.0802,863610.8596,1478534.332,608318.7817,870215.5506,1523335.401,626751.4491,896583.952,1375555.484,565949.8179,809605.6661,-59807.12816,-54005.19351
2024,1122434.37,928263.76,965954.991,843076.5206,1762721.5,726320.7576,1036400.742,1834295.061,755812.2929,1078482.768,1600955.647,659665.9307,941289.7166,112527.7772,98213.19605
2025,974554.37,928263.76,975614.5409,823030.4328,2428224.276,1009694.878,1418529.398,2552088.118,1061199.465,1490888.653,2152946.784,895230.0506,1257716.734,515274.1125,434686.3008
2026,511072.13,928263.76,985370.6863,803460.987,3613309.213,1495056.235,2118252.977,3835600.54,1587032.32,2248568.219,3127508.701,1294049.612,1833459.089,1263197.533,1029998.102
2027,877977.77,928263.76,995224.3932,784356.8498,4869272.534,2040043.927,2829228.607,5220519.223,2187203.214,3033316.009,4114398.763,1723779.918,2390618.845,2038091.616,1606261.995
2028,1155280.15,928263.76,1005176.637,765706.9576,6596956.604,2774321.624,3822634.98,7143558.696,3004192.774,4139365.922,5441702.874,2288484.655,3153218.22,3134189.285,2387511.262
2029,1122434.37,928263.76,1015228.403,747500.5095,6236180.27,2593942.045,3642238.224,6820418.519,2836956.213,3983462.306,5021792.437,2088816.869,2932975.568,2968233.902,2185475.058
2030,974554.37,928263.76,1025380.688,729726.9618,4378010.257,1840751.515,2537258.742,4836046.995,2033334.851,2802712.144,3441642.625,1447052.086,1994590.538,1777331.457,1264863.577
2031,511072.13,928263.76,1035634.494,712376.0211,6762800.97,2830043.404,3932757.566,7545042.977,3157389.846,4387653.131,5189965.885,2171855.831,3018110.054,3352018.637,2305734.033
2032,877977.77,928263.76,1045990.839,695437.639,5849981.999,2437898.704,3412083.295,6591906.142,2747085.281,3844820.862,4382695.786,1826427.565,2556268.221,2798830.022,1860830.582
2033,1155280.15,928263.76,1056450.748,678902.0059,4380056.429,1826191.078,2553865.35,4984912.79,2078375.795,2906536.994,3203431.205,1335616.923,1867814.283,1850086.247,1188912.277
2034,1122434.37,928263.76,1067015.255,662759.5457,4424658.616,1854333.806,2570324.81,5086030.981,2131508.893,2954522.088,3159107.207,1323952.829,1835154.378,1887506.833,1172394.832
2035,974554.37,928263.76,1077685.408,647000.9097,4080301.618,1691664.221,2388637.397,4737103.507,1963969.644,2773133.863,2843974.927,1179091.91,1664883.016,1695448.456,1017882.107
2036,511072.13,928263.76,1088462.262,631616.9716,4046272.465,1683158.459,2363114.007,4744572.685,1973635.665,2770937.02,2753198.467,1145268.72,1607929.747,1682474.758,976312.7751
2037,877977.77,928263.76,1099346.884,616598.8221,5576091.451,2340353.437,3235738.013,6603789.815,2771690.947,3832098.868,3703916.46,1554578.811,2149337.649,2732751.984,1532738.827
2038,1155280.15,928263.76,1110340.353,601937.7637,5025072.478,2086010.742,2939061.736,6010727.759,2495176.483,3515551.276,3258536.011,1352685.19,1905850.82,2405210.923,1303913.057
2039,1122434.37,928263.76,1121443.757,587625.3057,4376545.46,1833171.676,2543373.784,5287343.742,2214671.109,3072672.633,2770515.208,1160465.498,1610049.71,1951228.876,1022424.404
