,Papallacta_tri,Mica_tri,Orientales_tri,Occidentales_tri,Bellavista_tri,Puengasi_tri,El Placer_tri,El Troje_tri,Paluguillo_tri,Norte_tri,Centro_tri,Sur_tri,Parroquias Norte_tri,Parroquias Sur_tri,Parroquiales Orientales_tri
2021-01-31,12.759894257388487,477.0479130282476,248.7698739829429,3743.608546865469,940.7485611977041,382.556186266697,2023.5301623615749,546.2038754962925,2.292952998053066,555.9823996678401,2042.5527982755646,690.7874985668597,87.58369104750622,321.19534381367805,114.08306635461429
2021-02-28,23.74394629872227,794.3567624934025,500.2183072942542,7172.998805237222,1801.9578646717737,697.7578906442772,3873.947561611598,987.2413138084925,4.266787149880029,1064.9570980210087,3879.429825036146,1284.8257722977498,167.76227720094144,591.4721169244758,218.39882718300916
2021-03-31,29.358310088001218,160.48586406935019,-106.67777855007036,10917.385726769588,2737.0412315434023,-5.797228471568394,5797.724987030756,818.0328277492982,5.275688322810477,1617.5913678421407,4867.808607682843,1499.9749948925582,254.81853865668975,562.7705575171004,330.560588773784
2021-04-30,36.66728769380065,931.5176996651027,313.54828851536917,13255.66732259325,3324.0968388445795,625.3347886409172,7097.819413539346,1448.586013833171,6.589111598576888,1964.541231757147,6524.391317251641,2123.0879011614143,309.4734156964285,900.2819254787464,401.63775387895447
2021-05-31,37.06445474765905,813.100743961829,121.34062769861036,15178.759757722644,3802.3109462416905,438.2063259765429,8101.931787959779,1488.9349528824125,6.660482518152598,2247.165769228839,7201.1671994076105,2317.7574822874653,353.99514909510094,945.7148824507084,458.56676237102744
2021-06-30,42.021305900275,2336.9990973914623,1313.9323333511938,16565.48856167365,4150.977176283545,1941.3823022318093,8977.050240578094,2568.5318027648123,7.551228670279849,2453.2275111835716,9279.641676019803,3156.869788396458,386.4559751119976,1495.8022686340437,500.88871515902616
2021-07-31,51.599221514525944,3616.116254382662,2302.629954156407,18748.886387428218,4701.404468995687,3194.3944588863715,10252.210769184037,3542.8561193337305,9.27238010616217,2778.53004117645,11470.855161068266,3995.984483164154,437.7007560634975,2006.6789524730093,568.0069631127468
2021-08-31,65.03388712239146,4876.799435093372,3342.7595395664475,20846.9639867627,5233.791834762173,4475.752169816664,11484.661600788735,4509.521158186149,11.686589515890704,3093.17097434444,13651.495063977167,4823.1395341406405,487.26601981635895,2515.6728723186257,633.6537081858153
2021-09-30,64.39676927182714,4368.987798302511,3598.9305737354543,22340.001298148858,5604.28923371598,4436.60066090821,12273.901587451588,4384.407716598673,11.572099438148372,3312.134937126133,14279.873314708475,4874.569034520537,521.7593276589567,2506.232430436543,677.5945989128752
2021-10-31,70.38728636722809,5220.736772400429,4006.9956520601654,22789.729775217125,5720.958385233934,5094.131819016062,12573.431745574975,4925.791663076798,12.6485953601835,3381.086405673245,15119.06674926473,5272.516358407117,532.6212256652789,2767.266842444625,692.5125921158091
2021-11-30,70.13175836922457,1518.2525416023664,1196.4478893396442,28798.73479946619,7213.98662635425,1503.4529106030768,15433.659091721815,2960.4250181114717,12.602676978943377,4263.466096175361,14315.175296924972,4493.292171456094,671.6221549135838,1903.5307938054082,869.9890310939682
2021-12-31,66.00606954195864,-2526.4992279866897,-1137.1438363921543,33965.07385754509,8494.439230017399,-1898.6295357432625,17863.623757334437,830.4157010517496,11.861290696686494,5020.213584940297,13318.140140806552,3535.0300986715083,790.8322923146197,978.2852084791004,1021.5144406190439
2022-01-31,74.08413793653803,-1029.5718948977906,-2905.0968614841995,34423.98506899604,8615.101874339693,-2498.770349076765,18052.46134116191,1377.6465036649306,13.312919587198444,5091.5252077347395,12940.692327381359,3922.012228594593,802.0659845010224,1125.551973828492,1037.2717768218604
2022-02-28,83.99144430477185,1198.1946127878978,-1455.9157190452993,35432.63210847775,8873.873664142213,-509.1870908619789,18771.683995047388,2840.7494903828374,15.093262541566293,5244.459335508045,15322.692650861218,4981.396092616782,826.1576381316414,1844.8922744672752,1069.7697018781428
2022-03-31,52.24361216439151,-5399.921146085139,-5181.272557703136,42280.59495450678,10549.562383808478,-6001.434878845151,21901.904426129855,-729.9270028443951,9.388177105932668,6234.7913688308,13046.868749401898,3215.1186384080156,982.1642579325726,265.398270876574,1263.4654591286833
2022-04-30,18.32621630706895,-7946.708454491739,-5200.606698039057,54367.31764049523,13525.304098413346,-7119.126747186718,28217.779954469337,-1241.637711618703,3.2932210703895084,7993.454722162314,17356.816215794785,3943.3461310295693,1259.2058115622726,286.9787221351072,1611.3586802154
