,Papallacta_SEMBASE-superficial,Mica_SEMBASE-superficial,Orientales_SEMBASE-superficial,Occidentales_SEMBASE-superficial,Bellavista_SEMBASE-superficial,Puengasi_SEMBASE-superficial,El Placer_SEMBASE-superficial,El Troje_SEMBASE-superficial,Paluguillo_SEMBASE-superficial,Norte_SEMBASE-superficial,Centro_SEMBASE-superficial,Sur_SEMBASE-superficial,Parroquias Norte_SEMBASE-superficial,Parroquias Sur_SEMBASE-superficial,Parroquiales Orientales_SEMBASE-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2021-01-31,6190055.609440566,3322489.065863349,7707336.113907058,3273800.823563025,5888766.098835732,6885531.974527099,2372924.276339402,3154950.960894462,1112352.9930164698,3480260.764411917,8145977.120305777,2757821.100143855,548244.1238016066,2333622.477699054,1781047.6924656723,6185798.161795662,3163317.957321241,7624331.921807383,2024713.8742674245,5574877.310611717,6757888.837255674,1697756.163629491,2972705.375119114,1111587.9296746803,3294752.4905715254,7464461.942734808,2527333.954280571,519021.07761795085,2226452.9093241487,1742982.9034966205
2021-02-28,5551194.281612286,3142062.1218389906,6547196.967626291,3230342.545709934,5354164.314102832,5987678.587445177,2267199.420007998,2879015.5310838493,997549.6124057279,3164311.1096347724,7254973.162540244,2529096.6220421833,498472.69764297357,2100212.8334727823,1605929.0953214723,5547233.09642489,3009540.1643888718,6463745.9134337865,2033676.4035679195,5053545.002045395,5871272.1491035465,1620911.582900112,2714314.7850728715,996837.7874275527,2986645.0962088285,6607770.723436653,2314750.0785661684,470485.03969042626,2001537.9729907478,1569493.7787865507
2021-03-31,6287707.480328431,3257647.582392365,7763256.693998227,3540296.041877117,6035054.929527745,6896931.081276837,2515494.5810047556,3147749.3394275918,1129901.034215019,3566717.4633508967,8275991.423347222,2782438.7185657457,561863.613939033,2347061.7938567055,1815492.8660675827,6284442.263401571,3239798.4228763594,7775121.344490625,2326069.7268998167,5730642.538897552,6897575.846199528,1870674.4361057251,3056768.1273657186,1129314.2747332626,3386809.740488454,7734596.12454152,2615612.231328915,533522.8203713621,2284470.726971877,1778728.0786332302
2021-04-30,4624905.751679041,2768550.6440431047,5897748.708594314,3190502.5329611255,4584800.105242486,5366926.166814568,2188848.442140413,2580195.879421521,831095.5635767238,2709616.862198309,6634538.953051153,2273374.1964788544,426844.88979807537,1860544.7945660404,1352708.2916408342,4621847.163290924,2690848.4359246986,5871594.192820593,2084785.8928813958,4307521.783563255,5314764.094201107,1596786.4325232285,2459362.60704812,830545.9352433791,2545745.3740858836,6090309.23829504,2096277.595942951,401030.27804973914,1785448.107123667,1319205.8253416629
2021-05-31,3836262.8309182543,2487122.505157305,5759999.360918225,2924060.3010284994,3871980.879875459,5147607.154474419,2027101.9967927288,2392771.8577933167,689376.4307160102,2288340.700006396,6302651.460111733,2082077.489528444,360481.4199164052,1702491.1611568318,1130245.6043439393,3833789.4565721666,2432862.9042919497,5751902.093664971,1911155.7474399833,3618246.1786823547,5118364.898184862,1486446.2560157054,2293412.6863034074,688931.9653460183,2138383.4916012716,5822105.278219556,1927409.5755884803,336858.71923532727,1639381.9924157308,1099644.661372058
2021-06-30,2840619.5632693707,2102866.257771101,4619919.216505848,2516011.373997131,2954252.806362844,4175565.449205154,1720873.3267393773,1987694.6594632955,510459.3355195059,1745963.4085604406,5176844.203444332,1716802.3218755077,275040.93627238076,1378282.9246875206,847273.9950008461,2838282.7686973554,1972906.3079649415,4546851.759919489,1594808.595445523,2723417.9780231738,4067605.6528859218,1221661.7523852785,1844859.2323827157,510039.4135349147,1609540.0250116957,4660805.593168109,1541249.5629110218,253550.21375395748,1295101.725358603,819419.695718832
2021-07-31,2461001.2855861317,1955133.7840240088,4264247.262094643,2317009.01562637,2593551.6944352225,3860241.1860442725,1586140.4249746797,1841749.817744883,442241.9310198279,1532789.0514112164,4781890.502803171,1579848.1340512657,241459.66275191918,1261638.784659216,738099.7808403149,2458541.7826233488,1782769.7758011697,4154491.2419801494,1423333.8735357148,2369456.875146508,3707978.7602687827,1097463.6189731548,1672877.7908721115,441799.9583374157,1400349.0132115863,4235126.396171067,1389377.5147840683,220596.43507613993,1165989.4185622446,711025.4419713868
2021-08-31,2270006.5289794295,1858665.7321429246,4042498.2523203436,2142186.584003421,2393511.7192350845,3661756.6101482804,1475010.1770239705,1744978.1420129575,407920.1732576034,1414565.4260679346,4511159.409295121,1488739.7185956754,222835.94106078637,1189258.1972163417,680964.575771465,2267294.140028715,1655267.5118012254,3903080.7203042796,1272715.6469945377,2175224.3036876866,3475084.995260805,996015.7541618062,1556898.1132203157,407432.7569631602,1285557.5634794226,3941792.1761390003,1287579.5087571268,202513.3826733236,1084336.2310781747,654536.5796495688
2021-09-30,2774403.602928658,1827036.0913487035,3621680.9337674226,2056482.5760385892,2785769.434186796,3350737.7253063465,1400871.30409206,1657863.953138299,498560.32744627976,1646389.7356043963,4170981.414878067,1449097.2887716247,259355.1343227907,1170136.1499106502,815679.0559043601,2772016.210506873,1665063.8607774884,3488257.1661557667,1228267.8937657536,2578000.6625953745,3186258.871536091,945838.8549962939,1495320.0573034214,498131.313028085,1523598.3915938665,3641581.2334547285,1268381.5587113511,240011.86168762937,1077222.1671237345,790558.4756519804
2021-10-31,2129942.7969360217,1600850.9693783305,3339379.6006993526,1856985.5137659325,2207800.9993786784,3053240.583119598,1267498.8042786156,1481897.1132021963,382750.720609403,1304810.3906327987,3793097.881955226,1278198.9225786899,205546.2730421549,1022573.7670113647,634426.4140422818,2127594.265039671,1426656.6302406772,3205682.7701623207,1096586.725168444,2016916.3391103852,2883270.5263290135,847975.5206701627,1317543.8694195363,382328.68942762905,1191997.5564142377,3288637.3133456125,1102276.9133518378,187774.91117117682,930241.5465122367,611320.1402370519
