,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2021-01-31,-525.8854816519681,260.79014037309423,-782.648277195913,-36.51562966249541,-440.24764037757933,-439.8884819871772,-59.80790430252576,14.478321500786762,-94.50162105285887,-260.1863554631496,-443.26491337361904,-28.65845790845342,-40.98705531915257,-80.42444964377921,-144.17266961795815
2021-02-28,-865.4962988219742,496.7013963208107,-657.9995296644539,-9.977450085337559,-712.09981175034,-249.55661240286298,-28.151267176048393,159.47721556112455,-155.529684898309,-420.8509887444502,-246.61501758218898,50.7577058762299,-66.29649247395703,-40.052720806937174,-235.79686243280304
2021-03-31,-1529.5151867648083,-75.63397837721082,-576.9348649713405,131.59035529851099,-1221.3492983367837,-440.39181172877625,29.353948942978363,-119.28759019483307,-274.85387906163817,-721.8174353170441,-368.77405051191647,-155.93743259214486,-113.707619675155,-206.5376433622247,-412.29394585643604
2021-04-30,-461.10015543498514,886.6354229212274,879.5387314195641,236.80572898023917,-319.2097937895554,1005.7505695842673,218.4916206628136,617.4706542258228,-82.85969793166733,-188.65298812962396,1082.1797660336933,406.46867900091456,-29.718431801807796,275.31558329239874,-118.46881296177938
2021-05-31,-757.9910703632308,728.4227143527436,409.83923333912395,300.6975862155442,-546.7535284162441,605.322665026004,215.54978905166598,466.57290969723385,-136.2109953442721,-323.13133529400193,721.9648666321624,293.2301427345406,-50.90275349555304,162.63967763026693,-197.36521870471998
2021-06-30,-30.565231697595056,2109.867243460888,-483.32027150105375,101.13386398393777,0.07133173115629082,573.161678224802,106.90205397708148,1042.126431392017,-5.492572136057909,0.04215705311119867,601.913819693774,687.0891607642484,0.006640984170856731,415.6273987626249,-5.32865100177102
2021-07-31,-324.93018856956303,2827.1454899989626,-2540.19230173371,-244.78405532083676,-327.23909935540286,-569.078291260316,-181.74877724462843,1079.7769157247915,-58.389954885949315,-193.3983077190409,-661.1743926860773,650.0233523681769,-30.4659601499888,289.8665922453944,-95.64624807603363
2021-08-31,-850.9880251230413,3524.4278387071176,-4741.368320852249,-594.6866521200399,-845.5047148502174,-1821.9372506025766,-482.6974654641934,1084.4891473407417,-152.92254811461123,-499.6932864764809,-2033.4259594109892,577.0657492384366,-78.7164889525551,122.98284134714503,-249.12535059865849
2021-09-30,-2484.0575485517156,2578.821115761323,-5487.674136942492,-498.9396590579447,-2160.6652893334394,-2759.122824067343,-518.2749450849078,479.30900806934517,-446.38514147474126,-1276.9531859960698,-2900.6104223656353,92.35877810870298,-201.15793843694337,-308.0991405898356,-690.6555448727522
2021-10-31,-1073.170832418536,3799.6749939626866,-6310.823925689478,-763.7625267549787,-1069.6877533985794,-2811.437993616797,-663.4708658714841,976.6871536441776,-192.84879858561425,-632.1854622585589,-3069.385966262231,467.75544109402114,-99.58792984140706,-28.783954437991877,-314.5770514647286
2021-11-30,-5153.363749631705,-145.8064063727261,-6357.762711508867,-445.9045799397822,-4336.050226438074,-4554.9664328436265,-655.9213355496416,-1083.2152293292584,-926.0594658088212,-2562.6056838248996,-4620.708893631936,-1082.467852484783,-403.6862760813845,-1239.2477112527245,-1415.4083548499186
2021-12-31,-6681.863121458531,-3028.955712448891,-1580.225119166371,71.93583676913597,-5460.583517846729,-2429.4813480376265,-185.9706339069254,-1830.247477411634,-1200.7308029260953,-3227.204859047414,-2326.806954135575,-1577.2329607410356,-508.38032551152963,-1417.2976008147273,-1816.0135014752625
2022-01-31,-2074.7350944853265,-199.29534297753514,4311.043001108337,194.25540016940505,-1652.8028370264117,2959.3573491022785,375.3950948486131,570.300955324177,-372.8298964790132,-976.8064766826226,2959.4094329081854,306.75049879359403,-153.87594412716112,303.654022700576,-558.7970677311002
2022-02-28,-361.399826965948,1837.846109110329,8082.541377340048,297.8653676623867,-222.29217426525688,6507.021771390053,757.2591152679182,2227.472936350308,-64.94354890578155,-131.3746749907816,6449.849536942561,1525.2017305182158,-20.695401424095003,1353.7800501861461,-89.53618599188663
2022-03-31,-7389.112493856714,-5110.28685681423,6071.845255490664,800.9946097495462,-5859.28617319034,2074.4493205752033,615.1556758866258,-1699.9322529053122,-1327.8235151460565,-3462.838128355507,2370.351368584593,-1411.566697534494,-545.4995427240211,-996.3726392206737,-1986.9152356597579
2022-04-30,-9603.726596547021,-7522.563237068823,7898.319300167884,1250.065162687697,-7563.454243580935,2319.131422299271,875.6455766078913,-2657.0922607983566,-1725.7896693994965,-4470.00145795635,2807.8921198210783,-2109.7083480703955,-704.1575900773906,-1480.3400053339287,-2576.2445313172675
2022-05-31,1129.1839524362224,393.04460018472486,9093.085126726999,1105.1091686847935,1200.4375510206019,6594.649476212714,1193.7351011931596,1678.3724176183478,202.91435625278746,709.4585926531801,6894.994194601323,1326.6017477669843,111.76073600001877,1315.6237556271449,339.9039047871713
2022-06-30,3931.530372791551,5286.098579954938,5015.932485838747,366.5512879443588,3314.5497477059835,5835.280035655527,732.6835536629544,3574.558343398315,706.4960079906422,1958.8989008942272,5829.059710708354,2631.4297725752,308.58458151142406,2120.5473431136634,1080.6021359667473
2022-07-31,3423.1061689380904,8391.16932618692,-4421.443305647064,-795.8864451142244,2608.8269663014257,513.822207462353,-373.60321588713396,3678.707885512899,615.1321785581728,1541.816737084147,145.03525719378118,2500.716824247596,242.88179056266696,1593.246101297504,907.9134641982225
2022-08-31,-73.37309694347076,10583.610052633127,-13844.969531681183,-1733.5972463792748,-490.9575179092224,-5193.476016316305,-1396.2337540007106,3320.5612117351916,-13.185145520737732,-290.1558930843474,-5813.385943214539,1920.4248935453556,-45.70814491734685,625.6986424530623,-71.18685478190956
