,FONAG_CICLICO,FONAG_PROM,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_FONAG_PROM_linear_INF_0.01,FNeto-Presente_FONAG_PROM_linear_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0,0,0,0,0,0,0,0,0,0,0
2021,511072.13,928263.76,937546.3976,906192.1492,-14995.31003,-4691.935696,-10303.37434,-15145.26313,-4738.855053,-10406.40808,-14638.76197,-4580.374109,-10058.38786,-947952.8057,-916250.5371
2022,877977.77,928263.76,946921.8616,884645.3419,-31344.07218,-10954.09312,-20389.97906,-31974.08803,-11174.27039,-20799.81764,-29871.23773,-10439.3685,-19431.86923,-967721.6792,-904077.2111
2023,1155280.15,928263.76,956391.0802,863610.8596,-27064.95794,-8308.493202,-18756.46473,-27885.05323,-8560.248855,-19324.80437,-25179.90316,-7729.812652,-17450.09051,-975715.8846,-881060.9501
2024,1122434.37,928263.76,965954.991,843076.5206,-46267.08476,-14721.95795,-31545.12681,-48145.71393,-15319.72848,-32825.98546,-42021.13076,-13370.91635,-28650.21441,-998780.9764,-871726.735
2025,974554.37,928263.76,975614.5409,823030.4328,-116742.8695,-38576.44694,-78166.42254,-122697.9291,-40544.23343,-82153.69567,-103508.2253,-34203.19869,-69305.02659,-1057768.237,-892335.4594
2026,511072.13,928263.76,985370.6863,803460.987,-54911.69094,-18701.95442,-36209.73653,-58289.86644,-19852.50147,-38437.36497,-47528.94953,-16187.52277,-31341.42676,-1023808.051,-834802.4137
2027,877977.77,928263.76,995224.3932,784356.8498,-101923.5621,-36787.3677,-65136.19441,-109275.8541,-39441.03742,-69834.81672,-86122.55217,-31084.29423,-55038.25794,-1065059.21,-839395.1078
2028,1155280.15,928263.76,1005176.637,765706.9576,-49225.54024,-16858.53306,-32367.00718,-53304.20634,-18255.37557,-35048.83077,-40605.20326,-13906.28032,-26698.92294,-1040225.468,-792405.8805
2029,1122434.37,928263.76,1015228.403,747500.5095,-213964.2861,-51298.03491,-162666.2512,-234009.5886,-56103.9053,-177905.6833,-172298.4563,-41308.63327,-130989.823,-1193134.087,-878490.3326
2030,974554.37,928263.76,1025380.688,729726.9618,-162585.5111,-67846.42154,-94739.08956,-179595.5528,-74944.65837,-104650.8945,-127811.7666,-53335.44752,-74476.31909,-1130031.582,-804203.2809
2031,511072.13,928263.76,1035634.494,712376.0211,-254528.9432,-75889.80337,-178639.1398,-283969.8853,-84667.85146,-199302.0338,-195332.7531,-58239.99438,-137092.7587,-1234936.528,-849468.7797
2032,877977.77,928263.76,1045990.839,695437.639,-170291.9681,-44115.85164,-126176.1164,-191889.252,-49710.84585,-142178.4062,-127579.5192,-33050.76103,-94528.75818,-1188169.246,-789966.3971
2033,1155280.15,928263.76,1056450.748,678902.0059,-216727.1171,-74982.61268,-141744.5044,-246655.6756,-85337.20764,-161318.468,-158507.1839,-54839.85086,-103667.3331,-1217769.216,-782569.339
2034,1122434.37,928263.76,1067015.255,662759.5457,-256144.7956,-90688.49459,-165456.301,-294431.8374,-104244.086,-190187.7514,-182881.6503,-64749.5551,-118132.0952,-1257203.007,-780891.6409
2035,974554.37,928263.76,1077685.408,647000.9097,-271562.3746,-90272.08905,-181290.2855,-315275.4863,-104803.0929,-210472.3934,-189279.2878,-62919.75002,-126359.5378,-1288157.801,-773360.4475
2036,511072.13,928263.76,1088462.262,631616.9716,-220009.7837,-72316.62135,-147693.1623,-257978.774,-84796.92587,-173181.8481,-149700.8924,-49206.2788,-100494.6136,-1261644.11,-732111.5852
2037,877977.77,928263.76,1099346.884,616598.8221,-288590.0753,-102656.4558,-185933.6195,-341778.5051,-121576.4956,-220202.0095,-191695.8392,-68189.50871,-123506.3305,-1319548.894,-740105.1526
