,Papallacta_SEMBAU-superficial,Mica_SEMBAU-superficial,Orientales_SEMBAU-superficial,Occidentales_SEMBAU-superficial,Bellavista_SEMBAU-superficial,Puengasi_SEMBAU-superficial,El Placer_SEMBAU-superficial,El Troje_SEMBAU-superficial,Paluguillo_SEMBAU-superficial,Norte_SEMBAU-superficial,Centro_SEMBAU-superficial,Sur_SEMBAU-superficial,Parroquias Norte_SEMBAU-superficial,Parroquias Sur_SEMBAU-superficial,Parroquiales Orientales_SEMBAU-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2021-01-31,5807160.615006245,3351086.858389869,7060825.162226326,1998422.6209104278,5257899.00953986,6441169.130224907,1654694.4725316726,2983129.7665996803,1043546.762516622,3107418.3146380577,7145311.205105802,2506699.8645864846,489510.397788161,2168547.3055806276,1639178.5813716906,6185798.161795662,3163317.957321241,7624331.921807383,2024713.8742674245,5574877.310611717,6757888.837255674,1697756.163629491,2972705.375119114,1111587.9296746803,3294752.4905715254,7464461.942734808,2527333.954280571,519021.07761795085,2226452.9093241487,1742982.9034966205
2021-02-28,5235654.428848979,3188352.6670643636,6226866.082754583,2030084.521537198,4797189.069815272,5781431.768638516,1610777.1267167346,2771726.5826748763,940847.1008641615,2835138.7402608264,6518989.317107065,2333022.852681611,446618.30239980173,1987118.9935002504,1484606.9083107417,5547233.09642489,3009540.1643888718,6463745.9134337865,2033676.4035679195,5053545.002045395,5871272.1491035465,1620911.582900112,2714314.7850728715,996837.7874275527,2986645.0962088285,6607770.723436653,2314750.0785661684,470485.03969042626,2001537.9729907478,1569493.7787865507
2021-03-31,5917358.618578017,3221646.268065829,7636656.976897503,2357651.4121714593,5437518.7072967235,6791881.811384622,1877719.38385204,3028139.1057189587,1063349.3437584694,3213573.556012363,7646090.35241866,2578187.2475068,506232.99164932495,2234901.692564943,1679777.5316276855,6284442.263401571,3239798.4228763594,7775121.344490625,2326069.7268998167,5730642.538897552,6897575.846199528,1870674.4361057251,3056768.1273657186,1129314.2747332626,3386809.740488454,7734596.12454152,2615612.231328915,533522.8203713621,2284470.726971877,1778728.0786332302
2021-04-30,4538849.135312627,2850442.8120505195,6029911.164476114,2127410.924097839,4250064.020681135,5495799.196726275,1636114.924242535,2570507.324808768,815631.189615679,2511787.8362225513,6285101.596181105,2169441.9581631157,395680.96032541373,1835004.9121162987,1297881.4390085426,4621847.163290924,2690848.4359246986,5871594.192820593,2084785.8928813958,4307521.783563255,5314764.094201107,1596786.4325232285,2459362.60704812,830545.9352433791,2545745.3740858836,6090309.23829504,2096277.595942951,401030.27804973914,1785448.107123667,1319205.8253416629
2021-05-31,3724638.7424398614,2537755.775158745,5810918.943265805,1954456.1998550217,3539513.6705904156,5205531.361948607,1517485.4256391453,2360599.185299809,669317.5820164431,2091852.5793189353,5926068.219014588,1969634.7161422542,329528.72273196763,1662802.1059944893,1071224.0698785784,3833789.4565721666,2432862.9042919497,5751902.093664971,1911155.7474399833,3618246.1786823547,5118364.898184862,1486446.2560157054,2293412.6863034074,688931.9653460183,2138383.4916012716,5822105.278219556,1927409.5755884803,336858.71923532727,1639381.9924157308,1099644.661372058
2021-06-30,2834614.940893644,2226090.377180248,4488853.327339362,1606944.6591235956,2723426.5378309125,4136385.054272898,1234489.9988625282,1969914.4041497577,509380.3048785878,1609545.083858069,4733035.251531362,1623700.2622027316,253551.01067205798,1344977.013210118,818780.2575986194,2838282.7686973554,1972906.3079649415,4546851.759919489,1594808.595445523,2723417.9780231738,4067605.6528859218,1221661.7523852785,1844859.2323827157,510039.4135349147,1609540.0250116957,4660805.593168109,1541249.5629110218,253550.21375395748,1295101.725358603,819419.695718832
2021-07-31,2425120.391799051,2073561.88334392,3893214.3195161107,1398156.0849884287,2335797.996355667,3649444.9931677217,1078769.459027993,1783940.5593466614,435794.1344062895,1380456.6158461992,4167119.8872090704,1456237.0595990808,217462.7934607125,1195804.2680503423,701187.5421692805,2458541.7826233488,1782769.7758011697,4154491.2419801494,1423333.8735357148,2369456.875146508,3707978.7602687827,1097463.6189731548,1672877.7908721115,441799.9583374157,1400349.0132115863,4235126.396171067,1389377.5147840683,220596.43507613993,1165989.4185622446,711025.4419713868
2021-08-31,2190705.2177676414,1972466.017284866,3476357.571427577,1219193.848303734,2099128.879351167,3311110.642706573,952572.9822700288,1654502.1364809824,393669.72763284517,1240585.1676965393,3758783.8397920113,1339515.426188586,195428.89866759363,1095404.6867994177,632115.2980956895,2267294.140028715,1655267.5118012254,3903080.7203042796,1272715.6469945377,2175224.3036876866,3475084.995260805,996015.7541618062,1556898.1132203157,407432.7569631602,1285557.5634794226,3941792.1761390003,1287579.5087571268,202513.3826733236,1084336.2310781747,654536.5796495688
2021-09-30,2573291.606622736,1871369.5500383943,3049243.2352003674,1188352.721041118,2405147.4394486994,2965529.0456107035,904376.8593895013,1533664.777948969,462420.5017101057,1421442.136714181,3409532.3996654777,1275770.2609600474,223919.2266126739,1052574.2358765476,735306.0320621602,2772016.210506873,1665063.8607774884,3488257.1661557667,1228267.8937657536,2578000.6625953745,3186258.871536091,945838.8549962939,1495320.0573034214,498131.313028085,1523598.3915938665,3641581.2334547285,1268381.5587113511,240011.86168762937,1077222.1671237345,790558.4756519804
2021-10-31,2050325.9651055366,1700233.2298059906,2751303.4475126783,1041595.8232420855,1939898.8208656874,2680846.990788604,800205.6183274159,1387865.344481917,368443.57592946483,1146480.2031316215,3067641.523774732,1135955.3051106073,180604.5802225955,928169.1017927013,588670.5925315914,2127594.265039671,1426656.6302406772,3205682.7701623207,1096586.725168444,2016916.3391103852,2883270.5263290135,847975.5206701627,1317543.8694195363,382328.68942762905,1191997.5564142377,3288637.3133456125,1102276.9133518378,187774.91117117682,930241.5465122367,611320.1402370519
2021-11-30,3493372.4068388115,2102547.3120251326,5073106.197573766,1417085.1844638917,3216361.704706419,4495603.7883487595,1166677.9915232756,1981594.9301630573,627759.0215089343,1900869.7674814933,4996965.276386096,1655513.8633273586,299443.27470816753,1432414.4472792826,992418.8478898247,3830683.4886328867,2112091.00407862,5489250.665963437,1446271.6660599501,3500175.901346002,4793747.045771251,1209611.0243956158,2052496.290628245,688373.8229073299,2068603.9576954867,5299411.67669655,1726366.304580908,325866.3764153127,1513528.8429249155,1085063.758389092
2021-12-31,4327616.997675692,2573047.0270258854,6618907.74698949,1786306.0230094383,3992110.2231121445,5791674.209463796,1482115.3181583674,2491629.6897538453,777672.7744823219,2359337.141859277,6419999.663647064,2080136.9230587212,371665.4617717407,1808634.649701609,1230326.5404925062,4728528.784963204,2754784.369772819,6713721.254139473,1781989.8728032901,4319745.234182948,5937443.090346053,1493273.556192783,2601444.5383985434,849716.6226578876,2552969.433402122,6559608.0808951985,2174770.9007031834,402168.2813024325,1893672.5057504927,1339287.350581022
