DATE,HIST,BASE_NSE0.60,Solo periodo historico,,NSE0.6_Scaled
2001-01-01,,"8,637,744",Media histórica,Media BASE,3163318.112
2001-02-01,,"8,217,839","3,169,147","8,653,660",3009540.332
2001-03-01,,"8,846,581",,Factor de ajuste,3239798.483
2001-04-01,,"7,347,620",,0.3662204057,2690848.377
2001-05-01,,"6,643,166",,,2432862.947
2001-06-01,,"5,387,210",,,1972906.232
2001-07-01,,"4,868,024",,,1782769.724
2001-08-01,,"4,519,867",,,1655267.526
2001-09-01,,"4,546,617",,,1665063.922
2001-10-01,,"3,895,623",,,1426656.635
2001-11-01,,"5,767,267",,,2112090.86
2001-12-01,,"7,522,203",,,2754784.234
2002-01-01,,"6,837,867",,,2504166.427
2002-02-01,,"6,046,623",,,2214396.728
2002-03-01,,"7,899,820",,,2893075.285
2002-04-01,,"9,597,214",,,3514695.604
2002-05-01,,"8,344,684",,,3055993.56
2002-06-01,,"7,448,734",,,2727878.387
2002-07-01,,"6,619,647",,,2424249.81
2002-08-01,,"6,060,284",,,2219399.665
2002-09-01,,"5,433,190",,,1989745.046
2002-10-01,,"8,150,465",,,2984866.599
2002-11-01,,"9,038,781",,,3310186.044
2002-12-01,,"10,615,964",,,3887782.643
2003-01-01,,"8,535,868",,,3126009.042
2003-02-01,,"8,804,751",,,3224479.483
2003-03-01,,"10,629,490",,,3892736.14
2003-04-01,,"10,801,248",,,3955637.424
2003-05-01,,"11,999,272",,,4394378.259
2003-06-01,,"11,204,197",,,4103205.57
2003-07-01,,"11,601,313",,,4248637.553
2003-08-01,,"9,992,843",,,3659583.017
2003-09-01,,"10,448,951",,,3826619.074
2003-10-01,,"9,925,446",,,3634900.86
2003-11-01,,"9,179,993",,,3361900.76
2003-12-01,,"8,746,280",,,3203066.21
2004-01-01,,"7,510,989",,,2750677.438
2004-02-01,,"7,503,683",,,2748001.832
2004-03-01,3076634,"7,425,307",,,2719298.942
2004-04-01,3212171,"8,338,296",,,3053654.144
2004-05-01,3000224,"8,794,588",,,3220757.585
2004-06-01,2926808,"8,812,940",,,3227478.462
2004-07-01,3300777,"8,584,877",,,3143957.137
2004-08-01,3386451,"7,464,141",,,2733520.745
2004-09-01,3445333,"7,105,032",,,2602007.701
2004-10-01,3378939,"6,908,424",,,2530005.84
2004-11-01,2907707,"6,351,986",,,2326226.89
2004-12-01,3176863,"6,188,486",,,2266349.853
2005-01-01,3390031,"5,779,069",,,2116412.994
