DATE,HIST,BASE_NSE0.60,Solo periodo historico,,BASE_NSE0.60_Scaled
2001-01-01,,"6,989,965",Media histórica,Media BASE,2024713.764
2001-02-01,,"7,020,907","2,439,791","8,422,946",2033676.426
2001-03-01,,"8,030,343",,Factor de ajuste,2326069.73
2001-04-01,,"7,197,353",,0.2896600718,2084785.787
2001-05-01,,"6,597,926",,,1911155.719
2001-06-01,,"5,505,794",,,1594808.686
2001-07-01,,"4,913,808",,,1423333.978
2001-08-01,,"4,393,825",,,1272715.665
2001-09-01,,"4,240,377",,,1228267.906
2001-10-01,,"3,785,771",,,1096586.7
2001-11-01,,"4,992,996",,,1446271.58
2001-12-01,,"6,152,004",,,1781989.921
2002-01-01,,"5,550,994",,,1607901.321
2002-02-01,,"5,243,615",,,1518865.898
2002-03-01,,"6,921,144",,,2004779.068
2002-04-01,,"8,894,690",,,2576436.544
2002-05-01,,"8,573,410",,,2483374.557
2002-06-01,,"7,538,038",,,2183468.629
2002-07-01,,"6,438,242",,,1864901.64
2002-08-01,,"5,584,716",,,1617669.238
2002-09-01,,"4,891,498",,,1416871.662
2002-10-01,,"7,025,995",,,2035150.217
2002-11-01,,"7,317,595",,,2119615.093
2002-12-01,,"9,011,676",,,2610322.718
2003-01-01,,"7,867,883",,,2279011.555
2003-02-01,,"7,757,460",,,2247026.421
2003-03-01,,"7,159,612",,,2073853.726
2003-04-01,,"8,810,388",,,2552017.621
2003-05-01,,"7,577,876",,,2195008.107
2003-06-01,,"7,494,662",,,2170904.333
2003-07-01,,"6,600,958",,,1912033.969
2003-08-01,,"5,855,359",,,1696063.709
2003-09-01,,"5,756,786",,,1667511.046
2003-10-01,,"6,019,258",,,1743538.705
2003-11-01,,"7,117,431",,,2061635.575
2003-12-01,,"6,592,759",,,1909659.046
2004-01-01,,"5,983,600",,,1733210.006
2004-02-01,,"5,447,382",,,1577889.062
2004-03-01,3021863,"5,196,752",,,1505291.558
2004-04-01,2613125,"6,026,110",,,1745523.456
2004-05-01,2872733,"7,271,572",,,2106284.068
2004-06-01,2610797,"6,043,507",,,1750562.672
2004-07-01,2246570,"5,338,897",,,1546465.289
2004-08-01,1915285,"4,719,501",,,1367050.999
2004-09-01,1999565,"5,427,193",,,1572041.114
2004-10-01,2276917,"5,385,411",,,1559938.537
2004-11-01,2278646,"6,246,656",,,1809406.826
2004-12-01,2308361,"6,672,230",,,1932678.621
2005-01-01,2320502,"5,966,453",,,1728243.205
2005-02-01,2196333,"7,306,410",,,2116375.246
2005-03-01,2696218,"8,777,469",,,2542482.301
2005-04-01,2726182,"8,144,541",,,2359148.331
2005-05-01,2695736,"6,892,166",,,1996385.299
2005-06-01,2236372,"6,484,026",,,1878163.437
2005-07-01,2008459,"5,884,270",,,1704438.071
2005-08-01,1945870,"5,416,934",,,1569069.492
2005-09-01,1819174,"5,381,418",,,1558781.925
2005-10-01,1960465,"5,643,548",,,1634710.519
2005-11-01,2100081,"5,667,644",,,1641690.168
2005-12-01,2131666,"6,612,775",,,1915456.882
2006-01-01,2360494,"6,583,671",,,1907026.615
2006-02-01,2299180,"7,140,797",,,2068403.772
2006-03-01,2404599,"8,622,956",,,2497726.054
2006-04-01,2437960,"10,227,111",,,2962385.707
2006-05-01,2915347,"9,953,438",,,2883113.566
2006-06-01,2559460,"9,133,764",,,2645686.736
2006-07-01,2216873,"7,779,304",,,2253353.756
2006-08-01,1986520,"6,781,123",,,1964220.575
2006-09-01,2089512,"6,301,215",,,1825210.39
2006-10-01,2348822,"7,028,560",,,2035893.195
2006-11-01,2055242,"9,977,269",,,2890016.455
2006-12-01,,"11,322,913",,,3279795.793
2007-01-01,2658756,"10,734,876",,,3109464.953
2007-02-01,2459211,"9,409,565",,,2725575.274
2007-03-01,2630866,"9,970,481",,,2888050.243
2007-04-01,2844466,"11,293,820",,,3271368.713
