DATE,HIST,BASE_NSE0.60,Solo periodo historico,,NSE0.6_Scaled
2001-01-01,,"17,861,608",Media histórica,Media BASE,7624301.765
2001-02-01,,"15,142,721","6,418,054","15,035,707",6463733.525
2001-03-01,,"18,214,922",,Factor de ajuste,7775115.317
2001-04-01,,"13,755,508",,0.4268541648,5871595.879
2001-05-01,,"13,475,090",,,5751898.288
2001-06-01,,"10,651,979",,,4546841.6
2001-07-01,,"9,732,769",,,4154472.983
2001-08-01,,"9,143,772",,,3903057.16
2001-09-01,,"8,171,957",,,3488233.88
2001-10-01,,"7,509,966",,,3205660.265
2001-11-01,,"12,859,717",,,5489223.76
2001-12-01,,"15,728,354",,,6713713.411
2002-01-01,,"16,078,391",,,6863128.162
2002-02-01,,"13,907,325",,,5936399.598
2002-03-01,,"18,431,473",,,7867551.014
2002-04-01,,"19,735,978",,,8424384.406
2002-05-01,,"17,664,203",,,7540038.619
2002-06-01,,"15,068,396",,,6432007.59
2002-07-01,,"13,811,197",,,5895366.96
2002-08-01,,"12,939,399",,,5523236.353
2002-09-01,,"12,126,235",,,5176133.913
2002-10-01,,"18,022,711",,,7693069.252
2002-11-01,,"19,582,594",,,8358911.807
2002-12-01,,"21,558,053",,,9202144.708
2003-01-01,,"15,988,046",,,6824564.022
2003-02-01,,"16,347,920",,,6978177.738
2003-03-01,,"16,953,659",,,7236739.953
2003-04-01,,"15,309,467",,,6534909.75
2003-05-01,,"14,277,725",,,6094506.38
2003-06-01,,"15,669,648",,,6688654.51
2003-07-01,,"14,235,733",,,6076581.92
2003-08-01,,"13,017,755",,,5556682.938
2003-09-01,,"14,445,756",,,6166231.112
2003-10-01,,"14,470,601",,,6176836.304
2003-11-01,,"16,369,765",,,6987502.367
2003-12-01,,"13,903,674",,,5934841.153
2004-01-01,,"11,562,779",,,4935620.373
2004-02-01,,"11,753,192",,,5016898.955
2004-03-01,6582627,"10,489,681",,,4477564.022
2004-04-01,6394253,"12,231,742",,,5221170.016
2004-05-01,6559142,"13,927,210",,,5944887.593
2004-06-01,6478819,"12,348,883",,,5271172.139
2004-07-01,6609936,"10,964,815",,,4680376.949
2004-08-01,6683501,"10,199,769",,,4353813.878
2004-09-01,6256893,"10,211,226",,,4358704.346
2004-10-01,6538823,"11,498,703",,,4908269.265
2004-11-01,6570530,"11,644,732",,,4970602.352
