DATE,HIST,BASE_NSE0.60,Solo periodo historico,,NSE0.6_Scaled
2001-01-01,,"15,527,258",Media histórica,Media BASE,6185798.277
2001-02-01,,"13,924,366","7,902,681","19,836,885",5547233.08
2001-03-01,,"15,774,869",,Factor de ajuste,6284442.333
2001-04-01,,"11,601,512",,0.3983831709,4621847.138
2001-05-01,,"9,623,372",,,3833789.452
2001-06-01,,"7,124,505",,,2838282.893
2001-07-01,,"6,171,299",,,2458541.664
2001-08-01,,"5,691,240",,,2267294.238
2001-09-01,,"6,958,166",,,2772016.235
2001-10-01,,"5,340,573",,,2127594.406
2001-11-01,,"9,615,576",,,3830683.657
2001-12-01,,"11,869,299",,,4728528.972
2002-01-01,,"9,454,897",,,3766671.847
2002-02-01,,"7,725,593",,,3077746.236
2002-03-01,,"12,511,599",,,4984410.483
2002-04-01,,"19,405,753",,,7730925.414
2002-05-01,,"14,048,352",,,5596627.016
2002-06-01,,"11,173,933",,,4451506.86
2002-07-01,,"9,054,263",,,3607066.004
2002-08-01,,"8,016,823",,,3193767.367
2002-09-01,,"7,049,841",,,2808538.012
2002-10-01,,"13,957,848",,,5560571.745
2002-11-01,,"15,142,245",,,6032415.578
2002-12-01,,"18,513,642",,,7375523.405
2003-01-01,,"12,979,373",,,5170763.772
2003-02-01,,"14,972,224",,,5964682.072
2003-03-01,,"25,599,350",,,10198350.23
2003-04-01,,"25,835,211",,,10292313.28
2003-05-01,,"33,500,283",,,13345948.97
2003-06-01,,"27,726,655",,,11045832.74
2003-07-01,,"30,738,141",,,12245558.08
2003-08-01,,"22,465,469",,,8949864.776
2003-09-01,,"22,047,186",,,8783227.868
2003-10-01,,"19,630,463",,,7820446.096
2003-11-01,,"18,704,124",,,7451408.228
2003-12-01,,"18,602,580",,,7410954.807
2004-01-01,,"15,487,318",,,6169886.854
2004-02-01,,"16,281,544",,,6486293.126
2004-03-01,"7,411,925","21,105,351",,,8408016.654
2004-04-01,"7,414,929","20,935,136",,,8340205.863
2004-05-01,"7,523,715","21,723,605",,,8654318.643
2004-06-01,"7,448,640","23,136,647",,,9217250.796
2004-07-01,"7,917,669","21,572,275",,,8594031.318
2004-08-01,"7,999,568","18,263,854",,,7276012.069
2004-09-01,"7,519,163","14,406,127",,,5739158.555
2004-10-01,"7,741,097","13,746,481",,,5476366.689
2004-11-01,"7,524,745","12,881,862",,,5131917.031
2004-12-01,"8,021,954","12,967,018",,,5165841.748
2005-01-01,"7,702,594","11,216,311",,,4468389.542
2005-02-01,"6,617,938","15,848,030",,,6313588.444
2005-03-01,"7,603,099","16,699,052",,,6652621.287
2005-04-01,"7,437,861","25,335,762",,,10093341.2
2005-05-01,"7,377,406","21,814,485",,,8690523.706
2005-06-01,"7,684,442","25,962,720",,,10343110.72
2005-07-01,"8,643,583","22,743,026",,,9060438.814
2005-08-01,"7,933,252","19,454,542",,,7750362.13
2005-09-01,"7,667,329","19,131,377",,,7621618.633
2005-10-01,"7,839,848","16,911,894",,,6737413.958
2005-11-01,"7,413,830","16,691,241",,,6649509.516
2005-12-01,"8,656,395","20,127,277",,,8018368.433
2006-01-01,"8,532,683","18,698,434",,,7449141.428
2006-02-01,"7,538,737","15,792,571",,,6291494.512
2006-03-01,"7,233,086","18,477,084",,,7360959.313
2006-04-01,"7,333,443","21,040,261",,,8382085.894
2006-05-01,"7,881,204","21,084,088",,,8399545.833
2006-06-01,"7,841,942","27,958,250",,,11138096.29
2006-07-01,"8,228,807","24,252,458",,,9661771.12
2006-08-01,"8,362,544","20,021,467",,,7976215.509
2006-09-01,"7,733,764","21,033,555",,,8379414.336
2006-10-01,"7,811,969","19,432,837",,,7741715.224
2006-11-01,"8,227,111","19,489,007",,,7764092.406
2006-12-01,,"17,248,396",,,6871470.691
2007-01-01,"8,128,213","16,149,044",,,6433507.356
2007-02-01,"7,293,707","14,867,580",,,5922993.664
2007-03-01,"7,988,864","18,987,893",,,7564457.022
2007-04-01,"7,358,033","21,619,506",,,8612847.354
2007-05-01,"7,627,174","17,429,867",,,6943765.684
2007-06-01,"7,956,045","31,388,972",,,12504838.2
2007-07-01,"8,012,225","19,271,158",,,7677305.031
2007-08-01,"8,467,825","23,721,768",,,9450353.155
2007-09-01,"8,787,003","18,793,513",,,7487019.301
2007-10-01,"8,818,832","16,663,993",,,6638654.371
2007-11-01,"8,767,754","18,853,590",,,7510952.967
2007-12-01,"8,766,540","18,472,107",,,7358976.56
2008-01-01,"8,046,321","18,050,848",,,7191154.064
2008-02-01,"7,548,579","22,191,493",,,8840717.348
2008-03-01,"8,728,541","19,826,869",,,7898690.941
2008-04-01,"8,096,649","20,939,096",,,8341783.46
2008-05-01,"8,005,711","23,969,407",,,9549008.365
2008-06-01,"8,368,276","24,793,989",,,9877507.957
2008-07-01,"8,346,849","28,161,714",,,11219152.92
2008-08-01,,"27,698,883",,,11034768.84
2008-09-01,,"27,847,046",,,11093794.49
2008-10-01,,"32,093,616",,,12785556.51
2008-11-01,,"25,995,629",,,10356221.11
2008-12-01,,"26,672,829",,,10626006.19
2009-01-01,,"29,736,720",,,11846608.81
2009-02-01,,"25,774,925",,,10268296.35
2009-03-01,,"24,409,314",,,9724259.911
2009-04-01,,"25,081,247",,,9991946.71
2009-05-01,,"27,343,268",,,10893097.81
2009-06-01,,"31,904,300",,,12710136.2
2009-07-01,,"30,981,178",,,12342379.93
2009-08-01,,"30,184,525",,,12025006.78
2009-09-01,,"24,047,099",,,9579959.55
2009-10-01,,"22,630,654",,,9015671.7
2009-11-01,,"19,067,904",,,7596332.058
2009-12-01,,"17,814,849",,,7097136.034
2010-01-01,,"17,671,898",,,7040186.761
2010-02-01,,"18,829,663",,,7501420.853
2010-03-01,,"18,721,462",,,7458315.395
2010-04-01,,"24,214,804",,,9646770.4
2010-05-01,,"24,638,151",,,9815424.72
2010-06-01,,"30,978,346",,,12341251.71
2010-07-01,,"25,784,936",,,10272284.57
2010-08-01,,"26,922,297",,,10725390.05
2010-09-01,,"24,527,227",,,9771234.466
2010-10-01,,"21,068,192",,,8393213.134
2010-11-01,,"27,041,549",,,10772898.04
2010-12-01,,"24,296,331",,,9679249.385
2011-01-01,,"21,962,071",,,8749319.484
2011-02-01,,"24,114,763",,,9606915.749
2011-03-01,,"22,768,868",,,9070733.832
2011-04-01,,"27,598,568",,,10994805.03
2011-05-01,,"30,666,147",,,12216876.88
2011-06-01,,"29,970,330",,,11939675.1
2011-07-01,,"35,213,208",,,14028349.46
2011-08-01,,"29,582,274",,,11785080.12
2011-09-01,,"27,002,174",,,10757211.7
2011-10-01,,"24,857,991",,,9903005.277
2011-11-01,,"24,584,854",,,9794192.093
2011-12-01,,"26,211,803",,,10442341.19
2012-01-01,,"26,203,063",,,10438859.33
2012-02-01,,"27,721,376",,,11043729.67
2012-03-01,,"26,815,280",,,10682756.27
2012-04-01,,"26,298,976",,,10477069.45
2012-05-01,,"26,963,112",,,10741650.06
2012-06-01,,"28,229,493",,,11246154.93
2012-07-01,,"30,141,790",,,12007981.88
2012-08-01,,"29,081,820",,,11585707.67
2012-09-01,,"22,792,355",,,9080090.657
2012-10-01,,"21,155,953",,,8428175.639
2012-11-01,,"18,855,911",,,7511877.614
2012-12-01,,"18,240,238",,,7266603.852
2013-01-01,,"18,615,498",,,7416101.121
2013-02-01,,"24,583,374",,,9793602.485
2013-03-01,,"20,421,278",,,8135493.483
2013-04-01,,"20,359,740",,,8110977.78
2013-05-01,,"25,820,792",,,10286568.99
2013-06-01,,"24,554,210",,,9781984.039
2013-07-01,,"30,839,393",,,12285895.17
2013-08-01,,"27,227,489",,,10846973.4
2013-09-01,,"26,564,662",,,10582914.28
2013-10-01,,"25,081,185",,,9991922.01
2013-11-01,,"22,999,750",,,9162713.335
2013-12-01,,"21,139,575",,,8421650.92
2014-01-01,,"21,555,073",,,8587178.331
2014-02-01,,"17,314,093",,,6897643.271
2014-03-01,,"23,049,091",,,9182369.959
2014-04-01,,"26,023,110",,,10367169.08
2014-05-01,,"28,865,066",,,11499356.52
2014-06-01,,"36,185,443",,,14415671.52
2014-07-01,,"32,192,960",,,12825133.49
2014-08-01,,"31,532,416",,,12561983.87
2014-09-01,,"29,249,845",,,11652646
2014-10-01,,"28,447,885",,,11333158.63
2014-11-01,,"24,584,338",,,9793986.527
2014-12-01,,"24,281,695",,,9673418.649
2015-01-01,,"24,996,101",,,9958025.976
2015-02-01,,"25,915,024",,,10324109.43
2015-03-01,,"27,120,558",,,10804373.89
2015-04-01,,"28,933,898",,,11526778.03
2015-05-01,,"26,778,304",,,10668025.66
2015-06-01,,"39,239,871",,,15632504.23
2015-07-01,,"41,877,724",,,16683380.48
2015-08-01,,"35,712,642",,,14227315.56
2015-09-01,,"27,376,300",,,10906257.2
2015-10-01,,"25,963,484",,,10343415.08
2015-11-01,,"26,912,444",,,10721464.78
2015-12-01,,"24,416,172",,,9726992.023
2016-01-01,,"20,807,390",,,8289314.006
2016-02-01,,"25,049,072",,,9979128.731
2016-03-01,,"27,648,897",,,11014855.26
2016-04-01,,"30,789,728",,,12266109.47
2016-05-01,,"31,312,052",,,12474194.56
2016-06-01,,"39,883,974",,,15889104.03
2016-07-01,,"35,674,559",,,14212143.93
2016-08-01,,"28,442,629",,,11331064.73
2016-09-01,,"31,539,148",,,12564665.79
2016-10-01,,"26,068,285",,,10385166.04
2016-11-01,,"23,242,697",,,9259499.331
2016-12-01,,"21,473,174",,,8554551.147
2017-01-01,,"27,116,915",,,10802922.58
2017-02-01,,"22,964,085",,,9148504.999
2017-03-01,,"27,577,707",,,10986494.36
2017-04-01,,"25,971,714",,,10346693.78
2017-05-01,,"29,515,381",,,11758431.07
2017-06-01,,"31,068,080",,,12377000.22
2017-07-01,,"33,878,316",,,13496550.95
2017-08-01,,"31,069,589",,,12377601.38
2017-09-01,,"27,189,673",,,10831908.15
2017-10-01,,"26,604,956",,,10598966.73
2017-11-01,,"25,203,380",,,10040602.44
2017-12-01,,"26,978,223",,,10747670.02
2018-01-01,,"29,574,989",,,11782177.9
2018-02-01,,"23,426,586",,,9332757.614
2018-03-01,,"21,757,882",,,8667974.023
2018-04-01,,"22,585,383",,,8997636.495
2018-05-01,,"27,623,419",,,11004705.25
2018-06-01,,"29,643,050",,,11809292.25
2018-07-01,,"26,810,553",,,10680873.12
2018-08-01,,"26,302,698",,,10478552.23
2018-09-01,,"23,580,241",,,9393971.18
2018-10-01,,"18,462,038",,,7354965.24
2018-11-01,,"20,040,346",,,7983736.585
2018-12-01,,"21,957,727",,,8747588.908
2019-01-01,,"21,327,923",,,8496685.593
2019-02-01,,"22,017,736",,,8771495.484
2019-03-01,,"19,605,597",,,7810539.9
2019-04-01,,"21,620,677",,,8613313.86
2019-05-01,,"31,143,106",,,12406889.32
2019-06-01,,"40,053,747",,,15956738.74
2019-07-01,,"39,123,148",,,15586003.76
2019-08-01,,"37,262,105",,,14844595.54
2019-09-01,,"30,483,983",,,12144305.81
2019-10-01,,"31,651,182",,,12609298.25
2019-11-01,,"29,791,615",,,11868478.05
2019-12-01,,"28,111,288",,,11199064.05
2020-01-01,,"28,569,080",,,11381440.68
2020-02-01,,"27,505,445",,,10957706.4
2020-03-01,,"25,122,536",,,10008395.55
2020-04-01,,"26,722,961",,,10645977.94
2020-05-01,,"30,865,762",,,12296400.14
2020-06-01,,"34,180,381",,,13616888.57
2020-07-01,,"36,944,618",,,14718114.07
2020-08-01,,"30,271,240",,,12059552.58
2020-09-01,,"29,223,198",,,11642030.28
2020-10-01,,"25,114,137",,,10005049.53
2020-11-01,,"26,191,464",,,10434238.48
2020-12-01,,"24,577,780",,,9791373.93
