x,"SEMBAU_BASE, BAU_BASE HYP_1 (linear)",BAU_BASE HYP_ALT (linear),SEMBASE_BASE HYP_1 (tri),SEMBASE_BASE HYP_ALT (tri),SEMBASE_BASE HYP_ALT_2 (tri)
1.0,0.001388888888888889,0.0028735632183908046,0.00787037037037037,0.002997076023391813,0.019444444444444445
2.0,0.002777777777777778,0.005747126436781609,0.01574074074074074,0.005994152046783626,0.03888888888888889
3.0,0.004166666666666667,0.008620689655172414,0.02361111111111111,0.008991228070175439,0.058333333333333334
4.0,0.005555555555555556,0.011494252873563218,0.03148148148148148,0.011988304093567251,0.07777777777777778
5.0,0.006944444444444445,0.014367816091954023,0.039351851851851846,0.014985380116959063,0.09722222222222222
6.0,0.008333333333333333,0.017241379310344827,0.04722222222222222,0.017982456140350878,0.11666666666666667
7.0,0.009722222222222222,0.020114942528735632,0.05509259259259259,0.020979532163742688,0.13611111111111113
8.0,0.011111111111111112,0.022988505747126436,0.06296296296296296,0.023976608187134502,0.15555555555555556
9.0,0.0125,0.02586206896551724,0.07083333333333333,0.026973684210526316,0.175
10.0,0.01388888888888889,0.028735632183908046,0.07870370370370369,0.029970760233918127,0.19444444444444445
11.0,0.015277777777777779,0.031609195402298854,0.08657407407407407,0.03296783625730994,0.2138888888888889
12.0,0.016666666666666666,0.034482758620689655,0.09444444444444444,0.035964912280701755,0.23333333333333334
13.0,0.018055555555555557,0.037356321839080456,0.1023148148148148,0.038961988304093566,0.25277777777777777
14.0,0.019444444444444445,0.040229885057471264,0.11018518518518518,0.041959064327485376,0.27222222222222225
15.0,0.020833333333333336,0.04310344827586207,0.11805555555555554,0.044956140350877194,0.2916666666666667
16.0,0.022222222222222223,0.04597701149425287,0.1259259259259259,0.047953216374269005,0.3111111111111111
17.0,0.02361111111111111,0.048850574712643674,0.13379629629629627,0.050950292397660815,0.33055555555555555
18.0,0.025,0.05172413793103448,0.14166666666666666,0.05394736842105263,0.35
19.0,0.02638888888888889,0.05459770114942529,0.14953703703703702,0.05694444444444444,0.36944444444444446
