% date	% Obs [m3/s]
Mar-06	86.18341379
Apr-06	87.0225
May-06	64.55586207
Jun-06	57.74956667
Jul-06	37.39053571
Aug-06	31.67106667
Sep-06	34.6232
Oct-06	37.17463333
Nov-06	57.96410714
Dec-06	72.48341667
Jan-07	55.41581818
Feb-07	47.37614286
Mar-07	62.71063333
Apr-07	83.22158621
May-07	73.75486207
Jun-07	99.07786207
Jul-07	43.5834
Aug-07	40.01741379
Sep-07	37.59333333
Oct-07	48.60286667
Nov-07	67.74769565
Dec-07	59.2702
Jan-08	74.60648276
Feb-08	112.829
Mar-08	139.4178621
Apr-08	117.3769643
May-08	103.5779655
Jun-08	81.76344444
Jul-08	60.95703448
Aug-08	41.94662069
Sep-08	46.60206897
Oct-08	69.34175862
Nov-08	71.25043333
Dec-08	68.7882069
Jan-09	85.41058621
Feb-09	104.6871111
Mar-09	116.5982857
Apr-09	87.2525
May-09	60.0997931
Jun-09	53.16237931
Jul-09	46.64203571
Aug-09	33.6525
Sep-09	30.91339286
Oct-09	42.28596
Nov-09	33.70286207
Dec-09	42.90889655
Jan-10	37.66565517
Feb-10	36.66059259
Mar-10	33.76578571
Apr-10	61.6925
May-10	57.65203448
Jun-10	52.61037037
Jul-10	49.708
Aug-10	39.80560714
Sep-10	37.5137931
Oct-10	36.79339286
Nov-10	68.2732069
Dec-10	96.92892593
Jan-11	71.30664286
Feb-11	104.1058462
Mar-11	103.4096071
Apr-11	176.3686897
May-11	99.7357931
Jun-11	69.30158621
Jul-11	64.14589286
Aug-11	43.93928571
Sep-11	36.89407407
Oct-11	47.85692857
Nov-11	36.32378571
Dec-11	63.79171429
Jan-12	NaN
Feb-12	NaN
Mar-12	NaN
Apr-12	87.67007143
May-12	65.42748276
Jun-12	38.91211111
Jul-12	38.03125
Aug-12	32.1835
Sep-12	33.43903448
Oct-12	38.2934
Nov-12	42.33336667
Dec-12	35.45789286
Jan-13	37.59077778
Feb-13	73.12865385
Mar-13	47.83581481
Apr-13	51.00310345
May-13	63.23403571
Jun-13	37.47213793
Jul-13	37.31235714
Aug-13	29.70906667
Sep-13	30.16468966
Oct-13	45.28296552
Nov-13	42.94492857
Dec-13	45.04939286
Jan-14	43.0902963
Feb-14	68.04580769
Mar-14	58.68855172
Apr-14	69.09539286
May-14	56.78689655
Jun-14	68.30913333
Jul-14	38.13928
Aug-14	26.1715
Sep-14	27.28471429
Oct-14	37.3017931
Nov-14	49.77767857
Dec-14	33.18218519
