hz,tipo,coef,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,spt
1,1,1.12,0.9843120787228522,0.01568792127714771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999
2,2,1.05,0.7723623265699704,0.1758187746151315,0.04002297942786313,0.009110738519191657,0.0020739474559781485,0.0004721086047083549,0.00010746971144191726,2.446415668391342e-05,5.568964075785451e-06,1.2677061089042958e-06,2.885776881810117e-07,6.569115785667024e-08,-999
3,1,0.89,0.3405864291014129,0.27029321455070643,0.19999999999999998,0.12970678544929354,0.05941357089858709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999
4,2,0.41,0.09775769812335522,0.09486852151379346,0.09206473297741143,0.08934380891526496,0.08670330031203026,0.08414083053172475,0.08165409317857422,0.07924085002110107,0.07689892897756474,0.07462622216094165,0.07242068398168452,0.07028032930655374,-999
5,2,0.49,0.5934424461906065,0.24127569342334368,0.09809537657880595,0.03988260387777107,0.01621505668815448,0.006592550080377493,0.002680330843001937,0.0010897411988315306,0.000443055708414248,0.00018013300861611096,7.323661602110262e-05,2.9775786056252585e-05,-999
6,2,0.75,0.26646252746123694,0.197400295472187,0.14623773565375095,0.10833557912353518,0.08025697096282079,0.05945582642598119,0.04404595954205645,0.03263004937616519,0.0241729351196073,0.017907750783962086,0.01326638807218643,0.009827982006510317,-999
7,2,0.81,0.4460481866518994,0.24725668016749802,0.13706112414971758,0.07597672079257212,0.04211596933997828,0.023346030928191906,0.012941341933752439,0.0071737389349578054,0.0039765992252093745,0.0022043374509876576,0.001221924393844573,0.0006773460313907203,-999
8,1,0.75,0.13962487089965459,0.12939004588759617,0.11915522087553779,0.10892039586347936,0.09868557085142095,0.08845074583936255,0.07821592082730414,0.06798109581524571,0.05774627080318732,0.047511445791128905,0.037276620779070485,0.027041795767012083,-999
9,1,1.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999
10,3,0.08,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83
