YEAR,FONAG,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_linear,Costs_linear,Utility_linear,Incomes_linear_INF_0.01,Costs_linear_INF_0.01,Utility_linear_INF_0.01,Incomes_linear_INF_0.01_DIS_0.0346,Costs_linear_INF_0.01_DIS_0.0346,Utility_linear_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_linear_INF_0.01,FNeto-Presente_EPMAPS-FONAG_linear_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3048631.19,2374307.1,2374307.1,2374307.1,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,2398158.57,2398158.57,2398158.57,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2412645.36,2412645.36,2412645.36,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2146679.51,2146679.51,2146679.51,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2156773.34,2156773.34,2156773.34,0,0,0,0,0,0,0,0,0,0,0
2021,306137.2,263277.992,265910.7719,257017.9508,-181289.2237,-65108.1753,-116181.0484,-183102.1159,-65759.25705,-117342.8588,-176978.6545,-63560.07834,-113418.5761,-383253.6308,-370436.5269
2022,306137.2,263277.992,268569.8796,250906.7566,-575565.396,-210996.9392,-364568.4569,-587134.2605,-215237.9776,-371896.2828,-548520.0096,-201082.3512,-347437.6584,-640466.1625,-598344.415
2023,306137.2,263277.992,271255.5784,244940.87,-856105.2529,-320149.6995,-535955.5533,-882046.0981,-329850.5556,-552195.5425,-796478.1403,-297851.5042,-498626.6361,-823451.121,-743567.5062
2024,306137.2,263277.992,273968.1342,239116.8362,-1288128.259,-481204.8137,-806923.4454,-1340431.432,-500743.6588,-839687.7731,-1169916.071,-437044.4021,-732871.6687,-1113655.907,-971988.5048
2025,306137.2,263277.992,276707.8156,233431.2822,-1382572.131,-511815.1235,-870757.0075,-1453097.205,-537922.8386,-915174.3661,-1225835.79,-453792.8127,-772042.977,-1191882.182,-1005474.259
2026,306137.2,263277.992,279474.8937,227880.9153,-1713129.983,-633530.4089,-1079599.575,-1818521.998,-672505.2951,-1146016.703,-1482803.883,-548353.808,-934450.0745,-1425491.597,-1162330.99
2027,306137.2,263277.992,282269.6427,222462.5213,-1692182.497,-626210.4797,-1065972.018,-1814248.678,-671382.3931,-1142866.285,-1429846.764,-529130.2972,-900716.4664,-1425135.927,-1123178.988
2028,306137.2,263277.992,285092.3391,217172.962,-3890466.568,-1431867.22,-2458599.348,-4212817.812,-1550507.021,-2662310.791,-3209171.195,-1181119.785,-2028051.41,-2947403.13,-2245224.372
2029,306137.2,263277.992,287943.2625,212009.1742,-2393185.783,-908087.5163,-1485098.267,-2617392.046,-993161.9429,-1624230.103,-1927154.403,-731253.239,-1195901.164,-1912173.366,-1407910.338
2030,306137.2,263277.992,290822.6951,206968.1673,-3414859.463,-1247033.773,-2167825.69,-3772129.318,-1377501.097,-2394628.221,-2684490.258,-980318.532,-1704171.726,-2685450.916,-1911139.894
2031,306137.2,263277.992,293730.922,202047.022,-4091225.822,-1493519.682,-2597706.14,-4564451.149,-1666272.634,-2898178.514,-3139723.102,-1146169.499,-1993553.604,-3191909.436,-2195600.626
2032,306137.2,263277.992,296668.2313,197242.8883,-2987089.066,-1130811.584,-1856277.483,-3365926.727,-1274226.797,-2091699.93,-2237870.589,-847182.6348,-1390687.955,-2388368.161,-1587930.843
2033,306137.2,263277.992,299634.9136,192552.984,-3160514.911,-1211534.195,-1948980.715,-3596960.783,-1378838.927,-2218121.856,-2311498.095,-886076.8144,-1425421.28,-2517756.77,-1617974.264
2034,306137.2,263277.992,302631.2627,187974.5929,-3607916.179,-1331692.297,-2276223.883,-4147206.612,-1530745.955,-2616460.657,-2575971.39,-950798.4902,-1625172.9,-2919091.92,-1813147.493
2035,306137.2,263277.992,305657.5753,183505.0636,-3339483.304,-1254931.86,-2084551.444,-3877036.443,-1456936.931,-2420099.513,-2327623.709,-874688.9516,-1452934.757,-2725757.088,-1636439.821
2036,306137.2,263277.992,308714.1511,179141.8077,-2800860.086,-1035413.369,-1765446.718,-3284228.724,-1214103.605,-2070125.12,-1905784.586,-704524.6021,-1201259.984,-2378839.271,-1380401.791
2037,306137.2,263277.992,311801.2926,174882.2983,-4635355.914,-1688013.454,-2947342.459,-5489672.55,-1999121.814,-3490550.735,-3079033.265,-1121262.245,-1957771.02,-3802352.028,-2132653.319
2038,306137.2,263277.992,314919.3055,170724.0685,-2881472.387,-1066880.409,-1814591.978,-3446665.922,-1276146.308,-2170519.614,-1868506.689,-691824.4955,-1176682.193,-2485438.919,-1347406.262
2039,306137.2,263277.992,318068.4986,166664.7102,-3574104.155,-1320442.046,-2253662.11,-4317907.22,-1595237.854,-2722669.366,-2262540.172,-835888.6713,-1426651.501,-3040737.864,-1593316.211
2040,306137.2,263277.992,321249.1836,162701.8725,-3393616.837,-1275122.315,-2118494.522,-4140857.464,-1555891.548,-2584965.916,-2097204.592,-788006.5731,-1309198.019,-2906215.099,-1471899.892
2041,306137.2,263277.992,324461.6754,158833.2604,-3581850.764,-1341706.818,-2240143.946,-4414244.013,-1653508.669,-2760735.345,-2160898.565,-809439.7363,-1351458.829,-3085197.02,-1510292.089
2042,306137.2,263277.992,327706.2922,155056.6335,-2980465.985,-1108299.183,-1872166.802,-3709833.281,-1379517.571,-2330315.711,-1755334.802,-652728.8473,-1102605.955,-2658022.003,-1257662.588
2043,306137.2,263277.992,330983.3551,151369.8046,-3077441.512,-1141075.107,-1936366.405,-3868845.66,-1434517.426,-2434328.234,-1769353.058,-656052.9983,-1113300.06,-2765311.589,-1264669.865
2044,306137.2,263277.992,334293.1886,147770.6385,-2557013.99,-947891.0224,-1609122.968,-3246729.26,-1203570.074,-2043159.186,-1435181.069,-532024.9543,-903156.1151,-2377452.375,-1050926.754
2045,306137.2,263277.992,337636.1205,144257.051,-5110964.449,-1884225.97,-3226738.479,-6554464.334,-2416391.67,-4138072.665,-2800434.071,-1032417.787,-1768016.284,-4475708.785,-1912273.335
2046,306137.2,263277.992,341012.4817,140827.007,-2836498.635,-1077566.242,-1758932.393,-3673992.769,-1395724.48,-2278268.289,-1517238.908,-576388.5831,-940850.3254,-2619280.771,-1081677.332
2047,306137.2,263277.992,344422.6065,137478.5203,-3535035.283,-1292547.142,-2242488.141,-4624564.542,-1690921.646,-2933642.895,-1845924.972,-674942.357,-1170982.615,-3278065.502,-1308461.135
2048,306137.2,263277.992,347866.8326,134209.6516,-4103910.527,-1498570.757,-2605339.77,-5422459.908,-1980048.005,-3442411.903,-2092025.99,-763917.476,-1328108.514,-3790278.736,-1462318.165
2049,306137.2,263277.992,351345.5009,131018.5077,-2975821.562,-1126260.893,-1849560.669,-3971245.41,-1502999.528,-2468245.883,-1480897.424,-560476.0975,-920421.327,-2819591.384,-1051439.835
2050,306137.2,263277.992,354858.9559,127903.2407,-3160514.911,-1211534.195,-1948980.715,-4259896.594,-1632965.051,-2626931.543,-1535411.662,-588576.1608,-946835.5011,-2981790.499,-1074738.742
2051,306137.2,263277.992,358407.5455,124862.0463,-3607916.179,-1331692.297,-2276223.883,-4911555.168,-1812869.218,-3098685.95,-1711087.94,-631567.5073,-1079520.432,-3457093.496,-1204382.479
2052,306137.2,263277.992,361991.621,121893.1633,-3354892.282,-1261041.066,-2093851.216,-4612777.871,-1733856.659,-2878921.211,-1553257.185,-583840.2345,-969416.9505,-3240912.832,-1091310.114
