YEAR,FONAG,EPMAPS-FONAG,EPMAPS-FONAG_INF_0.01,EPMAPS-FONAG_INF_0.01_DIS_0.0346,Incomes_sigmoid,Costs_sigmoid,Utility_sigmoid,Incomes_sigmoid_INF_0.01,Costs_sigmoid_INF_0.01,Utility_sigmoid_INF_0.01,Incomes_sigmoid_INF_0.01_DIS_0.0346,Costs_sigmoid_INF_0.01_DIS_0.0346,Utility_sigmoid_INF_0.01_DIS_0.0346,FNeto_EPMAPS-FONAG_sigmoid_INF_0.01,FNeto-Presente_EPMAPS-FONAG_sigmoid_INF_0.01_DIS_0.0346
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3048631.19,2374307.1,2374307.1,2374307.1,0,0,0,0,0,0,0,0,0,0,0
2017,1956869.69,2398158.57,2398158.57,2398158.57,0,0,0,0,0,0,0,0,0,0,0
2018,2566958.09,2412645.36,2412645.36,2412645.36,0,0,0,0,0,0,0,0,0,0,0
2019,2531206.22,2146679.51,2146679.51,2146679.51,0,0,0,0,0,0,0,0,0,0,0
2020,2386176.22,2156773.34,2156773.34,2156773.34,0,0,0,0,0,0,0,0,0,0,0
2021,306137.2,263277.992,265910.7719,257017.9508,9908.680864,3898.714238,6009.966626,10007.76767,3937.701381,6070.066292,9673.079135,3806.01332,5867.065815,-259840.7056,-251150.885
2022,306137.2,263277.992,268569.8796,250906.7566,19988.52132,7884.366131,12104.15519,20390.2906,8042.84189,12347.44871,19049.27569,7513.885678,11535.39001,-256222.4309,-239371.3665
2023,306137.2,263277.992,271255.5784,244940.87,29368.60788,11634.01996,17734.58792,30258.50606,11986.5424,18271.96367,27323.10555,10823.71887,16499.38668,-252983.6148,-228441.4833
2024,306137.2,263277.992,273968.1342,239116.8362,51057.00221,20189.2901,30867.71211,53130.12124,21009.05624,32121.065,46371.47503,18336.50864,28034.9664,-241847.0692,-211081.8698
2025,306137.2,263277.992,276707.8156,233431.2822,70787.07922,27976.50676,42810.57245,74397.93167,29403.58978,44994.3419,62762.24814,24804.9288,37957.31934,-231713.4737,-195473.9628
2026,306137.2,263277.992,279474.8937,227880.9153,115705.036,45815.7766,69889.25943,122823.2273,48634.37008,74188.8572,100148.7793,39655.95844,60492.82088,-205286.0365,-167388.0945
2027,306137.2,263277.992,282269.6427,222462.5213,168626.9421,66659.2856,101967.6565,180790.9059,71467.77664,109323.1293,142485.038,56325.22729,86159.81069,-172946.5134,-136302.7106
2028,306137.2,263277.992,285092.3391,217172.962,348915.2053,137116.0022,211799.2031,377825.1697,148476.9825,229348.1873,287813.4554,113104.3583,174709.0971,-55744.15179,-42463.86485
2029,306137.2,263277.992,287943.2625,212009.1742,308207.3923,122631.1666,185576.2257,337081.8859,134119.9008,202961.9851,248189.3539,98750.87604,149438.4778,-84981.27742,-62570.69636
2030,306137.2,263277.992,290822.6951,206968.1673,577360.3717,227366.0132,349994.3585,637765.0409,251153.5288,386611.5122,453874.6939,178737.0327,275137.6612,95788.81709,68169.49384
2031,306137.2,263277.992,293730.922,202047.022,615923.5091,239368.227,376555.2821,687166.363,267055.554,420110.809,472677.2256,183697.9881,288979.2375,126379.8869,86932.21546
2032,306137.2,263277.992,296668.2313,197242.8883,615935.1319,244966.6212,370968.5107,694051.1236,276034.5203,418016.6033,461446.9425,183524.3559,277922.5866,121348.372,80679.69828
2033,306137.2,263277.992,299634.9136,192552.984,771383.6225,308446.2208,462937.4017,877906.5174,351040.5713,526865.9461,564164.9618,225587.5615,338577.4003,227231.0325,146024.4163
2034,306137.2,263277.992,302631.2627,187974.5929,921974.7398,365160.3592,556814.3806,1059786.189,419742.4166,640043.772,658269.3261,260716.3225,397553.0036,337412.5093,209578.4107
2035,306137.2,263277.992,305657.5753,183505.0636,825576.0129,325769.2208,499806.7921,958468.1213,378207.9519,580260.1694,575427.4317,227061.522,348365.9097,274602.594,164860.8461
2036,306137.2,263277.992,308714.1511,179141.8077,904150.0997,357235.4736,546914.6261,1060187.099,418886.6875,641300.4112,615209.3537,243073.1412,372136.2125,332586.2601,192994.4048
2037,306137.2,263277.992,311801.2926,174882.2983,1252539.612,492555.3763,759984.2358,1483388.213,583335.5149,900052.6982,831998.9239,327179.7068,504819.2171,588251.4056,329936.9188
2038,306137.2,263277.992,314919.3055,170724.0685,880232.6121,348673.0281,531559.584,1052888.017,417064.3624,635823.6545,570791.7004,226098.9514,344692.749,320904.349,173968.6805
2039,306137.2,263277.992,318068.4986,166664.7102,1130054.784,448438.5325,681616.2519,1365229.299,541762.6048,823466.6946,715366.4904,283878.1832,431488.3071,505398.1961,264823.5969
2040,306137.2,263277.992,321249.1836,162701.8725,1065350.661,424208.0576,641142.6029,1299930.265,517614.4468,782315.8183,658370.8195,262154.2529,396216.5665,461066.6347,233514.694
2041,306137.2,263277.992,324461.6754,158833.2604,1141277.686,453455.5952,687822.091,1406501.422,558835.0209,847666.4014,688522.6318,273565.7094,414956.9224,523204.726,256123.662
2042,306137.2,263277.992,327706.2922,155056.6335,1001939.623,398887.4275,603052.1952,1247130.139,496501.5072,750628.6317,590088.7639,234923.3264,355165.4375,422922.3395,200108.804
2043,306137.2,263277.992,330983.3551,151369.8046,1069707.641,425595.2674,644112.3737,1344796.887,535042.6309,809754.2559,615020.7823,244692.9649,370327.8174,478770.9008,218958.0128
2044,306137.2,263277.992,334293.1886,147770.6385,1014217.22,402798.4907,611418.7289,1287786.745,511447.2,776339.5448,569252.0101,226079.6268,343172.3833,442046.3562,195401.7448
2045,306137.2,263277.992,337636.1205,144257.051,1458400.099,576130.5726,882269.5268,1870298.949,738848.2796,1131450.669,799096.4071,315677.3445,483419.0626,793814.5489,339162.0116
2046,306137.2,263277.992,341012.4817,140827.007,932596.9931,372290.8982,560306.095,1207952.145,482212.1369,725740.0078,498844.747,199137.8487,299706.8983,384727.5261,158879.8913
2047,306137.2,263277.992,344422.6065,137478.5203,1265389.289,500044.3144,765344.9745,1655393.502,654162.4115,1001231.091,660761.0675,261113.1751,399647.8924,656808.484,262169.3721
2048,306137.2,263277.992,347866.8326,134209.6516,1093242.966,426528.58,666714.3862,1444492.056,563568.3599,880923.696,557295.9458,217428.93,339867.0158,533056.8634,205657.3642
2049,306137.2,263277.992,351345.5009,131018.5077,902572.4786,359505.7017,543066.7769,1204486.472,479761.7526,724724.719,449159.0746,178905.575,270253.4996,373379.2181,139234.9919
2050,306137.2,263277.992,354858.9559,127903.2407,997573.435,399589.5291,597983.9059,1344578.272,538586.3134,805991.9589,484631.7543,194124.831,290506.9233,451133.003,162603.6826
2051,306137.2,263277.992,358407.5455,124862.0463,1091595.025,432780.376,658814.6486,1486018.222,589155.7859,896862.4356,517699.134,205250.1347,312448.9993,538454.8901,187586.953
2052,306137.2,263277.992,361991.621,121893.1633,921904.4783,364097.5806,557806.8977,1267563.969,500612.5745,766951.3944,426825.8514,168570.8916,258254.9599,404959.7734,136361.7966
2053,306137.2,263277.992,365611.5372,118994.8723,961701.0549,380085.1139,581615.9409,1335504.72,527820.4293,807684.2907,434664.1107,171788.6834,262875.4273,442072.7535,143880.5549
2054,306137.2,263277.992,369267.6525,116165.4949,1307280.58,514244.906,793035.674,1833561.656,721268.0705,1112293.586,576808.1655,226899.0035,349909.162,743025.933,233743.6671
